map_family,map_size,map,slip,method,top_k,proposal_backend,refine_mode,final_first_hit_mode,n_states,n_basis,n_boundary,state_compression_ratio,group_all_feasible,n_groups_feasible,group_total_violation,group_max_violation,selection_time_sec,proposal_time_sec,refine_time_sec,diagnostic_operator_time_sec,probe_green_kernel_time_sec,probe_operator_delta_time_sec,active_weight_time_sec,candidate_score_time_sec,exact_refine_calls,surrogate_topk_recall,surrogate_topk_recall_hits,surrogate_topk_recall_steps,kernel_time_sec,smdp_solve_time_sec,upfront_time_sec,compressed_total_time_sec,full_vi_time_sec,planning_speedup,total_speedup,break_even_tasks,start_gap,value_gap_max,first_hit_used_steps_max,first_hit_tail_bound_max,stop_reason,boundary
four_rooms,15,four_rooms_15,0.05,surrogate_topk_certified_refine,4,insertion_score,certified_adaptive_green,adaptive,200,33,4,50.0,False,1,116.58945928855368,58.29472964427684,145.01490148494486,9.732546924962662,135.2823545599822,0.0,0.0,0.0,0.0,0.0,15,,0,0,0.2956386110163294,0.006048525043297559,145.3105400959612,145.31658862100448,0.294102034997195,48.623760816381655,0.0020238710376296615,505,0.08782278107613095,0.11582323611867906,49,9.145176769194949e-07,no_positive_exact_refine_gain,"[0, 1, 184, 199]"
four_rooms,15,four_rooms_15,0.05,surrogate_topk_certified_refine,8,insertion_score,certified_adaptive_green,adaptive,200,33,4,50.0,False,1,116.58945928855368,58.29472964427684,263.1128976260661,9.775466166029219,253.3374314600369,0.0,0.0,0.0,0.0,0.0,27,,0,0,0.3787664500414394,0.005871889996342361,263.49166407610755,263.4975359661039,0.2953587669762783,50.30045984517067,0.001120916618416777,911,0.08782278107613095,0.11582323611867906,49,9.145176769194949e-07,no_positive_exact_refine_gain,"[0, 1, 184, 199]"
four_rooms,15,four_rooms_15,0.05,surrogate_topk_certified_refine,16,insertion_score,certified_adaptive_green,adaptive,200,33,3,66.66666666666667,False,1,116.58945928855368,58.29472964427684,301.71936248609563,6.319713278033305,295.3996492080623,0.0,0.0,0.0,0.0,0.0,34,,0,0,0.20909739402122796,0.0004071570001542568,301.92845988011686,301.928867037117,0.2886074600392021,708.8358051804571,0.0009558789885556811,1048,0.08782278075578276,0.08782278075578276,49,9.402386769156835e-07,no_positive_exact_refine_gain,"[0, 184, 199]"
four_rooms,15,four_rooms_15,0.1,surrogate_topk_exact_refine,1,insertion_score,exact,exact,200,33,4,50.0,False,1,116.58945928855368,58.29472964427684,72.72088950598845,11.06251025700476,61.65837924898369,0.0,0.0,0.0,0.0,0.0,6,,0,0,0.6369327769498341,0.0062469279509969056,73.35782228293829,73.36406921088928,0.36282298900187016,58.08022628850228,0.004945513422366396,206,0.18197542421970425,0.23279066358968592,0,0.0,no_positive_exact_refine_gain,"[0, 1, 184, 199]"
four_rooms,15,four_rooms_15,0.1,surrogate_topk_exact_refine,2,insertion_score,exact,exact,200,33,4,50.0,False,1,116.58945928855368,58.29472964427684,100.75213111803168,10.809694822935853,89.94243629509583,0.0,0.0,0.0,0.0,0.0,9,,0,0,0.6627387129701674,0.006060193001758307,101.41486983100185,101.42093002400361,0.34960001497529447,57.68793417534084,0.003447020401928414,296,0.18197542421970425,0.23279066358968592,0,0.0,no_positive_exact_refine_gain,"[0, 1, 184, 199]"
four_rooms,15,four_rooms_15,0.1,surrogate_topk_exact_refine,4,insertion_score,exact,exact,200,33,4,50.0,True,3,0.0,0.0,119.7223712640116,7.297355158021674,112.42501610598993,0.0,0.0,0.0,0.0,0.0,11,,0,0,0.38982652296544984,0.007187053968664259,120.11219778697705,120.11938484094571,0.3630768669536337,50.5181773417395,0.0030226334195300494,338,0.18197542421717117,0.23279066356365163,0,0.0,feasible,"[0, 1, 15, 199]"
four_rooms,15,four_rooms_15,0.1,surrogate_topk_exact_refine,8,insertion_score,exact,exact,200,33,4,50.0,True,3,0.0,0.0,200.68792070797645,7.21385330602061,193.47406740195584,0.0,0.0,0.0,0.0,0.0,19,,0,0,0.47234147205017507,0.008920379972551018,201.16026218002662,201.16918255999917,0.3725686289835721,41.76600437761692,0.0018520164184315491,554,0.18197542421717117,0.23279066356365163,0,0.0,feasible,"[0, 1, 15, 199]"
four_rooms,15,four_rooms_15,0.1,surrogate_topk_exact_refine,16,insertion_score,exact,exact,200,33,3,66.66666666666667,False,1,116.58945928855368,58.29472964427684,351.0087410190026,7.280308415996842,343.7284326030058,0.0,0.0,0.0,0.0,0.0,34,,0,0,0.34358549397438765,0.0005275500006973743,351.352326512977,351.3528540629777,0.3509647909668274,665.2730366844528,0.0009988955174501564,1003,0.18197542422081625,0.18197542422081625,0,0.0,no_positive_exact_refine_gain,"[0, 184, 199]"
four_rooms,15,four_rooms_15,0.1,surrogate_topk_certified_refine,1,insertion_score,certified_adaptive_green,adaptive,200,33,4,50.0,False,1,116.58945928855368,58.29472964427684,73.21502199093811,11.073708618001547,62.141313372936565,0.0,0.0,0.0,0.0,0.0,6,,0,0,0.4268233450129628,0.006140011013485491,73.64184533595107,73.64798534696456,0.3620000840164721,58.957562652803134,0.004915274767002056,207,0.18197538397690494,0.23279061910326604,61,9.15699552897459e-07,no_positive_exact_refine_gain,"[0, 1, 184, 199]"
four_rooms,15,four_rooms_15,0.1,surrogate_topk_certified_refine,2,insertion_score,certified_adaptive_green,adaptive,200,33,4,50.0,False,1,116.58945928855368,58.29472964427684,104.58127486391459,11.079250567010604,93.50202429690398,0.0,0.0,0.0,0.0,0.0,9,,0,0,0.3959659600513987,0.006083701970055699,104.97724082396599,104.98332452593604,0.35849376901751384,58.92691173598559,0.0034147686848014446,298,0.18197538397690494,0.23279061910326604,61,9.15699552897459e-07,no_positive_exact_refine_gain,"[0, 1, 184, 199]"
four_rooms,15,four_rooms_15,0.1,surrogate_topk_certified_refine,4,insertion_score,certified_adaptive_green,adaptive,200,33,4,50.0,True,3,0.0,0.0,113.9885031109443,6.9857857509632595,107.00271735998103,0.0,0.0,0.0,0.0,0.0,11,,0,0,0.30508160003228113,0.0064248639973811805,114.29358471097657,114.30000957497396,0.32619717001216486,50.771062258302294,0.0028538682649733205,358,0.18197537784052287,0.2327905643937811,61,8.724488878574321e-07,feasible,"[0, 1, 15, 199]"
four_rooms,15,four_rooms_15,0.1,surrogate_topk_certified_refine,8,insertion_score,certified_adaptive_green,adaptive,200,33,4,50.0,True,3,0.0,0.0,202.30229629896348,7.30300717195496,194.99928912700852,0.0,0.0,0.0,0.0,0.0,19,,0,0,0.3880982450209558,0.008786811027675867,202.69039454398444,202.69918135501212,0.3633890590281226,41.35619371846669,0.0017927505015014069,572,0.18197537784052287,0.2327905643937811,61,8.724488878574321e-07,feasible,"[0, 1, 15, 199]"
four_rooms,15,four_rooms_15,0.1,surrogate_topk_certified_refine,16,insertion_score,certified_adaptive_green,adaptive,200,33,3,66.66666666666667,False,1,116.58945928855368,58.29472964427684,353.201746847888,7.273727032006718,345.92801981588127,0.0,0.0,0.0,0.0,0.0,34,,0,0,0.2384153479943052,0.0003896860289387405,353.4401621958823,353.44055188191123,0.3569752409821376,916.0586073724878,0.0010100008023454178,992,0.18197538316593764,0.18197538316593764,61,8.659590282459538e-07,no_positive_exact_refine_gain,"[0, 184, 199]"
