map_family,map_size,map,method_spec,method,kernel_label,first_hit_mode,first_hit_truncation_steps,n_states,n_boundary,state_compression_ratio,construction_time_sec,kernel_time_sec,smdp_solve_time_sec,compressed_total_time_sec,full_vi_time_sec,planning_time_speedup_vs_full_vi,total_time_speedup_vs_full_vi,start_gap_vs_full,value_gap_max_vs_full,occupancy_struct_hidden_distinct,occupancy_model_residual,struct_hidden_distinct_cvar95,start_value,error,kernel_time_speedup_vs_exact,total_time_speedup_vs_exact,start_value_abs_diff_vs_exact,start_gap_delta_vs_exact,value_gap_delta_vs_exact
open_room,7,open_room_7,endpoints,endpoints,truncated_K32,truncated,32,49,2,24.5,7.2740367613732815e-06,0.006625301029998809,8.915900252759457e-05,0.006721734069287777,0.029023284965660423,325.5227643072584,4.3178270170298,0.049732315240101244,0.049732315240101244,0.0,0.8277004051841963,0.0,-10.76328826739639,,0.9112778434676906,0.9137279150254378,2.035758228657869e-10,-2.035758228657869e-10,-2.035758228657869e-10
open_room,7,open_room_7,endpoints,endpoints,truncated_K64,truncated,64,49,2,24.5,9.301991667598486e-06,0.007721205009147525,0.00010781700257211924,0.007838324003387243,0.028881754959002137,267.87755428169146,3.6846850100252575,0.049732315443677066,0.049732315443677066,0.0,0.8277004052096929,0.0,-10.763288267599966,,0.7819362428259323,0.7835649628455837,0.0,0.0,0.0
open_room,7,open_room_7,turn_articulation,turn_articulation,exact,exact,0,49,4,12.25,0.0004788789665326476,0.01906161301303655,0.00039528601337224245,0.01993577799294144,0.028840161976404488,72.96023891754953,1.446653448218363,0.04973231544363088,0.04973231544363088,0.0,0.2242956593226136,0.0,-10.76328826759992,,1.0,1.0,0.0,0.0,0.0
open_room,7,open_room_7,turn_articulation,turn_articulation,truncated_K16,truncated,16,49,4,12.25,0.0004642429994419217,0.01712361298268661,0.00044927699491381645,0.018037132977042347,0.029057702980935574,64.67658773961847,1.610993444352836,0.04925967908049422,0.04925967908049422,0.0,0.22402334564322962,0.0,-10.762815631236784,,1.113177051613431,1.105263126812653,0.00047263636313665813,-0.00047263636313665813,-0.00047263636313665813
open_room,7,open_room_7,turn_articulation,turn_articulation,truncated_K32,truncated,32,49,4,12.25,0.00047652004286646843,0.024309678003191948,0.0003986029769293964,0.025184801022987813,0.03066739096539095,76.93718496945142,1.2176943918436687,0.0497323154342002,0.0497323154342002,0.0,0.22429565931723977,0.0,-10.76328826759049,,0.7841162277235302,0.7915797299627165,9.43067846037593e-12,-9.43067846037593e-12,-9.43067846037593e-12
open_room,7,open_room_7,turn_articulation,turn_articulation,truncated_K64,truncated,64,49,4,12.25,0.0004683870356529951,0.024729055992793292,0.0004476020112633705,0.025645045039709657,0.029775724979117513,66.52276850828844,1.16107126866074,0.04973231544363088,0.04973231544363088,0.0,0.22429565932261436,0.0,-10.76328826759992,,0.7708184662848275,0.777373483340435,0.0,0.0,0.0
maze,9,maze_9,endpoints,endpoints,exact,exact,0,31,2,15.5,6.754999049007893e-06,0.0035616829991340637,8.190696826204658e-05,0.003650344966445118,0.01395173801574856,170.3363988655091,3.822032751423884,1.98667748918524e-11,1.98667748918524e-11,0.0,1.0976195115725735,0.0,-10.78680072507164,,1.0,1.0,0.0,0.0,0.0
maze,9,maze_9,endpoints,endpoints,truncated_K16,truncated,16,31,2,15.5,6.54696486890316e-06,0.003824410028755665,8.705403888598084e-05,0.003918011032510549,0.017437542031984776,200.30709953415973,4.450610753081851,0.00443481126468015,0.00443481126468015,0.0,1.0969311451521244,0.0,-10.782365913787093,,0.9313025989247592,0.9316831770394689,0.0044348112845469245,0.004434811244813375,0.004434811244813375
maze,9,maze_9,endpoints,endpoints,truncated_K32,truncated,32,31,2,15.5,6.843998562544584e-06,0.004412936978042126,9.545194916427135e-05,0.004515232925768942,0.018343348987400532,192.1736449386896,4.06254766674671,5.329070518200751e-15,5.329070518200751e-15,0.0,1.0976195115703242,0.0,-10.786800725051778,,0.8071003544479044,0.8084510869001219,1.98614458213342e-11,-1.98614458213342e-11,-1.98614458213342e-11
maze,9,maze_9,endpoints,endpoints,truncated_K64,truncated,64,31,2,15.5,9.75397415459156e-06,0.005411207035649568,0.00012175901792943478,0.005542720027733594,0.01740373100619763,142.93586875252174,3.1399260505881945,1.98685512486918e-11,1.98685512486918e-11,0.0,1.0976195115725729,0.0,-10.786800725071641,,0.6582049024680341,0.6585836824122859,1.7763568394002505e-15,1.7763568394002505e-15,1.7763568394002505e-15
maze,9,maze_9,turn_articulation,turn_articulation,exact,exact,0,31,8,3.875,0.00027388997841626406,0.041764533962123096,0.0045789770083501935,0.046617400948889554,0.017461887968238443,3.8134910781152764,0.37457875413053016,1.9126034089822497e-11,1.9126034089822497e-11,0.0,0.5232776170572763,0.0,-10.786800725070899,,1.0,1.0,0.0,0.0,0.0
maze,9,maze_9,turn_articulation,turn_articulation,truncated_K16,truncated,16,31,8,3.875,0.0003040109877474606,0.04306088696466759,0.00447769503807649,0.04784259299049154,0.01735977898351848,3.8769453560142013,0.36285196722026847,3.46868933576161e-08,3.553695853142358e-07,0.0,0.5232776058123969,0.0,-10.78680069036488,,0.9698948838743573,0.9743911864926409,3.470601939170592e-08,3.466776732352628e-08,3.5535045928014597e-07
maze,9,maze_9,turn_articulation,turn_articulation,truncated_K32,truncated,32,31,8,3.875,0.00027698802296072245,0.052874901972245425,0.004651604045648128,0.057803494040854275,0.017469966027420014,3.7556863946242975,0.3022302772056066,1.9122481376143696e-11,1.9122481376143696e-11,0.0,0.5232776170572757,0.0,-10.786800725070895,,0.7898744471251355,0.8064806759941081,3.552713678800501e-15,-3.552713678800501e-15,-3.552713678800501e-15
maze,9,maze_9,turn_articulation,turn_articulation,truncated_K64,truncated,64,31,8,3.875,0.0002830270095728338,0.07290728896623477,0.004545330011751503,0.07773564598755911,0.0175477730226703,3.8606158358804006,0.22573650478801788,1.9122481376143696e-11,1.9122481376143696e-11,0.0,0.5232776170572757,0.0,-10.786800725070895,,0.5728444241215075,0.5996914331470308,3.552713678800501e-15,-3.552713678800501e-15,-3.552713678800501e-15
