map_family,map_size,map,slip,method,top_k,proposal_backend,refine_mode,final_first_hit_mode,n_states,n_basis,n_boundary,state_compression_ratio,group_all_feasible,n_groups_feasible,group_total_violation,group_max_violation,selection_time_sec,proposal_time_sec,refine_time_sec,diagnostic_operator_time_sec,probe_green_kernel_time_sec,probe_operator_delta_time_sec,active_weight_time_sec,candidate_score_time_sec,exact_refine_calls,surrogate_topk_recall,surrogate_topk_recall_hits,surrogate_topk_recall_steps,adaptive_topk,adaptive_topk_schedule,adaptive_topk_margin,adaptive_topk_used_mean,adaptive_topk_used_max,adaptive_topk_cap_hits,adaptive_topk_clear_margin_steps,adaptive_topk_feasible_steps,refined_candidates_total,kernel_time_sec,smdp_solve_time_sec,upfront_time_sec,compressed_total_time_sec,full_vi_time_sec,planning_speedup,total_speedup,break_even_tasks,start_gap,value_gap_max,first_hit_used_steps_max,first_hit_tail_bound_max,stop_reason,boundary
four_rooms,15,four_rooms_15,0.05,adaptive_topk_exact_refine,4,insertion_score,adaptive_exact,exact,200,33,4,50.0,False,1,116.58945928855368,58.29472964427684,135.89950455992948,8.934035148005933,126.96546941192355,0.0,0.0,0.0,0.0,0.0,15,,0,0,True,"1,2,4",1e-09,4.0,4,3,0,0,12,0.6391433589742519,0.006772360997274518,136.53864791890373,136.545420279901,0.26149384496966377,38.61191762738281,0.0019150685862157379,537,0.08782281708738537,0.11582327785106372,0,0.0,no_positive_exact_refine_gain,"[0, 1, 184, 199]"
four_rooms,15,four_rooms_15,0.05,adaptive_topk_certified_refine,4,insertion_score,adaptive_certified_adaptive_green,adaptive,200,33,4,50.0,False,1,116.58945928855368,58.29472964427684,139.38411828497192,9.063738980039489,130.32037930493243,0.0,0.0,0.0,0.0,0.0,15,,0,0,True,"1,2,4",1e-09,4.0,4,3,0,0,12,0.3325461519998498,0.005330357002094388,139.71666443697177,139.72199479397386,0.26923181500751525,50.50915255802369,0.0019269107587857534,530,0.08782278107613095,0.11582323611867906,49,9.145176769194949e-07,no_positive_exact_refine_gain,"[0, 1, 184, 199]"
four_rooms,15,four_rooms_15,0.1,adaptive_topk_exact_refine,4,insertion_score,adaptive_exact,exact,200,33,4,50.0,True,3,0.0,0.0,112.08610012504505,6.931252782989759,105.15484734205529,0.0,0.0,0.0,0.0,0.0,11,,0,0,True,"1,2,4",1e-09,4.0,4,1,1,0,8,0.5204815239994787,0.007249930000398308,112.60658164904453,112.61383157904493,0.3372528540203348,46.51808417485496,0.0029947729270148596,342,0.18197542421717117,0.23279066356365163,0,0.0,feasible,"[0, 1, 15, 199]"
four_rooms,15,four_rooms_15,0.1,adaptive_topk_certified_refine,4,insertion_score,adaptive_certified_adaptive_green,adaptive,200,33,4,50.0,True,3,0.0,0.0,110.6774848040659,6.7356186009710655,103.94186620309483,0.0,0.0,0.0,0.0,0.0,11,,0,0,True,"1,2,4",1e-09,4.0,4,1,1,0,8,0.3326232949621044,0.006700251018628478,111.010108099028,111.01680835004663,0.32878371997503564,49.07035856730286,0.002961567035311888,345,0.18197537784052287,0.2327905643937811,61,8.724488878574321e-07,feasible,"[0, 1, 15, 199]"
maze,13,maze_13,0.0,adaptive_topk_exact_refine,4,insertion_score,adaptive_exact,exact,71,33,3,23.666666666666668,True,3,0.0,0.0,5.593233487044927,0.5047831669799052,5.0884503200650215,0.0,0.0,0.0,0.0,0.0,3,,0,0,True,"1,2,4",1e-09,1.0,1,0,0,1,1,0.11808073299471289,0.0024414509534835815,5.71131422003964,5.713755670993123,0.050247645995114,20.58105894915407,0.008794153773533743,120,7.105427357601002e-15,7.105427357601002e-15,0,0.0,feasible,"[0, 9, 70]"
maze,13,maze_13,0.0,adaptive_topk_certified_refine,4,insertion_score,adaptive_certified_adaptive_green,adaptive,71,33,3,23.666666666666668,True,3,0.0,0.0,5.509615782008041,0.4964799010194838,5.013135880988557,0.0,0.0,0.0,0.0,0.0,3,,0,0,True,"1,2,4",1e-09,1.0,1,0,0,1,1,0.03777674800949171,0.002325677953194827,5.547392530017532,5.549718207970727,0.04965527699096128,21.350882620161965,0.008947351042012257,118,7.105427357601002e-15,7.105427357601002e-15,22,0.0,feasible,"[0, 9, 70]"
maze,13,maze_13,0.05,adaptive_topk_exact_refine,4,insertion_score,adaptive_exact,exact,71,33,3,23.666666666666668,True,3,0.0,0.0,7.679556498071179,0.7932532260310836,6.886303272040095,0.0,0.0,0.0,0.0,0.0,3,,0,0,True,"1,2,4",1e-09,1.0,1,0,0,1,1,0.08065385499503464,0.004140783043112606,7.760210353066213,7.764351136109326,0.09197877597762272,22.212894281097793,0.011846292673429086,89,1.9753088054130785e-12,1.9753088054130785e-12,0,0.0,feasible,"[0, 9, 70]"
maze,13,maze_13,0.05,adaptive_topk_certified_refine,4,insertion_score,adaptive_certified_adaptive_green,adaptive,71,33,3,23.666666666666668,True,3,0.0,0.0,7.973032879992388,0.8447537749889307,7.1282791050034575,0.0,0.0,0.0,0.0,0.0,3,,0,0,True,"1,2,4",1e-09,1.0,1,0,0,1,1,0.05532959901029244,0.0033218349562957883,8.02836247900268,8.031684313958976,0.09141782601363957,27.52027936859949,0.011382148804673064,92,2.732578465725055e-07,2.732578465725055e-07,41,7.729836127260323e-07,feasible,"[0, 9, 70]"
maze,13,maze_13,0.1,adaptive_topk_exact_refine,4,insertion_score,adaptive_exact,exact,71,33,3,23.666666666666668,True,3,0.0,0.0,9.168724314891733,0.9511086369748227,8.21761567791691,0.0,0.0,0.0,0.0,0.0,3,,0,0,True,"1,2,4",1e-09,1.0,1,0,0,1,1,0.06078144803177565,0.0037779950071126223,9.229505762923509,9.233283757930622,0.11258484097197652,29.8001561039703,0.012193369544748965,85,1.2505552149377763e-11,1.2505552149377763e-11,0,0.0,feasible,"[0, 9, 70]"
maze,13,maze_13,0.1,adaptive_topk_certified_refine,4,insertion_score,adaptive_certified_adaptive_green,adaptive,71,33,3,23.666666666666668,True,3,0.0,0.0,9.0651045240229,0.9184378160280176,8.146666707994882,0.0,0.0,0.0,0.0,0.0,3,,0,0,True,"1,2,4",1e-09,1.0,1,0,0,1,1,0.06235352100338787,0.0035006339894607663,9.127458045026287,9.130958679015748,0.11065093002980575,31.608825819248327,0.012118216051519042,86,1.882131748232041e-07,1.882131748232041e-07,49,9.167389132638149e-07,feasible,"[0, 9, 70]"
maze,17,maze_17,0.0,adaptive_topk_exact_refine,4,insertion_score,adaptive_exact,exact,127,51,3,42.333333333333336,True,3,0.0,0.0,14.43338489800226,1.46024515904719,12.97313973895507,0.0,0.0,0.0,0.0,0.0,3,,0,0,True,"1,2,4",1e-09,1.0,1,0,0,1,1,0.3101245089783333,0.005224456021096557,14.743509406980593,14.74873386300169,0.14458130701677874,27.67394470026234,0.009802963994046421,106,0.0,0.0,0,0.0,feasible,"[0, 1, 126]"
maze,17,maze_17,0.0,adaptive_topk_certified_refine,4,insertion_score,adaptive_certified_adaptive_green,adaptive,127,51,3,42.333333333333336,True,3,0.0,0.0,14.249311711988412,1.423921235022135,12.825390476966277,0.0,0.0,0.0,0.0,0.0,3,,0,0,True,"1,2,4",1e-09,1.0,1,0,0,1,1,0.19184091000352055,0.005119554989505559,14.441152621991932,14.446272176981438,0.14572278497507796,28.463955416787446,0.010087224108048536,103,7.105427357601002e-15,7.105427357601002e-15,42,0.0,feasible,"[0, 1, 126]"
maze,17,maze_17,0.05,adaptive_topk_exact_refine,4,insertion_score,adaptive_exact,exact,127,51,3,42.333333333333336,True,3,0.0,0.0,18.896053567994386,1.968049046001397,16.92800452199299,0.0,0.0,0.0,0.0,0.0,3,,0,0,True,"1,2,4",1e-09,1.0,1,0,0,1,1,0.2635071580298245,0.0052174319862388074,19.15956072602421,19.16477815801045,0.22424551198491827,42.9800546660455,0.011700918744587119,88,8.100187187665142e-13,8.100187187665142e-13,0,0.0,feasible,"[0, 1, 126]"
maze,17,maze_17,0.05,adaptive_topk_certified_refine,4,insertion_score,adaptive_certified_adaptive_green,adaptive,127,51,3,42.333333333333336,True,3,0.0,0.0,19.669836477958597,2.1267278859741054,17.543108591984492,0.0,0.0,0.0,0.0,0.0,3,,0,0,True,"1,2,4",1e-09,1.0,1,0,0,1,1,0.25855673401383683,0.006620268046390265,19.928393211972434,19.935013480018824,0.2330484560225159,35.202268909577874,0.0116904087502175,89,3.6190104424349556e-07,3.6190104424349556e-07,64,6.785155839908384e-07,feasible,"[0, 1, 126]"
maze,17,maze_17,0.1,adaptive_topk_exact_refine,4,insertion_score,adaptive_exact,exact,127,51,3,42.333333333333336,True,3,0.0,0.0,22.67541668092599,2.3911678869626485,20.284248793963343,0.0,0.0,0.0,0.0,0.0,3,,0,0,True,"1,2,4",1e-09,1.0,1,0,0,1,1,0.2639409870025702,0.006596995051950216,22.93935766792856,22.945954662980512,0.2762286320212297,41.87188710101738,0.012038227917659,86,7.929656931082718e-12,7.929656931082718e-12,0,0.0,feasible,"[0, 1, 126]"
maze,17,maze_17,0.1,adaptive_topk_certified_refine,4,insertion_score,adaptive_certified_adaptive_green,adaptive,127,51,3,42.333333333333336,True,3,0.0,0.0,22.59306832990842,2.362575916980859,20.23049241292756,0.0,0.0,0.0,0.0,0.0,3,,0,0,True,"1,2,4",1e-09,1.0,1,0,0,1,1,0.24079151102341712,0.005252795002888888,22.833859840931837,22.839112635934725,0.2754066819907166,52.43050258752736,0.012058554392231323,85,2.5898013333858216e-07,2.5898013333858216e-07,76,8.220439714893151e-07,feasible,"[0, 1, 126]"
