source,comparison_protocol,map,slip,method,method_group,n_states,n_boundary,rate_budget_boundary_frac,state_compression_ratio,planning_speedup,total_speedup,start_gap,normalized_start_gap,value_gap_max,normalized_value_gap_max,hidden_audit,normalized_hidden_audit,audit_metric,success_rate,group_feasible,budget_label,pareto_nondominated,pareto_dominated_by,representation_scope
core_benchmark,core_benchmark,corridor_32,0.0,random_landmarks_sqrt,option_baseline:random,32.0,6.0,0.1875,5.333333333333333,2.1011504342422196,0.44096040973096795,0.0,0.0,3.552713678800501e-15,1.0658141036401511e-16,0.0,0.0,occupancy_struct_hidden_distinct,1.0,,exact_or_same_protocol,False,graph_rd_joint;graph_rd_surrogate_joint;group_constrained_rd,
core_benchmark,core_benchmark,corridor_32,0.0,coverage_sqrt,option_baseline:coverage,32.0,6.0,0.1875,5.333333333333333,7.88501902715041,0.4979783835246824,3.552713678800501e-15,1.0658141036401511e-16,7.105427357601002e-15,2.1316282072803022e-16,0.0,0.0,occupancy_struct_hidden_distinct,1.0,,exact_or_same_protocol,False,graph_rd_joint;graph_rd_surrogate_joint;group_constrained_rd,
core_benchmark,core_benchmark,corridor_32,0.05,full_vi,full_mdp,32.0,32.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,occupancy_struct_hidden_distinct,1.0,,exact_or_same_protocol,False,graph_rd_joint;graph_rd_surrogate_joint;group_constrained_rd;eigenoptions_sqrt;betweenness_sqrt,
core_benchmark,core_benchmark,corridor_32,0.05,graph_rd_joint,ours:rd_graph,32.0,2.0,0.0625,16.0,295.3581522944301,0.3237853724265338,2.091127271341975e-11,6.273381814025929e-13,2.091127271341975e-11,6.273381814025929e-13,0.0,0.0,occupancy_struct_hidden_distinct,1.0,,exact_or_same_protocol,True,,
core_benchmark,core_benchmark,corridor_32,0.05,graph_rd_surrogate_joint,ours:rd_graph,32.0,2.0,0.0625,16.0,294.58166054396315,0.2871742255538691,2.091127271341975e-11,6.273381814025929e-13,2.091127271341975e-11,6.273381814025929e-13,0.0,0.0,occupancy_struct_hidden_distinct,1.0,,exact_or_same_protocol,True,,
core_benchmark,core_benchmark,corridor_32,0.05,group_constrained_rd,ours:group_rd,32.0,3.0,0.09375,10.666666666666666,134.9728142252814,0.018535375510118014,2.091127271341975e-11,6.273381814025929e-13,2.091127271341975e-11,6.273381814025929e-13,0.0,0.0,occupancy_struct_hidden_distinct,1.0,True,exact_or_same_protocol,False,graph_rd_joint;graph_rd_surrogate_joint,
core_benchmark,core_benchmark,corridor_32,0.05,eigenoptions_sqrt,option_baseline:eigen,32.0,6.0,0.1875,5.333333333333333,2.775465462973438,0.6969168584067101,1.8953727476400672e-11,5.686118242920206e-13,1.8953727476400672e-11,5.686118242920206e-13,0.0,0.0,occupancy_struct_hidden_distinct,1.0,,exact_or_same_protocol,False,graph_rd_joint;graph_rd_surrogate_joint;group_constrained_rd,
core_benchmark,core_benchmark,corridor_32,0.05,betweenness_sqrt,option_baseline:bottleneck,32.0,6.0,0.1875,5.333333333333333,3.667397520046617,0.7568238784123573,1.4097167877480388e-11,4.2291503632441196e-13,1.4097167877480388e-11,4.2291503632441196e-13,0.0,0.0,occupancy_struct_hidden_distinct,1.0,,exact_or_same_protocol,False,graph_rd_joint;graph_rd_surrogate_joint;group_constrained_rd,
core_benchmark,core_benchmark,corridor_32,0.05,random_landmarks_sqrt,option_baseline:random,32.0,6.0,0.1875,5.333333333333333,13.049059036593269,0.9301288577375111,2.091127271341975e-11,6.273381814025929e-13,2.091127271341975e-11,6.273381814025929e-13,0.0,0.0,occupancy_struct_hidden_distinct,1.0,,exact_or_same_protocol,False,graph_rd_joint;graph_rd_surrogate_joint;group_constrained_rd,
core_benchmark,core_benchmark,corridor_32,0.05,coverage_sqrt,option_baseline:coverage,32.0,6.0,0.1875,5.333333333333333,11.791328512533646,0.901280629784722,2.0875745576631743e-11,6.262723672989528e-13,2.0875745576631743e-11,6.262723672989528e-13,0.0,0.0,occupancy_struct_hidden_distinct,1.0,,exact_or_same_protocol,False,graph_rd_joint;graph_rd_surrogate_joint;group_constrained_rd,
