comparison_protocol,method_group,value_epsilon,audit_epsilon,success_floor,n_cases_available,n_cases_feasible,constraint_coverage_rate,paired_case_count,median_rate_budget_boundary_frac,median_state_compression_ratio,state_compression_ci95_low,state_compression_ci95_high,median_total_speedup,total_speedup_ci95_low,total_speedup_ci95_high
abstraction_baseline_comparison,abstraction:qstar_oracle,1e-06,inf,0.95,24,8,0.3333333333333333,8,0.0625,16.0,2.823529411764706,16.0,0.33359130865158826,0.20628541494092448,0.4163801173711885
abstraction_baseline_comparison,reduction:policy_kron_oracle,1e-06,inf,0.95,24,24,1.0,8,0.06147644242882338,16.266666666666666,16.0,17.0,0.3922689511504312,0.2446849268807963,0.525332810576325
core_benchmark,full_mdp,1e-06,inf,0.95,10,10,1.0,8,1.0,1.0,1.0,1.0,1.0,1.0,1.0
core_benchmark,option_baseline:bottleneck,1e-06,inf,0.95,10,8,0.8,8,0.1905241935483871,5.25,4.0,5.714285714285714,0.3943490276725458,0.1209212379644871,0.7568238784123573
core_benchmark,option_baseline:coverage,1e-06,inf,0.95,10,8,0.8,8,0.1905241935483871,5.25,4.0,5.714285714285714,0.41886910358170926,0.15596717779539054,0.901280629784722
core_benchmark,option_baseline:eigen,1e-06,inf,0.95,10,8,0.8,8,0.1905241935483871,5.25,4.0,5.714285714285714,0.3737208604695966,0.1364624896337982,0.6969168584067101
core_benchmark,option_baseline:random,1e-06,inf,0.95,10,8,0.8,8,0.1905241935483871,5.25,4.583333333333334,5.714285714285714,0.39031751800321784,0.14815585112388027,0.6917698573110354
core_benchmark,ours:group_rd,1e-06,inf,0.95,10,8,0.8,8,0.09526209677419355,10.5,5.333333333333333,13.333333333333334,0.012872918975923957,0.010219180152078493,0.01794825948789307
core_benchmark,ours:rd_graph,1e-06,inf,0.95,10,8,0.8,8,0.09375,12.0,7.1,20.0,0.21398692722722684,0.06557816647804474,0.2995360935217738
group_constrained_adaptive,baseline:endpoints,1e-06,inf,0.95,6,0,0.0,0,nan,nan,nan,nan,nan,nan,nan
group_constrained_adaptive,ours:group_rd,1e-06,inf,0.95,6,4,0.6666666666666666,0,0.03554983748645721,29.166666666666664,23.666666666666668,48.0,0.044369886888279864,0.03830827856461743,0.05848164925240377
large_scale_compression,baseline:dense_turn,1e-06,inf,0.95,27,19,0.7037037037037037,19,0.0078125,128.0,3.826923076923077,256.0,0.8970534465197718,0.0630729072496227,5.686636228152796
large_scale_compression,baseline:endpoints,1e-06,inf,0.95,27,19,0.7037037037037037,19,0.004454342984409799,224.5,128.0,288.0,1.4524112833059215,1.025734329923915,5.739773030689501
large_scale_compression,option_baseline:bottleneck,1e-06,inf,0.95,27,19,0.7037037037037037,19,0.04899777282850779,20.40909090909091,16.0,24.0,0.068746817527941,0.0324750027907679,0.5344104088245355
large_scale_compression,option_baseline:coverage,1e-06,inf,0.95,27,19,0.7037037037037037,19,0.04899777282850779,20.40909090909091,16.0,24.0,0.0922426642241242,0.0309626571264286,0.6517384474312262
large_scale_compression,ours:rd_graph,1e-06,inf,0.95,27,19,0.7037037037037037,19,0.0049504950495049506,202.0,22.45,288.0,0.166381330082211,0.0014682233992196,0.3499140690054573
option_baseline_frontier,baseline:dense_turn,1e-06,inf,0.95,24,16,0.6666666666666666,16,0.012755807522123894,92.25,3.826923076923077,144.0,nan,nan,nan
option_baseline_frontier,baseline:endpoints,1e-06,inf,0.95,24,16,0.6666666666666666,16,0.004454342984409799,224.5,128.0,256.0,nan,nan,nan
option_baseline_frontier,option_baseline:bottleneck,1e-06,inf,0.95,24,16,0.6666666666666666,16,0.008908685968819599,112.25,64.0,128.0,nan,nan,nan
option_baseline_frontier,option_baseline:coverage,1e-06,inf,0.95,24,16,0.6666666666666666,16,0.008908685968819599,112.25,64.0,128.0,nan,nan,nan
option_baseline_frontier,option_baseline:eigen,1e-06,inf,0.95,24,16,0.6666666666666666,16,0.008908685968819599,112.25,64.0,128.0,nan,nan,nan
option_baseline_frontier,option_baseline:random,1e-06,inf,0.95,24,16,0.6666666666666666,16,0.008908685968819599,112.25,64.0,128.0,nan,nan,nan
option_baseline_frontier,ours:rd_graph,1e-06,inf,0.95,24,16,0.6666666666666666,16,0.0078125,128.0,22.45,256.0,nan,nan,nan
random_maze_generalization,baseline:endpoints,1e-06,inf,0.95,180,0,0.0,0,nan,nan,nan,nan,nan,nan,nan
random_maze_generalization,ours:group_rd,1e-06,inf,0.95,180,173,0.9611111111111111,0,0.030927835051546393,32.333333333333336,24.25,32.333333333333336,0.05342590790975046,0.05224407074496018,0.05441328163289956
abstraction_baseline_comparison,abstraction:model_minimization,0.001,0.0,0.95,24,0,0.0,0,nan,nan,nan,nan,nan,nan,nan
abstraction_baseline_comparison,abstraction:qstar_oracle,0.001,0.0,0.95,24,0,0.0,0,nan,nan,nan,nan,nan,nan,nan
abstraction_baseline_comparison,reduction:policy_kron_oracle,0.001,0.0,0.95,24,0,0.0,0,nan,nan,nan,nan,nan,nan,nan
core_benchmark,full_mdp,0.001,0.0,0.95,10,10,1.0,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0
