map,slip,gamma,candidate_kind,candidate_top_fraction,soft_kind,soft_top_fraction,local_horizon,hidden_threshold,soft_threshold,soft_cost_weight,n_states,n_boundary,n_candidate_boundary,n_pair_options,n_edges_valid,invalid_hidden_count,hidden_mass_total,hidden_mass_max,soft_cost_all_total,soft_cost_valid_total,soft_cost_max,soft_over_threshold_count,feasible,start_value_smdp,start_value_primitive,start_gap,value_gap_max,start_best_option,policy_tv_total,policy_regions_total,policy_tv_mean,policy_regions_mean,target_policy_tv_total,target_policy_regions_total,target_policy_tv_mean,target_policy_regions_mean,hard_split_candidate_state,hard_split_candidate_coord,hard_split_candidate_score,soft_split_candidate_state,soft_split_candidate_coord,soft_split_candidate_score,description_length_proxy,step,split_candidate_state,split_candidate_score,split_candidate_source,split_candidate_coord,stop_reason
maze,0.0,0.97,turn_articulation,0.15,combined,0.15,999.0,1e-06,1e-06,1.0,81,2,30,2,0,2,2.0,1.0,0.97,0.0,0.97,0,False,nan,-22.199077937496824,inf,inf,INFEASIBLE,134.0,65.0,67.0,32.5,134.0,65.0,67.0,32.5,57,"(5, 19)",1.0,,,0.0,63.4,0,57,1.0,hard_hidden,"(5, 19)",continue
maze,0.0,0.97,turn_articulation,0.15,combined,0.15,999.0,1e-06,1e-06,1.0,81,3,30,6,3,3,3.0,1.0,3.822673,2.91,0.97,3,False,nan,-22.199077937496824,inf,inf,INFEASIBLE,400.0,194.0,66.66666666666667,32.333333333333336,200.0,97.0,66.66666666666667,32.333333333333336,55,"(5, 17)",1.0,63,"(6, 19)",2.91,101.71,1,55,1.0,hard_hidden,"(5, 17)",continue
maze,0.0,0.97,turn_articulation,0.15,combined,0.15,999.0,1e-06,1e-06,1.0,81,4,30,12,8,4,4.0,1.0,8.389426025699999,7.530691999999998,0.97,8,False,nan,-22.199077937496824,inf,inf,INFEASIBLE,804.0,390.0,67.0,32.5,268.0,130.0,67.0,32.5,4,"(1, 5)",2.0,63,"(6, 19)",3.88,144.73069199999998,2,4,2.0,hard_hidden,"(1, 5)",continue
maze,0.0,0.97,turn_articulation,0.15,combined,0.15,999.0,1e-06,1e-06,1.0,81,5,30,20,14,6,6.0,1.0,11.130833051399998,9.413364999999999,0.97,10,True,-33.333333332561786,-22.199077937496824,11.134255395064962,12.576918358970364,fb_000_to_001,1336.0,648.0,66.8,32.4,334.0,162.0,66.8,32.4,26,"(3, 5)",3.0,63,"(6, 19)",4.85,186.013365,3,26,3.0,hard_hidden,"(3, 5)",continue
maze,0.0,0.97,turn_articulation,0.15,combined,0.15,999.0,1e-06,1e-06,1.0,81,6,30,30,23,7,7.0,1.0,13.872240077099999,11.296038,0.97,12,True,-33.333333331914524,-22.199077937496824,11.1342553944177,13.366902283264007,fb_000_to_001,2010.0,975.0,67.0,32.5,402.0,195.0,67.0,32.5,35,"(3, 17)",3.0,63,"(6, 19)",5.819999999999999,230.52937133333336,4,35,3.0,hard_hidden,"(3, 17)",continue
maze,0.0,0.97,turn_articulation,0.15,combined,0.15,999.0,1e-06,1e-06,1.0,81,7,30,42,34,8,8.0,1.0,19.189849179899994,19.189849179899994,0.97,21,True,-33.333333331914524,-22.199077937496824,11.1342553944177,13.366902283264007,fb_000_to_001,2808.0,1362.0,66.85714285714286,32.42857142857143,468.0,227.0,66.85714285714286,32.42857142857143,28,"(3, 7)",4.0,63,"(6, 19)",6.789999999999999,282.2469920370429,5,28,4.0,hard_hidden,"(3, 7)",continue
maze,0.0,0.97,turn_articulation,0.15,combined,0.15,999.0,1e-06,1e-06,1.0,81,8,30,56,47,9,9.0,1.0,21.931256205599993,21.931256205599993,0.97,24,True,-33.333333331914524,-22.199077937496824,11.1342553944177,14.206506837446195,fb_000_to_001,3752.0,1820.0,67.0,32.5,536.0,260.0,67.0,32.5,37,"(3, 19)",4.0,63,"(6, 19)",7.759999999999999,331.8062562056,6,37,4.0,hard_hidden,"(3, 19)",continue
maze,0.0,0.97,turn_articulation,0.15,combined,0.15,999.0,1e-06,1e-06,1.0,81,9,30,72,62,10,10.0,1.0,24.672663231299993,24.672663231299993,0.97,27,True,-33.333333331914524,-22.199077937496824,11.1342553944177,14.206506837446195,fb_000_to_001,4832.0,2344.0,67.11111111111111,32.55555555555556,604.0,293.0,67.11111111111111,32.55555555555556,5,"(1, 7)",5.0,63,"(6, 19)",8.729999999999999,383.4615521201889,7,5,5.0,hard_hidden,"(1, 7)",continue
maze,0.0,0.97,turn_articulation,0.15,combined,0.15,999.0,1e-06,1e-06,1.0,81,10,30,90,79,11,11.0,1.0,27.41407025699999,27.41407025699999,0.97,30,True,-33.333333331914524,-22.199077937496824,11.1342553944177,15.098848801716777,fb_000_to_001,6012.0,2916.0,66.8,32.4,668.0,324.0,66.8,32.4,16,"(1, 19)",5.0,63,"(6, 19)",9.7,435.414070257,8,16,5.0,hard_hidden,"(1, 19)",continue
maze,0.0,0.97,turn_articulation,0.15,combined,0.15,999.0,1e-06,1e-06,1.0,81,11,30,110,98,12,12.0,1.0,30.15547728269999,30.15547728269999,0.97,33,True,-33.333333331914524,-22.199077937496824,11.1342553944177,15.098848801716777,fb_000_to_001,7340.0,3560.0,66.72727272727273,32.36363636363637,734.0,356.0,66.72727272727273,32.36363636363637,11,"(1, 13)",6.0,63,"(6, 19)",10.67,490.3645681917909,9,11,6.0,hard_hidden,"(1, 13)",continue
