map,terminal_basis,condition_cap,n_edges,certificates_found,rational_verified,spectral_radius_max,row_q_max,weighted_q_max,weight_dynamic_range_max,conditioned_row_tail_K128_max,actual_tail_row_K128_max,rational_max_violation_max
maze_13,residual,1e+09,2,2,2,0.2764193355078182,1.0,0.2785466971523288,970302395.1530163,1.1930878561641306e-70,0.0,0.0
maze_13,residual,1e+12,2,2,2,0.2764193355078182,1.0,0.27810424083769925,841639275755.8252,1.1468910463839205e-70,0.0,0.0
maze_13,residual,inf,2,2,2,0.2764193355078182,1.0,0.27810424083769925,8665343100810.205,1.1468910463839205e-70,0.0,0.0
open_room_12,boundary,100,2,2,2,0.3572645129498667,1.0,0.8930926230969516,86.99464704875655,0.00035797870969385247,2.3314683517128287e-15,0.0
open_room_12,boundary,10000,2,2,2,0.3572645129498667,1.0,0.7073344171187486,9173.341549343058,1.1898090341372253e-15,2.3314683517128287e-15,0.0
open_room_12,boundary,1e+06,2,2,2,0.3572645129498667,1.0,0.5773561868149598,962236.9927869734,3.6415311616792656e-25,2.3314683517128287e-15,0.0
open_room_12,boundary,1e+09,2,2,2,0.3572645129498667,1.0,0.44731256794402946,925739220.0806438,1.3507152423719373e-36,2.3314683517128287e-15,0.0
open_room_12,boundary,1e+12,2,2,2,0.3572645129498667,1.0,0.372673678266677,909144597730.9786,6.922546071659494e-44,2.3314683517128287e-15,0.0
open_room_12,boundary,inf,2,2,2,0.3572645129498667,1.0,0.3591541861744419,15296760472054.861,9.700735317919438e-45,2.3314683517128287e-15,0.0
open_room_12,residual,100,2,2,2,0.3554437831143804,1.0,0.8769301597889713,89.09258984933079,1.2393855289325559e-05,1.2490009027033011e-15,0.0
open_room_12,residual,10000,2,2,2,0.3554437831143804,1.0,0.6901969563829102,8041.643723764661,1.2669359936055537e-17,1.2490009027033011e-15,0.0
open_room_12,residual,1e+06,2,2,2,0.3554437831143804,1.0,0.5563209669846639,885020.3827253474,1.0091540432101311e-27,1.2490009027033011e-15,0.0
open_room_12,residual,1e+09,2,2,2,0.3554437831143804,1.0,0.4294453635862579,743927845.0280732,2.940821393231623e-39,1.2490009027033011e-15,0.0
open_room_12,residual,1e+12,2,2,2,0.3554437831143804,1.0,0.3602596948989075,953917716480.87,6.31246930197151e-46,1.2490009027033011e-15,0.0
open_room_12,residual,inf,2,2,2,0.3554437831143804,1.0,0.3569446749984797,2374218776489.539,4.81368111682794e-46,1.2490009027033011e-15,0.0
