map_family,map_size,map,boundary_method,terminal_basis,src_state,target_state,condition_cap,condition_cap_float,n_interior,n_terminals,spectral_radius,row_q,actual_tail_row_K32,actual_tail_row_K64,actual_tail_row_K128,certificate_found,certificate_status,weighted_q,weighted_q_target,weighted_q_lt_1,weight_min,weight_max,weight_dynamic_range,weight_start,row_scale,entry_scale,weighted_slack_min_abs,weighted_slack_min_rel,weighted_violation_max_abs,weighted_violation_max_rel,objective_tail_bound,solve_method,rational_verified,rational_status,rational_q,rational_q_num,rational_q_den,rational_min_slack,rational_max_violation,rational_failing_rows,conditioned_row_tail_K32,conditioned_row_tail_K64,conditioned_row_tail_K128
open_room,12,open_room_12,endpoints,boundary,143,0,100,100.0,143,1,0.3572644797018006,1.0,0.00021471452624677312,3.3306690738754696e-16,3.3306690738754696e-16,True,rational_verified_conditioned_certificate,0.8930926189394907,0.9024669187679137,True,1.0,86.99464704875655,86.99464704875655,86.99464704875655,0.95,0.95,1.4210854715202004e-14,1.8290735474312535e-16,0.0,0.0,0.00035797851239151193,solve,True,rational_verified,0.893093619,893093619,1000000000,8.713952415966667e-05,0.0,0,18.526481565763753,0.4971425688458863,0.00035797851239151193
open_room,12,open_room_12,endpoints,boundary,143,0,10000,10000.0,143,1,0.3572644797018006,1.0,0.00021471452624677312,3.3306690738754696e-16,3.3306690738754696e-16,True,rational_verified_conditioned_certificate,0.7073344020151802,0.7074007563037413,True,1.0,9173.341549343058,9173.341549343058,9173.341549343058,0.95,0.95,-9.094947017729282e-13,-1.4016766176213234e-16,9.094947017729282e-13,1.4016766176213234e-16,1.1898062425526008e-15,solve,True,rational_verified,0.707335403,707335403,1000000000,0.009182201892580334,0.0,0,0.32471119867170856,5.005993242029401e-06,1.1898062425526008e-15
open_room,12,open_room_12,endpoints,boundary,143,0,1e+06,1000000.0,143,1,0.3572644797018006,1.0,0.00021471452624677312,3.3306690738754696e-16,3.3306690738754696e-16,True,rational_verified_conditioned_certificate,0.5773561649525129,0.5773566479942929,True,1.0,962236.9927869734,962236.9927869734,962236.9927869734,0.95,0.95,-1.1641532182693481e-10,-2.0954836973098716e-16,1.1641532182693481e-10,2.0954836973098716e-16,3.6415165427000535e-25,solve,True,rational_verified,0.577357165,115471433,200000000,0.46480101797895834,0.0,0,0.029018620601833193,6.7433950896686e-10,3.6415165427000535e-25
open_room,12,open_room_12,endpoints,boundary,143,0,1e+09,1000000000.0,143,1,0.3572644797018006,1.0,0.00021471452624677312,3.3306690738754696e-16,3.3306690738754696e-16,True,rational_verified_conditioned_certificate,0.4473125393540601,0.4473125396848445,True,1.0,925739220.0806438,925739220.0806438,925739220.0806438,0.95,0.95,0.0,0.0,0.0,0.0,1.3507066694464637e-36,solve,True,rational_verified,0.44731354,22365677,50000000,0.30622104784864,0.0,0,0.004697838239969434,3.1006474383245247e-14,1.3507066694464637e-36
open_room,12,open_room_12,endpoints,boundary,143,0,1e+12,1000000000000.0,143,1,0.3572644797018006,1.0,0.00021471452624677312,3.3306690738754696e-16,3.3306690738754696e-16,True,rational_verified_conditioned_certificate,0.37267364581571166,0.37267364581590784,True,1.0,909144597730.9786,909144597730.9786,909144597730.9786,0.95,0.95,0.0,0.0,0.0,0.0,6.922500864384179e-44,solve,True,rational_verified,0.372674646,186337323,500000000,0.178349545327128,0.0,0,0.009833532158844938,1.884635501551479e-16,6.922500864384179e-44
open_room,12,open_room_12,endpoints,boundary,143,0,inf,inf,143,1,0.3572644797018006,1.0,0.00021471452624677312,3.3306690738754696e-16,3.3306690738754696e-16,True,rational_verified_conditioned_certificate,0.3591541530241267,0.35915415302413245,True,1.0,15296760472054.861,15296760472054.861,15296760472054.861,0.95,0.95,0.0,0.0,0.0,0.0,9.700735317919438e-45,solve,True,rational_verified,0.359155154,179577577,500000000,0.088120604,0.0,0,0.04784526411353115,2.810784322742174e-16,9.700735317919438e-45
open_room,12,open_room_12,endpoints,residual,143,0,100,100.0,141,3,0.3554437831143804,1.0,2.6080306962439348e-05,1.2490009027033011e-15,1.2490009027033011e-15,True,rational_verified_conditioned_certificate,0.8769301597889713,0.8858890727928826,True,1.0,89.09258869524858,89.09258869524858,36.57198865562664,0.95,0.95,0.0,0.0,0.0,0.0,1.2393855289325559e-05,solve,True,rational_verified,0.87693116,21923279,25000000,8.975250657333333e-05,0.0,0,3.70310280515804,0.05539186482585897,1.2393855289325559e-05
open_room,12,open_room_12,endpoints,residual,143,0,10000,10000.0,141,3,0.3554437831143804,1.0,2.6080306962439348e-05,1.2490009027033011e-15,1.2490009027033011e-15,True,rational_verified_conditioned_certificate,0.6901969563829102,0.6902703404378241,True,1.0,8041.6432203025,8041.6432203025,2446.7782602986485,0.95,0.95,9.094947017729282e-13,1.6386353989690073e-16,0.0,0.0,1.2669359936055537e-17,solve,True,rational_verified,0.690197957,690197957,1000000000,0.008046883568206667,0.0,0,0.036420244099440044,2.561416049117955e-07,1.2669359936055537e-17
open_room,12,open_room_12,endpoints,residual,143,0,1e+06,1000000.0,141,3,0.3554437831143804,1.0,2.6080306962439348e-05,1.2490009027033011e-15,1.2490009027033011e-15,True,rational_verified_conditioned_certificate,0.5563209669846639,0.5563214648589615,True,1.0,885020.2701103801,885020.2701103801,335987.03906054026,0.95,0.95,0.0,0.0,0.0,0.0,1.0091540432101311e-27,solve,True,rational_verified,0.556321967,556321967,1000000000,0.4406293118480533,0.0,0,0.0028360661435209156,2.0096945669467085e-11,1.0091540432101311e-27
open_room,12,open_room_12,endpoints,residual,143,0,1e+09,1000000000.0,141,3,0.3554437831143804,1.0,2.6080306962439348e-05,1.2490009027033011e-15,1.2490009027033011e-15,True,rational_verified_conditioned_certificate,0.4294453635862579,0.4294453639644129,True,1.0,743927641.4691124,743927641.4691124,399871836.43254966,0.95,0.95,0.0,0.0,0.0,0.0,2.940821393231623e-39,solve,True,rational_verified,0.429446364,107361591,250000000,0.2813209306666667,0.0,0,0.0005120454232949568,9.169842481996892e-16,2.940821393231623e-39
