map,slip,gamma,candidate_kind,candidate_top_fraction,residual_kind,residual_top_fraction,soft_kind,soft_top_fraction,local_horizon,hidden_threshold,soft_threshold,residual_threshold,residual_threshold_mode,residual_reward_weight,residual_hit_weight,value_scale_task,soft_cost_weight,n_states,n_boundary,n_candidate_boundary,n_pair_options,n_edges_valid,invalid_hidden_count,hidden_mass_total,hidden_mass_max,soft_cost_all_total,soft_cost_valid_total,soft_cost_max,soft_over_threshold_count,model_residual_valid_total,model_residual_max,residual_threshold_metric_valid_total,residual_threshold_metric_max,residual_backup_value_norm_valid_total,residual_backup_value_norm_max,beta_global,l_gamma_row_max,residual_hidden_mass_max,residual_over_threshold_count,feasible,start_value_smdp,start_value_primitive,start_gap,value_gap_max,start_best_option,policy_tv_total,policy_regions_total,policy_tv_mean,policy_regions_mean,target_policy_tv_total,target_policy_regions_total,target_policy_tv_mean,target_policy_regions_mean,hard_split_candidate_state,hard_split_candidate_coord,hard_split_candidate_score,residual_split_candidate_state,residual_split_candidate_coord,residual_split_candidate_score,soft_split_candidate_state,soft_split_candidate_coord,soft_split_candidate_score,description_length_proxy,recipe,lens,bres_size,constructor_stop,constructor_n_boundary,constructor_model_residual_max,constructor_residual_backup_value_norm_max
maze,0.0,0.97,articulation_only,0.15,decision,0.15,none,0.0,999.0,1e-06,3.0,1.2,raw,0.05,0.0,22.199077937496824,0.0,81,4,4,12,12,0,0.0,0.0,0.0,0.0,0.0,0,5.154606909669065,1.3454815587499362,5.154606909669065,1.3454815587499362,7.3541200260370445,1.9143853113550462,0.97,22.19907793749682,1.0,4,True,-22.199077937496824,-22.199077937496824,0.0,0.0,fb_000_to_001,804.0,390.0,67.0,32.5,268.0,130.0,67.0,32.5,,,0.0,4,"(1, 5)",2.477631133946086,,,0.0,143.35460690966906,soft3,decision,33,hybrid_threshold,4,1.3454815587499362,1.9143853113550462
maze,0.0,0.97,articulation_only,0.15,turn_articulation,0.15,none,0.0,999.0,1e-06,3.0,1.2,raw,0.05,0.0,22.199077937496824,0.0,81,4,4,12,12,0,0.0,0.0,0.0,0.0,0.0,0,5.154606909669065,1.3454815587499362,5.154606909669065,1.3454815587499362,7.3541200260370445,1.9143853113550462,0.97,22.19907793749682,1.0,4,True,-22.199077937496824,-22.199077937496824,0.0,0.0,fb_000_to_001,804.0,390.0,67.0,32.5,268.0,130.0,67.0,32.5,,,0.0,4,"(1, 5)",2.477631133946086,,,0.0,143.35460690966906,soft3,turn_articulation,31,hybrid_threshold,4,1.3454815587499362,1.9143853113550462
maze,0.0,0.97,articulation_only,0.15,bottleneck,0.15,none,0.0,999.0,1e-06,3.0,1.2,raw,0.05,0.0,22.199077937496824,0.0,81,4,4,12,12,0,0.0,0.0,0.0,0.0,0.0,0,3.281442720524923,1.3314942169730428,3.281442720524923,1.3314942169730428,4.745558148687038,1.9143853113550462,0.97,22.19907793749682,1.0,1,True,-22.199077937496824,-22.199077937496824,0.0,0.0,fb_000_to_001,804.0,390.0,67.0,32.5,268.0,130.0,67.0,32.5,,,0.0,55,"(5, 17)",1.3314942169730428,,,0.0,141.4814427205249,soft3,bottleneck,14,hybrid_threshold,4,1.3454815587499362,1.9143853113550462
maze,0.0,0.97,articulation_only,0.15,combined,0.15,none,0.0,999.0,1e-06,3.0,1.2,raw,0.05,0.0,22.199077937496824,0.0,81,4,4,12,12,0,0.0,0.0,0.0,0.0,0.0,0,2.648898845530539,1.379994216973043,2.648898845530539,1.379994216973043,3.8936884205870355,1.9821311969713749,0.97,22.19907793749682,1.0,1,True,-22.199077937496824,-22.199077937496824,0.0,0.0,fb_000_to_001,804.0,390.0,67.0,32.5,268.0,130.0,67.0,32.5,,,0.0,56,"(5, 18)",1.379994216973043,,,0.0,140.84889884553053,soft3,combined,13,hybrid_threshold,4,1.3454815587499362,1.9143853113550462
maze,0.05,0.97,articulation_only,0.15,junction,0.15,none,0.0,999.0,1e-06,3.0,1.2,raw,0.05,0.0,23.006540118833655,0.0,81,7,7,42,42,0,0.0,0.0,0.0,0.0,0.0,0,9.834526994928117,0.9274778782772254,9.834526994928117,0.9274778782772254,82.58566558485353,3.184798245166546,0.97,21.536131680804743,0.9999999052671552,0,True,-23.00654011885091,-23.006540118833655,1.7255530337934033e-11,1.7255530337934033e-11,fb_000_to_006,2753.0,1428.0,65.54761904761905,34.0,458.8333333333334,238.0,65.54761904761907,34.0,,,0.0,,,0.0,,,0.0,277.7011936615948,soft3,junction,8,hybrid_threshold,7,1.3128591892353998,8.390079422358772
maze,0.05,0.97,articulation_only,0.15,decision,0.15,none,0.0,999.0,1e-06,3.0,1.2,raw,0.05,0.0,23.006540118833655,0.0,81,7,7,42,42,0,0.0,0.0,0.0,0.0,0.0,0,25.14693063996582,1.3128591892353998,25.14693063996582,1.3128591892353998,151.83463387929896,8.39007942235877,0.97,21.536131680804743,1.0,1,True,-23.00654011885091,-23.006540118833655,1.7255530337934033e-11,1.7255530337934033e-11,fb_000_to_006,2753.0,1428.0,65.54761904761905,34.0,458.8333333333334,238.0,65.54761904761907,34.0,,,0.0,57,"(5, 19)",1.2898335366875762,,,0.0,293.0135973066325,soft3,decision,36,hybrid_threshold,7,1.3128591892353998,8.390079422358772
maze,0.05,0.97,articulation_only,0.15,turn_articulation,0.15,none,0.0,999.0,1e-06,3.0,1.2,raw,0.05,0.0,23.006540118833655,0.0,81,7,7,42,42,0,0.0,0.0,0.0,0.0,0.0,0,25.14693063996582,1.3128591892353998,25.14693063996582,1.3128591892353998,151.83463387929896,8.390079422358772,0.97,21.536131680804743,1.0,1,True,-23.00654011885091,-23.006540118833655,1.7255530337934033e-11,1.7255530337934033e-11,fb_000_to_006,2753.0,1428.0,65.54761904761905,34.0,458.8333333333334,238.0,65.54761904761907,34.0,,,0.0,57,"(5, 19)",1.2898335366875762,,,0.0,293.0135973066325,soft3,turn_articulation,35,hybrid_threshold,7,1.3128591892353998,8.390079422358772
maze,0.05,0.97,articulation_only,0.15,bottleneck,0.15,none,0.0,999.0,1e-06,3.0,1.2,raw,0.05,0.0,23.006540118833655,0.0,81,7,7,42,42,0,0.0,0.0,0.0,0.0,0.0,0,17.62183135588358,1.3128591892353998,17.62183135588358,1.3128591892353998,98.00318494818876,3.7816651959888627,0.97,21.536131680804743,0.9999999999999997,1,True,-23.00654011885091,-23.006540118833655,1.7255530337934033e-11,1.7255530337934033e-11,fb_000_to_006,2753.0,1428.0,65.54761904761905,34.0,458.8333333333334,238.0,65.54761904761907,34.0,,,0.0,57,"(5, 19)",1.2898335366875762,,,0.0,285.48849802255023,soft3,bottleneck,17,hybrid_threshold,7,1.3128591892353998,8.390079422358772
maze,0.05,0.97,articulation_only,0.15,combined,0.15,none,0.0,999.0,1e-06,3.0,1.2,raw,0.05,0.0,23.006540118833655,0.0,81,7,7,42,42,0,0.0,0.0,0.0,0.0,0.0,0,11.929917441157155,1.36342546976261,11.929917441157155,1.36342546976261,84.18171514125287,3.825476180815202,0.97,21.536131680804743,0.9999999069291351,1,True,-23.00654011885091,-23.006540118833655,1.7255530337934033e-11,1.7255530337934033e-11,fb_000_to_006,2753.0,1428.0,65.54761904761905,34.0,458.8333333333334,238.0,65.54761904761907,34.0,,,0.0,63,"(6, 19)",1.3399181340770479,,,0.0,279.79658410782383,soft3,combined,13,hybrid_threshold,7,1.3128591892353998,8.390079422358772
corridor,0.0,0.97,articulation_only,0.15,junction,0.15,none,0.0,999.0,1e-06,3.0,1.2,raw,0.05,0.0,8.75252910350239,0.0,11,2,2,2,2,0,0.0,0.0,0.0,0.0,0.0,0,3.108624468950438e-16,1.9984014443252818e-16,3.108624468950438e-16,1.9984014443252818e-16,1.618572751340554e-15,1.195752858752444e-15,0.7374241268949282,8.752529103502386,0.0,0,True,-8.75252910350239,-8.75252910350239,0.0,0.0,fb_000_to_001,4.0,4.0,2.0,2.0,4.0,4.0,2.0,2.0,,,0.0,,,0.0,,,0.0,7.8999999999999995,raw_residual12,junction,2,hybrid_threshold,2,1.9984014443252818e-16,1.195752858752444e-15
