option,src_state,src_coord,target_state,target_coord,primitive_distance,within_horizon,edge_valid,visible_mass,hidden_mass,hidden_gamma_mass,hidden_argmax_state,hidden_argmax_coord,hidden_argmax_prob,reward,map,slip,step
fb_001_to_002,3,"(1, 4)",34,"(5, 7)",7.0,True,False,0.002627521014877374,0.9973724789851225,0.8781438469096289,31,"(5, 4)",0.8737387629252441,-3.991725106214546,open_room,0.05,1
fb_001_to_000,2,"(1, 3)",0,"(1, 1)",2.0,True,True,0.9999999055425894,9.445741043010982e-08,8.277243236358119e-08,30,"(5, 3)",8.986531051901392e-08,-2.0829985922763044,open_room,0.05,2
fb_002_to_000,3,"(1, 4)",0,"(1, 1)",3.0,True,True,0.9999999056712304,9.432876930606184e-08,8.282226705439423e-08,31,"(5, 4)",8.422352607669722e-08,-1.0863919938069568,open_room,0.05,2
fb_003_to_000,34,"(5, 7)",0,"(1, 1)",10.0,True,False,0.9996819731136666,0.00031802688633326357,0.00029719710383790677,32,"(5, 5)",0.0003178367808974349,-6.752304310328127,open_room,0.05,2
fb_000_to_001,0,"(1, 1)",2,"(1, 3)",2.0,True,True,0.9999999938088628,6.191137528336999e-09,5.108790867408077e-09,30,"(5, 3)",6.034759417274783e-09,-2.1195218837007603,open_room,0.05,2
fb_002_to_001,3,"(1, 4)",2,"(1, 3)",1.0,True,True,0.9999999056712304,9.432876930606184e-08,8.282226705439423e-08,31,"(5, 4)",8.422352607669722e-08,-1.0863919938069568,open_room,0.05,2
fb_003_to_001,34,"(5, 7)",2,"(1, 3)",8.0,True,False,0.9996819731136666,0.00031802688633326357,0.00029719710383790677,32,"(5, 5)",0.0003178367808974349,-6.752304310328127,open_room,0.05,2
fb_000_to_002,0,"(1, 1)",3,"(1, 4)",3.0,True,True,0.9999999938088628,6.191137528336999e-09,5.108790867408077e-09,30,"(5, 3)",6.034759417274783e-09,-2.1195218837007603,open_room,0.05,2
fb_001_to_002,2,"(1, 3)",3,"(1, 4)",1.0,True,True,0.9999999112578063,8.874219379545012e-08,7.80531618345561e-08,30,"(5, 3)",8.429654156081494e-08,-1.0854566681286275,open_room,0.05,2
fb_003_to_002,34,"(5, 7)",3,"(1, 4)",7.0,True,False,0.9996819731136666,0.00031802688633326357,0.00029719710383790677,32,"(5, 5)",0.0003178367808974349,-6.752304310328127,open_room,0.05,2
fb_000_to_003,0,"(1, 1)",34,"(5, 7)",10.0,True,False,0.000317986361677708,0.9996820136383227,0.8239865516367619,30,"(5, 3)",0.9996017886116781,-5.857209366702483,open_room,0.05,2
fb_001_to_003,2,"(1, 3)",34,"(5, 7)",8.0,True,False,0.017880438279689166,0.9821195617203107,0.8613210330416333,30,"(5, 3)",0.9359849262588846,-4.046593669142539,open_room,0.05,2
fb_002_to_003,3,"(1, 4)",34,"(5, 7)",7.0,True,False,0.02015116125093623,0.9798488387490636,0.8611892231487231,31,"(5, 4)",0.8737387629252441,-3.991725106214546,open_room,0.05,2
fb_001_to_000,2,"(1, 3)",0,"(1, 1)",2.0,True,True,0.9999999954079,4.5920999110959036e-09,3.907633957559851e-09,31,"(5, 4)",4.440320714476093e-09,-2.0829985922763044,open_room,0.05,3
fb_002_to_000,3,"(1, 4)",0,"(1, 1)",3.0,True,True,0.9999999099731659,9.002683380495238e-08,7.915069972907604e-08,31,"(5, 4)",8.422352607669722e-08,-1.0863919938069568,open_room,0.05,3
fb_003_to_000,30,"(5, 3)",0,"(1, 1)",6.0,True,False,0.9824714210209332,0.01752857897906693,0.016958965267933498,31,"(5, 4)",0.017523552254859593,-4.043187278297906,open_room,0.05,3
fb_004_to_000,34,"(5, 7)",0,"(1, 1)",10.0,True,False,0.9996819765355036,0.00031802346449626677,0.0002971943203777822,32,"(5, 5)",0.0003178367808974349,-6.752304310328127,open_room,0.05,3
fb_000_to_001,0,"(1, 1)",2,"(1, 3)",2.0,True,True,0.9999999998436223,1.5637811106221632e-10,1.2497684652558588e-10,31,"(5, 4)",1.5202268330562092e-10,-2.1195218837007603,open_room,0.05,3
fb_002_to_001,3,"(1, 4)",2,"(1, 3)",1.0,True,True,0.9999999099731659,9.002683380495238e-08,7.915069972907604e-08,31,"(5, 4)",8.422352607669722e-08,-1.0863919938069568,open_room,0.05,3
fb_003_to_001,30,"(5, 3)",2,"(1, 3)",4.0,True,False,0.9824714210209331,0.01752857897906693,0.016958965267933498,31,"(5, 4)",0.017523552254859593,-4.043187278297906,open_room,0.05,3
fb_004_to_001,34,"(5, 7)",2,"(1, 3)",8.0,True,False,0.9996819765355036,0.00031802346449626677,0.0002971943203777822,32,"(5, 5)",0.0003178367808974349,-6.752304310328127,open_room,0.05,3
fb_000_to_002,0,"(1, 1)",3,"(1, 4)",3.0,True,True,0.9999999998436223,1.5637811106221632e-10,1.2497684652558588e-10,31,"(5, 4)",1.5202268330562092e-10,-2.1195218837007603,open_room,0.05,3
fb_001_to_002,2,"(1, 3)",3,"(1, 4)",1.0,True,True,0.9999999955543478,4.44565223463519e-09,3.79051471749726e-09,31,"(5, 4)",4.29796335053122e-09,-1.0854566681286275,open_room,0.05,3
