option,src_state,src_coord,target_state,target_coord,primitive_distance,within_horizon,edge_valid,visible_mass,hidden_mass,hidden_gamma_mass,hidden_argmax_state,hidden_argmax_coord,hidden_argmax_prob,soft_cost,soft_argmax_state,soft_argmax_coord,soft_argmax_score,model_residual,residual_threshold_metric,residual_reward_abs,residual_gamma_l1,residual_hit_l1,residual_backup_raw,residual_backup_value,residual_backup_value_norm,residual_reward_per_discounted_step,residual_gamma_relative,residual_tau_relative,value_scale_task,beta_row,l_gamma_row,expected_tau_global,expected_tau_residual,residual_hidden_mass,residual_hidden_gamma_mass,residual_argmax_state,residual_argmax_coord,residual_argmax_prob,reward,map,slip,step
fb_001_to_002,28,"(5, 1)",34,"(5, 7)",6.0,True,True,0.9999999999999999,0.0,0.0,,,0.0,3.791236954797837,30,"(5, 3)",0.9994572945038726,0.13485162561002806,0.9340419716053943,0.3813007410542424,0.11578658855731594,0.13333315862933853,0.4970873296115583,1.4453809633709924,0.9340419716053943,0.06793429585033313,0.13923076850005853,0.06135201057476139,9.19001272578314,0.8316163862678619,5.612787124404597,6.088647431219639,6.523550203380581,6.186873251884263e-09,4.471971358880578e-09,6,"(1, 7)",6.186873251884263e-09,-5.994087883882042,open_room,0.05,1
fb_001_to_000,6,"(1, 7)",0,"(1, 1)",6.0,True,True,1.0,0.0,0.0,,,0.0,3.2559081772622354e-07,33,"(5, 6)",8.445462027860479e-08,0.13485163042702433,0.934042009109098,0.3813007583054926,0.11578659251174969,0.13333316481621213,0.4970873508172423,1.445381016963539,0.934042009109098,0.06793429913269557,0.13923077316852908,0.06135201432780491,9.19001272578314,0.8316163867853994,5.612787107153348,6.088647406153493,6.523550203380579,0.0,0.0,,,0.0,-5.994087865458839,open_room,0.05,2
fb_002_to_000,28,"(5, 1)",0,"(1, 1)",4.0,True,True,0.9999999999999998,0.0,0.0,,,0.0,0.0003122037938653797,30,"(5, 3)",0.000306746524420294,0.09995309817868028,0.9483608278363993,0.1977422251009564,0.09006598692363246,0.10001947581748308,0.28780821202458884,1.0254497910893567,0.9483608278363993,0.0504192046367791,0.10207615182196642,0.042368302087709045,9.19001272578314,0.8823411278348229,3.9219624055059006,4.123810221706872,4.34089736102024,0.0,0.0,,,0.0,-4.119704630606856,open_room,0.05,2
fb_003_to_000,34,"(5, 7)",0,"(1, 1)",10.0,True,True,1.0000000000000002,0.0,0.0,,,0.0,0.01812624217072081,33,"(5, 6)",0.01781402703454222,0.10015693546948175,0.9083694286465348,0.20793408964102955,0.08976023098743027,0.10001947581748293,0.2976943206284598,1.0328317546847479,0.9083694286465348,0.05041920463677937,0.10243364380275367,0.04286019915128176,9.19001272578314,0.8762768525570823,4.124104914763919,4.381461361005864,4.612111866663503,0.0,0.0,,,0.0,-4.332039004404954,open_room,0.05,2
fb_000_to_001,0,"(1, 1)",6,"(1, 7)",6.0,True,True,1.0,0.0,0.0,,,0.0,3.1083154218521637e-07,30,"(5, 3)",8.313804910438455e-08,0.13485163042702417,0.9340420091090967,0.3813007583054917,0.11578659251174958,0.13333316481621224,0.4970873508172413,1.445381016963537,0.9340420091090967,0.06793429913269541,0.13923077316852894,0.06135201432780478,9.19001272578314,0.8316163867853994,5.612787107153348,6.088647406153494,6.523550203380579,0.0,0.0,,,0.0,-5.994087865458839,open_room,0.05,2
fb_002_to_001,28,"(5, 1)",6,"(1, 7)",10.0,True,True,0.9999999999999998,0.0,0.0,,,0.0,0.00031222078764630076,30,"(5, 3)",0.00030675067015108643,0.10015693546948198,0.9083694286465342,0.20793408964102955,0.08976023098743051,0.1000194758174828,0.2976943206284601,1.03283175468475,0.9083694286465342,0.05041920463677923,0.10243364380275398,0.042860199151281246,9.19001272578314,0.876276852557082,4.12410491476393,4.381461361005866,4.612111866663502,0.0,0.0,,,0.0,-4.332039004404954,open_room,0.05,2
fb_003_to_001,34,"(5, 7)",6,"(1, 7)",4.0,True,True,1.0000000000000002,0.0,0.0,,,0.0,0.018126229019795704,33,"(5, 6)",0.017814026931900522,0.09995309817868026,0.9483608278363996,0.19774222510095596,0.09006598692363246,0.10001947581748319,0.2878082120245884,1.0254497910893563,0.9483608278363996,0.050419204636779034,0.10207615182196642,0.04236830208770887,9.19001272578314,0.882341127834823,3.9219624055058966,4.123810221706872,4.3408973610202395,0.0,0.0,,,0.0,-4.119704630606855,open_room,0.05,2
fb_000_to_002,0,"(1, 1)",28,"(5, 1)",4.0,True,True,1.0,0.0,0.0,,,0.0,0.0035409633957835304,30,"(5, 3)",0.0033976406073234523,0.09995309817868026,0.9483608278364005,0.19774222510095774,0.09006598692363237,0.10001947581748306,0.2878082120245901,1.0254497910893572,0.9483608278364005,0.050419204636779485,0.1020761518219663,0.04236830208770923,9.19001272578314,0.882341127834823,3.9219624055058966,4.12381022170687,4.3408973610202395,0.0,0.0,,,0.0,-4.119704630606857,open_room,0.05,2
fb_001_to_002,6,"(1, 7)",28,"(5, 1)",10.0,True,True,0.9999999999999999,0.0,0.0,,,0.0,0.220178749690727,32,"(5, 5)",0.05649883051180477,0.10015693546948162,0.90836942864653,0.2079340896410269,0.08976023098743027,0.10001947581748283,0.29769432062845713,1.0328317546847452,0.90836942864653,0.050419204636778577,0.10243364380275372,0.042860199151281586,9.19001272578314,0.876276852557082,4.12410491476393,4.381461361005865,4.612111866663503,0.0,0.0,,,0.0,-4.332039004404954,open_room,0.05,2
fb_003_to_002,34,"(5, 7)",28,"(5, 1)",6.0,True,True,0.9999999999999998,0.0,0.0,,,0.0,3.934571969055182,33,"(5, 6)",1.0331285666248693,0.13485163042702478,0.9340420091091013,0.3813007583054926,0.11578659251175014,0.1333331648162121,0.49708735081724276,1.445381016963543,0.9340420091091013,0.06793429913269561,0.1392307731685296,0.06135201432780502,9.19001272578314,0.8316163867853995,5.612787107153345,6.088647406153495,6.523550203380582,0.0,0.0,,,0.0,-5.99408786545884,open_room,0.05,2
fb_000_to_003,0,"(1, 1)",34,"(5, 7)",10.0,True,True,1.0,0.0,0.0,,,0.0,0.21454469208296828,30,"(5, 3)",0.05649883051180478,0.10015693546948196,0.908369428646536,0.20793408964102866,0.08976023098743052,0.1000194758174828,0.2976943206284592,1.0328317546847492,0.908369428646536,0.05041920463677915,0.10243364380275397,0.04286019915128141,9.19001272578314,0.8762768525570823,4.124104914763919,4.381461361005866,4.612111866663503,0.0,0.0,,,0.0,-4.332039004404955,open_room,0.05,2
fb_001_to_003,6,"(1, 7)",34,"(5, 7)",4.0,True,True,0.9999999999999999,0.0,0.0,,,0.0,0.061823010632770514,33,"(5, 6)",0.05828218900110399,0.09995309817868074,0.9483608278364013,0.1977422251009564,0.09006598692363292,0.10001947581748297,0.28780821202458934,1.0254497910893607,0.9483608278364013,0.05041920463677901,0.10207615182196697,0.04236830208770923,9.19001272578314,0.8823411278348227,3.9219624055059077,4.12381022170687,4.3408973610202395,0.0,0.0,,,0.0,-4.119704630606856,open_room,0.05,2
fb_002_to_003,28,"(5, 1)",34,"(5, 7)",6.0,True,True,0.9999999999999996,0.0,0.0,,,0.0,3.7912369545213656,30,"(5, 3)",0.9994572945038515,0.1348516304270245,0.9340420091090982,0.3813007583054917,0.11578659251174991,0.13333316481621155,0.49708735081724165,1.4453810169635402,0.9340420091090982,0.06793429913269537,0.13923077316852936,0.0613520143278053,9.19001272578314,0.8316163867853993,5.612787107153352,6.088647406153492,6.523550203380581,0.0,0.0,,,0.0,-5.994087865458839,open_room,0.05,2
fb_001_to_000,50,"(5, 11)",0,"(1, 1)",14.0,True,False,0.0,1.0,0.8329720049289999,26,"(3, 7)",1.0,1.2329439104767141,40,"(4, 11)",0.6352433976385771,0.953062489907928,3.3751066619041907,6.00452424894641,0.6528362774606075,1.0,6.657360526407017,13.559226658679211,3.3751066619041907,0.5188783152535545,1.0,0.5333333333333333,11.57212408464641,0.6528362774606075,11.572124084646408,14.0,6.0,1.0,0.8329720049289999,26,"(3, 7)",1.0,-5.567599835699999,four_rooms,0.0,0
fb_000_to_001,0,"(1, 1)",50,"(5, 11)",14.0,True,False,0.0,1.0,0.8329720049289999,24,"(3, 5)",1.0,0.0,,,0.0,0.953062489907928,3.3751066619041907,6.00452424894641,0.6528362774606075,1.0,6.657360526407017,13.559226658679211,3.3751066619041907,0.5188783152535545,1.0,0.5333333333333333,11.57212408464641,0.6528362774606075,11.572124084646408,14.0,6.0,1.0,0.8329720049289999,24,"(3, 5)",1.0,-5.567599835699999,four_rooms,0.0,0
fb_001_to_000,26,"(3, 7)",0,"(1, 1)",8.0,True,False,0.0,1.0,0.9409,24,"(3, 5)",1.0,0.0,,,0.0,1.0456710937082025,5.7174232865205745,5.238554685410129,0.783743359437696,1.0,6.022298044847825,14.308130091340779,5.7174232865205745,0.7267135943371268,1.0,0.6666666666666666,11.57212408464641,0.783743359437696,7.208554685410126,8.0,2.0,1.0,0.9409,24,"(3, 5)",1.0,-1.97,four_rooms,0.0,1
fb_002_to_000,50,"(5, 11)",0,"(1, 1)",14.0,True,True,1.0,0.0,0.0,24,"(3, 5)",0.0,1.2329439104767141,40,"(4, 11)",0.6352433976385771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.57212408464641,0.8329720049289999,5.567599835699998,6.0,6.0,0.0,0.0,4,"(1, 5)",0.0,-5.567599835699999,four_rooms,0.0,1
