src_state,dst_state,src,dst,option,hit_probability,gamma_terminal,expected_tau,reward
47,69,"(5, 7)","(7, 7)",S,1.0,0.9409,2.0,-1.97
49,49,"(5, 9)","(5, 9)",S,1.0,0.97,1.0,-1.0
50,50,"(5, 11)","(5, 11)",S,1.0,0.97,1.0,-1.0
52,75,"(5, 13)","(7, 13)",S,1.0,0.9409,2.0,-1.97
54,76,"(5, 15)","(7, 15)",S,1.0,0.9409,2.0,-1.97
55,55,"(5, 17)","(5, 17)",S,1.0,0.97,1.0,-1.0
57,80,"(5, 19)","(7, 19)",S,1.0,0.9409,2.0,-1.97
64,64,"(7, 1)","(7, 1)",S,1.0,0.97,1.0,-1.0
68,68,"(7, 5)","(7, 5)",S,1.0,0.97,1.0,-1.0
69,69,"(7, 7)","(7, 7)",S,1.0,0.97,1.0,-1.0
75,75,"(7, 13)","(7, 13)",S,1.0,0.97,1.0,-1.0
76,76,"(7, 15)","(7, 15)",S,1.0,0.97,1.0,-1.0
80,80,"(7, 19)","(7, 19)",S,1.0,0.97,1.0,-1.0
0,0,"(1, 1)","(1, 1)",W,1.0,0.97,1.0,-1.0
4,0,"(1, 5)","(1, 1)",W,0.9999999999999999,0.8852928099999999,4.000000000000001,-3.8235729999999997
5,5,"(1, 7)","(1, 7)",W,1.0,0.97,1.0,-1.0
11,5,"(1, 13)","(1, 7)",W,1.000000000000001,0.8329720049289999,6.0,-5.567599835699999
12,12,"(1, 15)","(1, 15)",W,1.0,0.97,1.0,-1.0
16,12,"(1, 19)","(1, 15)",W,0.9999999999999999,0.8852928099999999,4.000000000000001,-3.8235729999999997
23,23,"(3, 1)","(3, 1)",W,1.0,0.97,1.0,-1.0
25,23,"(3, 3)","(3, 1)",W,1.0,0.9409,2.0,-1.97
26,26,"(3, 5)","(3, 5)",W,1.0,0.97,1.0,-1.0
28,26,"(3, 7)","(3, 5)",W,1.0,0.9409,2.0,-1.97
29,29,"(3, 9)","(3, 9)",W,1.0,0.97,1.0,-1.0
31,29,"(3, 11)","(3, 9)",W,1.0,0.9409,2.0,-1.97
32,32,"(3, 13)","(3, 13)",W,1.0,0.97,1.0,-1.0
34,32,"(3, 15)","(3, 13)",W,1.0,0.9409,2.0,-1.97
35,35,"(3, 17)","(3, 17)",W,1.0,0.97,1.0,-1.0
37,35,"(3, 19)","(3, 17)",W,1.0,0.9409,2.0,-1.97
42,42,"(5, 1)","(5, 1)",W,1.0,0.97,1.0,-1.0
44,42,"(5, 3)","(5, 1)",W,1.0,0.9409,2.0,-1.97
45,45,"(5, 5)","(5, 5)",W,1.0,0.97,1.0,-1.0
47,45,"(5, 7)","(5, 5)",W,1.0,0.9409,2.0,-1.97
49,47,"(5, 9)","(5, 7)",W,1.0,0.9409,2.0,-1.97
50,50,"(5, 11)","(5, 11)",W,1.0,0.97,1.0,-1.0
52,50,"(5, 13)","(5, 11)",W,1.0,0.9409,2.0,-1.97
54,52,"(5, 15)","(5, 13)",W,1.0,0.9409,2.0,-1.97
55,55,"(5, 17)","(5, 17)",W,1.0,0.97,1.0,-1.0
57,55,"(5, 19)","(5, 17)",W,1.0,0.9409,2.0,-1.97
64,64,"(7, 1)","(7, 1)",W,1.0,0.97,1.0,-1.0
68,64,"(7, 5)","(7, 1)",W,0.9999999999999999,0.8852928099999999,4.000000000000001,-3.8235729999999997
69,69,"(7, 7)","(7, 7)",W,1.0,0.97,1.0,-1.0
75,69,"(7, 13)","(7, 7)",W,1.000000000000001,0.8329720049289999,6.0,-5.567599835699999
76,76,"(7, 15)","(7, 15)",W,1.0,0.97,1.0,-1.0
80,76,"(7, 19)","(7, 15)",W,0.9999999999999999,0.8852928099999999,4.000000000000001,-3.8235729999999997
0,4,"(1, 1)","(1, 5)",E,0.9999999999999997,0.8852928099999999,4.000000000000001,-3.8235729999999997
4,4,"(1, 5)","(1, 5)",E,1.0,0.97,1.0,-1.0
5,11,"(1, 7)","(1, 13)",E,0.9999999999999999,0.8329720049289999,6.000000000000003,-5.567599835699999
11,11,"(1, 13)","(1, 13)",E,1.0,0.97,1.0,-1.0
12,16,"(1, 15)","(1, 19)",E,0.9999999999999997,0.8852928099999999,4.000000000000001,-3.8235729999999997
16,16,"(1, 19)","(1, 19)",E,1.0,0.97,1.0,-1.0
23,25,"(3, 1)","(3, 3)",E,1.0,0.9409,2.0,-1.97
25,25,"(3, 3)","(3, 3)",E,1.0,0.97,1.0,-1.0
26,28,"(3, 5)","(3, 7)",E,1.0,0.9409,2.0,-1.97
28,28,"(3, 7)","(3, 7)",E,1.0,0.97,1.0,-1.0
29,31,"(3, 9)","(3, 11)",E,1.0,0.9409,2.0,-1.97
31,31,"(3, 11)","(3, 11)",E,1.0,0.97,1.0,-1.0
32,34,"(3, 13)","(3, 15)",E,1.0,0.9409,2.0,-1.97
34,34,"(3, 15)","(3, 15)",E,1.0,0.97,1.0,-1.0
35,37,"(3, 17)","(3, 19)",E,1.0,0.9409,2.0,-1.97
37,37,"(3, 19)","(3, 19)",E,1.0,0.97,1.0,-1.0
42,44,"(5, 1)","(5, 3)",E,1.0,0.9409,2.0,-1.97
44,44,"(5, 3)","(5, 3)",E,1.0,0.97,1.0,-1.0
45,47,"(5, 5)","(5, 7)",E,1.0,0.9409,2.0,-1.97
47,49,"(5, 7)","(5, 9)",E,1.0,0.9409,2.0,-1.97
49,49,"(5, 9)","(5, 9)",E,1.0,0.97,1.0,-1.0
50,52,"(5, 11)","(5, 13)",E,1.0,0.9409,2.0,-1.97
52,54,"(5, 13)","(5, 15)",E,1.0,0.9409,2.0,-1.97
54,54,"(5, 15)","(5, 15)",E,1.0,0.97,1.0,-1.0
55,57,"(5, 17)","(5, 19)",E,1.0,0.9409,2.0,-1.97
57,57,"(5, 19)","(5, 19)",E,1.0,0.97,1.0,-1.0
64,68,"(7, 1)","(7, 5)",E,0.9999999999999997,0.8852928099999999,4.000000000000001,-3.8235729999999997
68,68,"(7, 5)","(7, 5)",E,1.0,0.97,1.0,-1.0
69,75,"(7, 7)","(7, 13)",E,0.9999999999999999,0.8329720049289999,6.000000000000003,-5.567599835699999
75,75,"(7, 13)","(7, 13)",E,1.0,0.97,1.0,-1.0
76,80,"(7, 15)","(7, 19)",E,0.9999999999999997,0.8852928099999999,4.000000000000001,-3.8235729999999997
80,80,"(7, 19)","(7, 19)",E,1.0,0.97,1.0,-1.0
