map,m_train,risk_kind,train_probes,test_probes,n_basis,n_boundary,selection_time_sec,train_bits_mean,train_bits_max,train_bits_cvar,test_bits_mean,test_bits_max,test_bits_cvar,test_minus_train_mean,boundary
four_rooms_9,5,max,"['junction', 'bottleneck', 'turn_articulation', 'combined', 'value_gradient']",['transition_entropy'],28,5,3.1576236450346187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[0, 1, 2, 9, 67]"
open_room_7,1,mean,['junction'],"['bottleneck', 'turn_articulation', 'combined', 'value_gradient', 'transition_entropy']",14,5,0.3484372209641151,4.93196715778488,4.93196715778488,4.93196715778488,0.9863965936057042,4.93196715778488,4.93196715778488,-3.9455705641791754,"[0, 7, 8, 15, 48]"
open_room_7,1,mean_cvar,['junction'],"['bottleneck', 'turn_articulation', 'combined', 'value_gradient', 'transition_entropy']",14,5,0.3641518919612281,4.93196715778488,4.93196715778488,4.93196715778488,0.9863965936057042,4.93196715778488,4.93196715778488,-3.9455705641791754,"[0, 7, 8, 15, 48]"
open_room_7,1,max,['junction'],"['bottleneck', 'turn_articulation', 'combined', 'value_gradient', 'transition_entropy']",14,5,0.36368972196942195,4.93196715778488,4.93196715778488,4.93196715778488,0.9863965936057042,4.93196715778488,4.93196715778488,-3.9455705641791754,"[0, 7, 8, 15, 48]"
open_room_7,2,mean,"['junction', 'bottleneck']","['turn_articulation', 'combined', 'value_gradient', 'transition_entropy']",14,5,0.6990398250054568,4.93196715778488,4.93196715778488,4.93196715778488,3.952560910514212e-06,8.017796861141765e-06,8.017796861141765e-06,-4.931963205223969,"[0, 7, 8, 15, 48]"
open_room_7,2,mean_cvar,"['junction', 'bottleneck']","['turn_articulation', 'combined', 'value_gradient', 'transition_entropy']",14,5,0.7145033440319821,4.93196715778488,4.93196715778488,4.93196715778488,3.952560910514212e-06,8.017796861141765e-06,8.017796861141765e-06,-4.931963205223969,"[0, 7, 8, 15, 48]"
open_room_7,2,max,"['junction', 'bottleneck']","['turn_articulation', 'combined', 'value_gradient', 'transition_entropy']",14,5,0.698929545993451,196.89662995791372,202.81313284358265,202.81313284358265,133.17441037811,173.00311381340234,173.00311381340234,-63.72221957980372,"[0, 3, 4, 7, 48]"
open_room_7,3,mean,"['junction', 'bottleneck', 'turn_articulation']","['combined', 'value_gradient', 'transition_entropy']",14,5,1.059137026022654,255.62833103376417,484.15588326108866,484.15588326108866,186.6245030837655,190.67959045774634,190.67959045774634,-69.00382794999868,"[0, 4, 6, 7, 48]"
open_room_7,3,mean_cvar,"['junction', 'bottleneck', 'turn_articulation']","['combined', 'value_gradient', 'transition_entropy']",14,5,1.096337957016658,255.62833103376417,484.15588326108866,484.15588326108866,186.6245030837655,190.67959045774634,190.67959045774634,-69.00382794999868,"[0, 4, 6, 7, 48]"
open_room_7,3,max,"['junction', 'bottleneck', 'turn_articulation']","['combined', 'value_gradient', 'transition_entropy']",14,5,1.059991389978677,135.82809901125415,202.81313284358265,202.81313284358265,173.002201464835,173.00311381340234,173.00311381340234,37.17410245358084,"[0, 3, 4, 7, 48]"
open_room_7,4,mean,"['junction', 'bottleneck', 'turn_articulation', 'combined']","['value_gradient', 'transition_entropy']",14,5,1.5253355110180564,237.87048615372746,484.15588326108866,484.15588326108866,187.63827886883954,190.67959045774634,190.67959045774634,-50.23220728488792,"[0, 4, 6, 7, 48]"
open_room_7,4,mean_cvar,"['junction', 'bottleneck', 'turn_articulation', 'combined']","['value_gradient', 'transition_entropy']",14,5,1.5251845570164733,237.87048615372746,484.15588326108866,484.15588326108866,187.63827886883954,190.67959045774634,190.67959045774634,-50.23220728488792,"[0, 4, 6, 7, 48]"
open_room_7,4,max,"['junction', 'bottleneck', 'turn_articulation', 'combined']","['value_gradient', 'transition_entropy']",14,5,1.5418241020524874,145.1215086572099,202.81313284358265,202.81313284358265,173.00243339971394,173.00311381340234,173.00311381340234,27.88092474250405,"[0, 3, 4, 7, 48]"
open_room_7,5,mean,"['junction', 'bottleneck', 'turn_articulation', 'combined', 'value_gradient']",['transition_entropy'],14,5,1.9820147880236618,143.46855560531117,191.21884477824653,191.21884477824653,172.72618501037644,172.72618501037644,172.72618501037644,29.257629405065273,"[0, 7, 36, 43, 48]"
open_room_7,5,mean_cvar,"['junction', 'bottleneck', 'turn_articulation', 'combined', 'value_gradient']",['transition_entropy'],14,5,1.9588361430214718,143.46855560531117,191.21884477824653,191.21884477824653,172.72618501037644,172.72618501037644,172.72618501037644,29.257629405065273,"[0, 7, 36, 43, 48]"
open_room_7,5,max,"['junction', 'bottleneck', 'turn_articulation', 'combined', 'value_gradient']",['transition_entropy'],14,5,1.9690318299690261,150.6978296884484,202.81313284358265,202.81313284358265,173.00175298602554,173.00175298602554,173.00175298602554,22.303923297577143,"[0, 3, 4, 7, 48]"
