map_family,map_size,map,slip,method,repeat,pair_id,host,n_states,iterations,state_updates,backup_count,time_sec,bellman_residual,max_value_error,start_value_error,error
corridor,256,corridor_256,0.1,sparse_vectorized_vi,4,corridor_256|0.1|4,node001,256,341,87296,349184,0.017892675008624792,5.026379312766949e-11,1.3950796073913807e-10,1.3950796073913807e-10,
corridor,256,corridor_256,0.1,gauss_seidel_vi,4,corridor_256|0.1|4,node001,256,317,81152,324608,0.38496111589483917,3.703348738781642e-11,7.507594546041219e-11,7.507594546041219e-11,
corridor,256,corridor_256,0.1,prioritized_sweeping,4,corridor_256|0.1|4,node001,256,178666,178666,4111552,6.0333263060310856,9.50457490489498e-11,8.879581514520396e-10,6.589999657080625e-10,
corridor,512,corridor_512,0.0,sparse_vectorized_vi,0,corridor_512|0.0|0,node005,512,512,262144,1048576,0.02994245698209852,0.0,0.0,0.0,
corridor,512,corridor_512,0.0,gauss_seidel_vi,0,corridor_512|0.0|0,node005,512,512,262144,1048576,1.288764396100305,0.0,0.0,0.0,
corridor,512,corridor_512,0.0,prioritized_sweeping,0,corridor_512|0.0|0,node005,512,130816,130816,2093056,2.7010298430686817,0.0,0.0,0.0,
corridor,512,corridor_512,0.0,sparse_vectorized_vi,1,corridor_512|0.0|1,node003,512,512,262144,1048576,0.02956795901991427,0.0,0.0,0.0,
corridor,512,corridor_512,0.0,gauss_seidel_vi,1,corridor_512|0.0|1,node003,512,512,262144,1048576,1.25094857707154,0.0,0.0,0.0,
corridor,512,corridor_512,0.0,prioritized_sweeping,1,corridor_512|0.0|1,node003,512,130816,130816,2093056,2.645095171057619,0.0,0.0,0.0,
corridor,512,corridor_512,0.0,sparse_vectorized_vi,2,corridor_512|0.0|2,node006,512,512,262144,1048576,0.031676332000643015,0.0,0.0,0.0,
corridor,512,corridor_512,0.0,gauss_seidel_vi,2,corridor_512|0.0|2,node006,512,512,262144,1048576,1.2420905630569905,0.0,0.0,0.0,
corridor,512,corridor_512,0.0,prioritized_sweeping,2,corridor_512|0.0|2,node006,512,130816,130816,2093056,2.66377237404231,0.0,0.0,0.0,
corridor,512,corridor_512,0.0,sparse_vectorized_vi,3,corridor_512|0.0|3,node006,512,512,262144,1048576,0.03190628404263407,0.0,0.0,0.0,
corridor,512,corridor_512,0.0,gauss_seidel_vi,3,corridor_512|0.0|3,node006,512,512,262144,1048576,1.2853948540287092,0.0,0.0,0.0,
corridor,512,corridor_512,0.0,prioritized_sweeping,3,corridor_512|0.0|3,node006,512,130816,130816,2093056,2.827935356996022,0.0,0.0,0.0,
corridor,512,corridor_512,0.0,sparse_vectorized_vi,4,corridor_512|0.0|4,node003,512,512,262144,1048576,0.02954983792733401,0.0,0.0,0.0,
corridor,512,corridor_512,0.0,gauss_seidel_vi,4,corridor_512|0.0|4,node003,512,512,262144,1048576,1.257478753104806,0.0,0.0,0.0,
corridor,512,corridor_512,0.0,prioritized_sweeping,4,corridor_512|0.0|4,node003,512,130816,130816,2093056,2.688574651023373,0.0,0.0,0.0,
corridor,512,corridor_512,0.05,sparse_vectorized_vi,0,corridor_512|0.05|0,node001,512,571,292352,1169408,0.03275873709935695,6.801315066695679e-11,2.1548629547396558e-10,2.1548629547396558e-10,
corridor,512,corridor_512,0.05,gauss_seidel_vi,0,corridor_512|0.05|0,node001,512,555,284160,1136640,1.354112193104811,5.704237082682084e-11,1.3253043107397389e-10,1.3253043107397389e-10,
corridor,512,corridor_512,0.05,prioritized_sweeping,0,corridor_512|0.05|0,node001,512,319205,319205,7430448,12.252997286967002,9.904255193760036e-11,8.702407683358615e-10,3.5926461805502186e-10,
corridor,512,corridor_512,0.05,sparse_vectorized_vi,1,corridor_512|0.05|1,node005,512,571,292352,1169408,0.03575596702285111,6.801315066695679e-11,2.1548629547396558e-10,2.1548629547396558e-10,
corridor,512,corridor_512,0.05,gauss_seidel_vi,1,corridor_512|0.05|1,node005,512,555,284160,1136640,1.4550267170416191,5.704237082682084e-11,1.3253043107397389e-10,1.3253043107397389e-10,
corridor,512,corridor_512,0.05,prioritized_sweeping,1,corridor_512|0.05|1,node005,512,319205,319205,7430448,12.089076893986203,9.904255193760036e-11,8.702407683358615e-10,3.5926461805502186e-10,
corridor,512,corridor_512,0.05,sparse_vectorized_vi,2,corridor_512|0.05|2,node003,512,571,292352,1169408,0.036002214066684246,6.801315066695679e-11,2.1548629547396558e-10,2.1548629547396558e-10,
corridor,512,corridor_512,0.05,gauss_seidel_vi,2,corridor_512|0.05|2,node003,512,555,284160,1136640,1.423019548994489,5.704237082682084e-11,1.3253043107397389e-10,1.3253043107397389e-10,
corridor,512,corridor_512,0.05,prioritized_sweeping,2,corridor_512|0.05|2,node003,512,319205,319205,7430448,11.906358064967208,9.904255193760036e-11,8.702407683358615e-10,3.5926461805502186e-10,
corridor,512,corridor_512,0.05,sparse_vectorized_vi,3,corridor_512|0.05|3,node006,512,571,292352,1169408,0.03380395798012614,6.801315066695679e-11,2.1548629547396558e-10,2.1548629547396558e-10,
