map,slip,gamma,option_set,critical_kind,critical_top_fraction,local_horizon,n_states,n_boundary,n_options,option_pair_count,n_edges_valid,kernel_entries_valid,critical_nonzero,critical_mass,duration_mean,duration_max,bypass_cost_mean,bypass_cost_total,nonlocal_cost,value_gap_max,start_value_smdp,start_value_primitive,start_gap,start_best_option,policy_tv_total,policy_regions_total,policy_tv_mean,policy_regions_mean,graph_cost,option_cost,policy_cost_total,policy_cost_mean,bypass_cost,nonlocal_cost_component,start_gap_cost,value_gap_cost,description_length_proxy,step,split_strategy,candidate_limit,policy_cost_mode,lambda_start_gap,lambda_value_gap,lambda_bypass,lambda_policy,lambda_graph,lambda_option,lambda_nonlocal,split_objective,candidate_split_state,candidate_split_coord,candidate_split_score,candidate_split_objective,objective_delta,evaluated_candidates,selected_split_state,selected_split_coord,selected_split_score,stop_reason
four_rooms,0.05,0.97,targeted,bottleneck,0.15,8.0,51,3,3,6,12,12,8,3.5429115646258507,7.180049267651943,8.252273040649794,0.6918327118287699,4.15099627097262,0.0,0.11523431808972262,-12.30114607026525,-12.185911752175528,0.11523431808972262,to_001,101.60000000000001,17.0,33.86666666666667,5.666666666666667,7.0,3.3,28.820000000000004,9.606666666666667,4.15099627097262,0.0,0.11523431808972262,0.11523431808972262,43.270996270972624,1,bypass_attribution,50,total,100.0,10.0,100.0,0.2,1.0,1.0,0.1,443.8394020871315,26,"(3, 7)",3.9501900418943534,,0.0,0,26,"(3, 7)",3.9501900418943534,continue
four_rooms,0.05,0.97,targeted,bottleneck,0.15,8.0,51,4,4,12,26,26,8,3.5429115646258507,4.792766937262452,6.178973029495659,0.017787472605118714,0.21344967126142458,0.0,0.11523431809045093,-12.301146070265979,-12.185911752175528,0.11523431809045093,to_001,141.20000000000002,23.0,35.300000000000004,5.75,10.5,4.6,39.74000000000001,9.935000000000002,0.21344967126142458,0.0,0.11523431809045093,0.11523431809045093,55.053449671261426,2,bypass_attribution,50,total,100.0,10.0,100.0,0.2,1.0,1.0,0.1,57.06874211609206,14,"(2, 5)",0.10146769762370918,,0.0,0,14,"(2, 5)",0.10146769762370918,continue
four_rooms,0.05,0.97,targeted,bottleneck,0.15,8.0,51,5,5,20,51,51,8,3.5429115646258507,3.7592517675054196,6.178973029495659,0.005859825127522494,0.11719650255044989,0.0,0.1152343180877029,-12.301146070263231,-12.185911752175528,0.1152343180877029,to_002,180.7,29.0,36.14,5.8,15.2,6.0,50.64,10.128,0.11719650255044989,0.0,0.1152343180877029,0.1152343180877029,71.95719650255046,3,bypass_attribution,50,total,100.0,10.0,100.0,0.2,1.0,1.0,0.1,55.72342524469231,36,"(4, 7)",0.10321012892107832,,0.0,0,36,"(4, 7)",0.10321012892107832,continue
four_rooms,0.05,0.97,targeted,bottleneck,0.15,8.0,51,6,6,30,84,84,8,3.5429115646258507,3.164275131880544,6.178653980475449,0.0005819805695723191,0.01745941708716957,0.0,0.11523431808164375,-12.301146070257172,-12.185911752175528,0.11523431808164375,to_002,220.2,35.0,36.699999999999996,5.833333333333333,20.0,7.5,61.54,10.256666666666666,0.01745941708716957,0.0,0.11523431808164375,0.11523431808164375,89.05745941708716,4,bypass_attribution,50,total,100.0,10.0,100.0,0.2,1.0,1.0,0.1,54.22971669769777,15,"(2, 7)",0.008689526984983,,0.0,0,15,"(2, 7)",0.008689526984983,continue
four_rooms,0.05,0.97,targeted,bottleneck,0.15,8.0,51,7,7,42,126,126,8,3.5429115646258507,2.852380836374104,7.177799726951259,0.00026418994890635184,0.011095977854066777,0.0,0.11523431808029372,-12.301146070255822,-12.185911752175528,0.11523431808029372,to_002,259.7,41.0,37.1,5.857142857142857,25.0,9.1,72.44,10.348571428571429,0.011095977854066777,0.0,0.11523431808029372,0.11523431808029372,106.55109597785406,5,bypass_attribution,50,total,100.0,10.0,100.0,0.2,1.0,1.0,0.1,62.37337277423899,35,"(4, 5)",0.010432382241692698,,0.0,0,35,"(4, 5)",0.010432382241692698,continue
four_rooms,0.05,0.97,targeted,bottleneck,0.15,8.0,51,8,8,56,176,176,8,3.5429115646258507,2.620412539692477,7.17779972695126,2.2283813682776197e-05,0.001247893566235467,0.0,0.11523431807695417,-12.301146070252482,-12.185911752175528,0.11523431807695417,to_002,299.20000000000005,47.0,37.400000000000006,5.875,30.0,10.8,83.34,10.4175,0.001247893566235467,0.0,0.11523431807695417,0.11523431807695417,124.14124789356624,6,bypass_attribution,50,total,100.0,10.0,100.0,0.2,1.0,1.0,0.1,70.2685643450885,7,"(1, 9)",0.0006239467831177336,,0.0,0,7,"(1, 9)",0.0006239467831177336,continue
four_rooms,0.05,0.97,targeted,bottleneck,0.15,8.0,51,9,9,72,250,250,8,3.5429115646258507,2.830279093537305,7.177799726951261,8.812167577312834e-06,0.000634476065566524,0.0,0.11523431807694706,-12.301146070252475,-12.185911752175528,0.11523431807694706,to_001,331.2333333333334,53.0,36.80370370370371,5.888888888888889,36.77777777777778,12.6,92.74666666666668,10.305185185185188,0.000634476065566524,0.0,0.11523431807694706,0.11523431807694706,142.12507892051002,7,bypass_attribution,50,total,100.0,10.0,100.0,0.2,1.0,1.0,0.1,80.66633370613194,43,"(5, 3)",0.0006344760655665239,,0.0,0,43,"(5, 3)",0.0006344760655665239,continue
four_rooms,0.05,0.97,targeted,bottleneck,0.15,8.0,51,10,10,90,336,336,8,3.5429115646258507,2.991192439395125,7.121459870717131,0.0,0.0,0.0,0.11523431807691864,-12.301146070252447,-12.185911752175528,0.11523431807691864,to_001,365.1333333333334,60.0,36.513333333333335,6.0,43.6,14.5,103.02666666666669,10.302666666666667,0.0,0.0,0.11523431807691864,0.11523431807691864,161.1266666666667,8,bypass_attribution,50,total,100.0,10.0,100.0,0.2,1.0,1.0,0.1,91.38110832179439,,,0.0,,0.0,0,,,0.0,bypass_threshold
maze,0.0,0.97,targeted,bottleneck,0.15,8.0,81,2,2,2,2,2,12,3.197784810126583,36.0,36.0,0.9523766328783501,1.9047532657567001,56.0,3.552713678800501e-15,-22.199077937496828,-22.199077937496824,3.552713678800501e-15,to_001,134.0,65.0,67.0,32.5,3.0,2.1,59.3,29.65,1.9047532657567001,56.0,3.552713678800501e-15,3.552713678800501e-15,71.90475326575671,0,bypass_attribution,50,total,100.0,10.0,100.0,0.2,1.0,1.0,0.1,213.0353265756704,57,"(5, 19)",0.23760702531645564,,0.0,0,57,"(5, 19)",0.23760702531645564,continue
maze,0.0,0.97,targeted,bottleneck,0.15,8.0,81,3,3,6,6,6,12,3.197784810126583,18.333333333333332,36.0,0.2956522683429292,1.7739136100575752,80.0,0.0,-22.199077937496824,-22.199077937496824,0.0,to_001,200.0,97.0,66.66666666666667,32.333333333333336,5.0,3.3,88.5,29.500000000000004,1.7739136100575752,80.0,0.0,0.0,106.57391361005757,1,bypass_attribution,50,total,100.0,10.0,100.0,0.2,1.0,1.0,0.1,211.39136100575752,55,"(5, 17)",0.32510224195699317,,0.0,0,55,"(5, 17)",0.32510224195699317,continue
maze,0.0,0.97,targeted,bottleneck,0.15,8.0,81,4,4,12,12,12,12,3.197784810126583,12.333333333333334,36.0,0.1207342806750485,1.448811368100582,100.0,0.0,-22.199077937496824,-22.199077937496824,0.0,to_001,268.0,130.0,67.0,32.5,7.0,4.6,118.6,29.65,1.448811368100582,100.0,0.0,0.0,141.64881136810058,2,bypass_attribution,50,total,100.0,10.0,100.0,0.2,1.0,1.0,0.1,190.2011368100582,44,"(5, 3)",0.2054312813843884,,0.0,0,44,"(5, 3)",0.2054312813843884,continue
maze,0.0,0.97,targeted,bottleneck,0.15,8.0,81,5,5,20,20,20,12,3.197784810126583,12.7,32.0,0.29310408316410463,5.862081663282092,160.0,0.0,-22.199077937496824,-22.199077937496824,0.0,to_001,336.0,163.0,67.2,32.6,9.0,6.0,148.7,29.740000000000002,5.862081663282092,160.0,0.0,0.0,185.56208166328207,3,bypass_attribution,50,total,100.0,10.0,100.0,0.2,1.0,1.0,0.1,646.9481663282093,42,"(5, 1)",0.8204488524444815,,0.0,0,42,"(5, 1)",0.8204488524444815,continue
maze,0.0,0.97,targeted,bottleneck,0.15,8.0,81,6,6,30,30,30,12,3.197784810126583,9.866666666666667,32.0,0.21848275960372496,6.5544827881117484,172.0,3.552713678800501e-15,-22.199077937496824,-22.199077937496824,0.0,to_001,402.0,195.0,67.0,32.5,11.0,7.5,177.9,29.65,6.5544827881117484,172.0,0.0,3.552713678800501e-15,220.15448278811175,4,bypass_attribution,50,total,100.0,10.0,100.0,0.2,1.0,1.0,0.1,726.728278811175,47,"(5, 7)",0.9932207752196691,,0.0,0,47,"(5, 7)",0.9932207752196691,continue
maze,0.0,0.97,targeted,bottleneck,0.15,8.0,81,7,7,42,42,42,12,3.197784810126583,8.238095238095237,32.0,0.20717829946853622,8.701488577678521,146.0,0.0,-22.199077937496824,-22.199077937496824,0.0,to_001,470.0,228.0,67.14285714285714,32.57142857142857,13.0,9.1,208.0,29.714285714285715,8.701488577678521,146.0,0.0,0.0,253.40148857767852,5,bypass_attribution,50,total,100.0,10.0,100.0,0.2,1.0,1.0,0.1,948.4488577678522,45,"(5, 5)",1.6452731075982665,,0.0,0,45,"(5, 5)",1.6452731075982665,continue
maze,0.0,0.97,targeted,bottleneck,0.15,8.0,81,8,8,56,56,56,12,3.197784810126583,6.892857142857143,32.0,0.14835975133574858,8.30814607480192,142.0,1.7763568394002505e-15,-22.199077937496824,-22.199077937496824,0.0,to_001,536.0,260.0,67.0,32.5,15.0,10.8,237.2,29.65,8.30814607480192,142.0,0.0,1.7763568394002505e-15,285.5081460748019,6,bypass_attribution,50,total,100.0,10.0,100.0,0.2,1.0,1.0,0.1,918.2546074801919,68,"(7, 5)",1.888410209192036,,0.0,0,68,"(7, 5)",1.888410209192036,continue
maze,0.0,0.97,targeted,bottleneck,0.15,8.0,81,9,9,72,72,72,12,3.197784810126583,5.916666666666667,32.0,0.10283147909734784,7.403866495009044,152.0,7.105427357601002e-15,-22.199077937496817,-22.199077937496824,7.105427357601002e-15,to_001,604.0,293.0,67.11111111111111,32.55555555555556,17.0,12.6,267.3,29.700000000000003,7.403866495009044,152.0,7.105427357601002e-15,7.105427357601002e-15,319.503866495009,7,bypass_attribution,50,total,100.0,10.0,100.0,0.2,1.0,1.0,0.1,838.6466495009054,64,"(7, 1)",2.145372590031646,,0.0,0,64,"(7, 1)",2.145372590031646,continue
maze,0.0,0.97,targeted,bottleneck,0.15,8.0,81,10,10,90,90,90,12,3.197784810126583,5.177777777777778,32.0,0.06620993632046174,5.958894268841556,162.0,7.105427357601002e-15,-22.199077937496817,-22.199077937496824,7.105427357601002e-15,to_001,672.0,326.0,67.2,32.6,19.0,14.5,297.4,29.740000000000002,5.958894268841556,162.0,7.105427357601002e-15,7.105427357601002e-15,353.0588942688415,8,bypass_attribution,50,total,100.0,10.0,100.0,0.2,1.0,1.0,0.1,705.0694268841564,52,"(5, 13)",2.039043756123713,,0.0,0,52,"(5, 13)",2.039043756123713,continue
