map_family,map_size,map,method_spec,variant,task_type,task_count,n_states,n_boundary,state_compression_ratio,edge_count,reward_kernel_nnz,continuation_kernel_nnz,certified_kernel_error_bound,goal_option_interface_size,goal_conditioned_options,n_goal_policies,construction_time_sec,kernel_time_sec,task_kernel_time_sec,policy_build_time_sec,batched_event_solve_time_sec,smdp_solve_time_sec,full_total_time_sec,graph_total_time_sec,break_even_num_tasks,amortized_speedup_vs_full_vi,planning_only_speedup_vs_full_vi,start_gap_mean,start_gap_max,boundary_gap_max,full_backup_count,smdp_edge_backup_count,epsilon_opt_empirical
corridor,512,corridor_512,endpoints,fixed_B_edge_reward_kernel,additive_sparse,1,512,2,256.0,2,1022,2,0.0,0,0,0,6.16610050201416e-05,0.23193927502143197,5.6349963415414095e-06,0.0,0.0,0.0002216680150013417,0.25027087301714346,0.232228239037795,1.0,1.077693540002308,1101.0451271127847,0.00010868246896744704,0.00010868246896744704,0.5361778215450393,1548288,6,
corridor,512,corridor_512,endpoints,fixed_B_edge_reward_kernel,additive_dense,1,512,2,256.0,2,1022,2,0.0,0,0,0,6.16610050201416e-05,0.23193927502143197,7.533992175012827e-06,0.0,0.0,0.00013801100431010127,0.17577873199479654,0.23214648102293722,2.0,0.7571888715273213,1207.7277559505433,1.194691949304345,1.194691949304345,1.5423535275692508,1497088,6,
corridor,512,corridor_512,endpoints,fixed_B_event_hit_kernel,terminal_goal,1,512,2,256.0,2,2,2,0.0,0,0,0,6.16610050201416e-05,0.23193927502143197,0.06765452900435776,0.0,0.0,0.00015121299657039344,0.14584781901794486,0.29980667802738026,3.0,0.48647288305107433,2.150965607248254,1.5155166011027177e-10,1.5155166011027177e-10,1.5155166011027177e-10,909312,4,
corridor,512,corridor_512,endpoints,fixed_B_goal_conditioned_event_options,terminal_goal,1,512,2,256.0,4,6,2,0.0,2,2,1,6.16610050201416e-05,0.23193927502143197,0.0864652460149955,0.00558756900136359,0.013223148009274155,0.0004860789922531694,0.14584781901794486,0.3189522610337008,3.0,0.4572716259958867,1.6773501612055515,1.4904344425303861e-10,1.4904344425303861e-10,1.4904344425303861e-10,909312,44,1.4904344425303861e-10
corridor,512,corridor_512,endpoints,fixed_B_edge_reward_kernel,additive_sparse,5,512,2,256.0,2,1022,2,0.0,0,0,0,6.16610050201416e-05,0.23193927502143197,3.857200499624014e-05,0.0,0.0,0.0008688099915161729,1.16422259202227,0.23290831802296452,1.0,4.998630370545541,1283.0567462182873,1.7137627068382586,8.277574860416163,8.277574860416163,7741440,30,
corridor,512,corridor_512,endpoints,fixed_B_edge_reward_kernel,additive_dense,5,512,2,256.0,2,1022,2,0.0,0,0,0,6.16610050201416e-05,0.23193927502143197,5.015803617425263e-05,0.0,0.0,0.0007138710061553866,0.9924373749818187,0.23276496506878175,2.0,4.263688801656876,1298.9524219599405,1.829063430597533,4.134633581879054,4.134633581879054,7501824,30,
corridor,512,corridor_512,endpoints,fixed_B_event_hit_kernel,terminal_goal,5,512,2,256.0,2,10,2,0.0,0,0,0,6.16610050201416e-05,0.23193927502143197,0.31124229601118714,0.0,0.0,0.0007159390079323202,0.6968327140202746,0.5439591710455716,4.0,1.2810386350888376,2.2337371987553616,7.648850441910326e-11,1.5155166011027177e-10,1.8045653860099264e-10,4591616,20,
corridor,512,corridor_512,endpoints,fixed_B_goal_conditioned_event_options,terminal_goal,5,512,2,256.0,4,30,2,0.0,10,10,5,6.16610050201416e-05,0.23193927502143197,0.41819815899361856,0.03750287598813884,0.06945298699429259,0.002000577049329877,0.6968327140202746,0.6521996720694005,5.0,1.0684346280169927,1.6583408141167075,7.580069905088749e-11,1.4904344425303861e-10,1.779341118890443e-10,4591616,220,1.4904344425303861e-10
corridor,512,corridor_512,endpoints,fixed_B_edge_reward_kernel,additive_sparse,10,512,2,256.0,2,1022,2,0.0,0,0,0,6.16610050201416e-05,0.23193927502143197,8.320299093611538e-05,0.0,0.0,0.0015975489804986864,2.249819456017576,0.2336816879978869,2.0,9.62770970756562,1338.5790968889837,1.2700293326909184,8.277574860416163,8.277574860416163,15482880,60,
corridor,512,corridor_512,endpoints,fixed_B_edge_reward_kernel,additive_dense,10,512,2,256.0,2,1022,2,0.0,0,0,0,6.16610050201416e-05,0.23193927502143197,8.849109872244298e-05,0.0,0.0,0.0014656440180260688,2.010907126998063,0.23355507114320062,2.0,8.609991284518532,1293.9075279408062,1.5107415974573588,4.134633581879054,4.134633581879054,15024128,60,
