option,src_state,src_coord,target_state,target_coord,primitive_distance,within_horizon,edge_valid,visible_mass,hidden_mass,hidden_gamma_mass,hidden_argmax_state,hidden_argmax_coord,hidden_argmax_prob,soft_cost,soft_argmax_state,soft_argmax_coord,soft_argmax_score,reward,map,slip,step
fb_001_to_003,30,"(5, 3)",33,"(5, 6)",3.0,True,True,0.9999999999999999,0.0,0.0,,,0.0,4.6327203385088716e-06,32,"(5, 5)",4.6327203385088716e-06,-1.0863872202234275,open_room,0.05,3
fb_002_to_003,31,"(5, 4)",33,"(5, 6)",2.0,True,True,1.0,0.0,0.0,,,0.0,0.9983862508008644,32,"(5, 5)",0.9983862508008644,-2.082998972090916,open_room,0.05,3
fb_004_to_003,34,"(5, 7)",33,"(5, 6)",1.0,True,True,0.9999999999999999,0.0,0.0,,,0.0,4.713619007973226e-06,32,"(5, 5)",4.713619007973226e-06,-1.06825733315853,open_room,0.05,3
fb_000_to_004,0,"(1, 1)",34,"(5, 7)",10.0,True,True,0.9999999999999997,0.0,0.0,,,0.0,2.3066305937388444e-06,32,"(5, 5)",2.3066305937388444e-06,-5.858434975802834,open_room,0.05,3
fb_001_to_004,30,"(5, 3)",34,"(5, 7)",4.0,True,True,0.9999999999999999,0.0,0.0,,,0.0,4.6327203385088716e-06,32,"(5, 5)",4.6327203385088716e-06,-1.0863872202234275,open_room,0.05,3
fb_002_to_004,31,"(5, 4)",34,"(5, 7)",3.0,True,True,1.0,0.0,0.0,,,0.0,0.9983862508008644,32,"(5, 5)",0.9983862508008644,-2.082998972090916,open_room,0.05,3
fb_003_to_004,33,"(5, 6)",34,"(5, 7)",1.0,True,True,1.0,0.0,0.0,,,0.0,0.017784131365029272,32,"(5, 5)",0.017784131365029272,-1.0854520963898615,open_room,0.05,3
fb_001_to_000,50,"(5, 11)",0,"(1, 1)",14.0,True,False,0.0,1.0,0.8329720049289999,26,"(3, 7)",1.0,1.2329439104767141,40,"(4, 11)",0.6352433976385771,-5.567599835699999,four_rooms,0.0,0
fb_000_to_001,0,"(1, 1)",50,"(5, 11)",14.0,True,False,0.0,1.0,0.8329720049289999,24,"(3, 5)",1.0,0.0,,,0.0,-5.567599835699999,four_rooms,0.0,0
fb_001_to_000,26,"(3, 7)",0,"(1, 1)",8.0,True,False,0.0,1.0,0.9409,24,"(3, 5)",1.0,0.0,,,0.0,-1.97,four_rooms,0.0,1
fb_002_to_000,50,"(5, 11)",0,"(1, 1)",14.0,True,True,1.0,0.0,0.0,24,"(3, 5)",0.0,1.2329439104767141,40,"(4, 11)",0.6352433976385771,-5.567599835699999,four_rooms,0.0,1
fb_000_to_001,0,"(1, 1)",26,"(3, 7)",8.0,True,False,0.0,1.0,0.8329720049289999,24,"(3, 5)",1.0,0.0,,,0.0,-5.567599835699999,four_rooms,0.0,1
fb_002_to_001,50,"(5, 11)",26,"(3, 7)",6.0,True,True,1.0,0.0,0.0,24,"(3, 5)",0.0,1.2329439104767141,40,"(4, 11)",0.6352433976385771,-5.567599835699999,four_rooms,0.0,1
fb_000_to_002,0,"(1, 1)",50,"(5, 11)",14.0,True,False,0.0,1.0,0.8329720049289999,24,"(3, 5)",1.0,0.0,,,0.0,-5.567599835699999,four_rooms,0.0,1
fb_001_to_002,26,"(3, 7)",50,"(5, 11)",6.0,True,True,1.0,0.0,0.0,24,"(3, 5)",0.0,1.1247528250588064,48,"(5, 9)",0.5623764125294032,-5.567599835699999,four_rooms,0.0,1
fb_001_to_000,24,"(3, 5)",0,"(1, 1)",6.0,True,True,1.0,0.0,0.0,,,0.0,0.0,,,0.0,-5.567599835699999,four_rooms,0.0,2
fb_002_to_000,26,"(3, 7)",0,"(1, 1)",8.0,True,True,1.0,0.0,0.0,,,0.0,0.0,,,0.0,-1.97,four_rooms,0.0,2
fb_003_to_000,50,"(5, 11)",0,"(1, 1)",14.0,True,True,1.0,0.0,0.0,,,0.0,1.2329439104767141,40,"(4, 11)",0.6352433976385771,-5.567599835699999,four_rooms,0.0,2
