map_family,map_size,map,slip,method_spec,method,n_states,n_boundary,state_compression_ratio,full_iterations,exact_smdp_iterations,approximate_smdp_iterations,planning_iterations,truncation_steps,tail_tol,beta,option_restriction_bias,boundary_abstraction_bias,reward_kernel_residual,continuation_kernel_residual_l1,kernel_actual_gap,kernel_gap_bound,planning_residual,planning_actual_gap,planning_gap_bound,primitive_to_solved_gap,actual_triangle_bound,certified_total_bound,certificate_holds,normalized_primitive_to_solved_gap,normalized_certified_total_bound,start_primitive_value,start_solved_value,start_gap,value_scale,error,config_label
corridor,32,corridor_32,0.1,endpoints,endpoints,32,2,16.0,68,14,14,8,32,0.0,0.97,0.0,6.585665346392489e-11,0.5706159625573761,0.1651043302366444,0.6545417407741034,136.83603207049399,1.36343999557198e-06,1.5639668013989194e-06,4.5447999852399294e-05,0.6545433046750482,0.6545433048067615,136.83607751855968,True,0.02966834989922846,6.202340773578059,-22.06200570298889,-21.407462398313843,0.6545433046750482,22.06200570298889,,fixed_k32_i8
four_rooms,7,four_rooms_7,0.1,endpoints,endpoints,40,2,20.0,45,12,12,8,32,0.0,0.97,0.050577184819584176,0.0008546880598370166,3.059799489335546e-07,1.5280713142051816e-07,3.385094835550717e-07,6.89641608364196e-05,7.583528294219377e-08,8.389037375877706e-08,2.52784276473979e-06,0.05143145047956388,0.051432295279278506,0.05150336488302235,True,0.0044778964895976275,0.0044841577412597046,-11.48562736969058,-11.537058820170143,0.05143145047956388,11.48562736969058,,fixed_k32_i8
corridor,32,corridor_32,0.1,turn_articulation,turn_articulation,32,2,16.0,68,14,14,8,32,0.0,0.97,0.0,6.585665346392489e-11,0.5706159625573761,0.1651043302366444,0.6545417407741034,136.83603207049399,1.36343999557198e-06,1.5639668013989194e-06,4.5447999852399294e-05,0.6545433046750482,0.6545433048067615,136.83607751855968,True,0.02966834989922846,6.202340773578059,-22.06200570298889,-21.407462398313843,0.6545433046750482,22.06200570298889,,fixed_k32_i8
four_rooms,7,four_rooms_7,0.1,turn_articulation,turn_articulation,40,16,2.5,45,20,20,8,32,0.0,0.97,0.001118584567544545,0.1140430488006583,2.2318147330224747e-11,1.2875972188688983e-11,6.061462443085475e-11,5.695633375862434e-09,0.039680241162747265,0.04805219445151998,1.3226747054249077,0.11454322763994895,0.16321382788033745,1.4378363444887439,True,0.009972744540034188,0.12518570368067572,-11.48562736969058,-11.489007048045469,0.0033796783548893927,11.48562736969058,,fixed_k32_i8
corridor,32,corridor_32,0.1,graph_rd_surrogate_joint,graph_rd_surrogate_joint,32,2,16.0,68,14,14,8,32,0.0,0.97,0.0,6.585665346392489e-11,0.5706159625573761,0.1651043302366444,0.6545417407741034,136.83603207049399,1.36343999557198e-06,1.5639668013989194e-06,4.5447999852399294e-05,0.6545433046750482,0.6545433048067615,136.83607751855968,True,0.02966834989922846,6.202340773578059,-22.06200570298889,-21.407462398313843,0.6545433046750482,22.06200570298889,,fixed_k32_i8
four_rooms,7,four_rooms_7,0.1,graph_rd_surrogate_joint,graph_rd_surrogate_joint,40,6,6.666666666666667,45,20,20,8,32,0.0,0.97,0.04913367734678609,0.04953969083749854,2.4909812879059245e-08,1.2522223803127126e-08,1.0924559035174752e-08,5.645981686923498e-06,0.03124795183435225,0.03689064382833962,1.0415983944784075,0.05074751998253646,0.13556402293718328,1.140277408644379,True,0.0044183498514372916,0.09927863510995115,-11.48562736969058,-11.500168587820912,0.014541218130332823,11.48562736969058,,fixed_k32_i8
corridor,64,corridor_64,0.0,endpoints,endpoints,64,2,32.0,64,2,2,8,32,0.0,0.97,0.0,0.0,6.9414923168168166,0.14676390503592948,6.9414923168168166,336.56246127027794,0.0,0.0,0.0,6.9414923168168166,6.9414923168168166,336.56246127027794,True,0.24406465072633127,11.833622484681129,-28.44120316546899,-21.499710848652175,6.9414923168168166,28.44120316546899,,fixed_k32_i8
four_rooms,9,four_rooms_9,0.0,endpoints,endpoints,68,2,34.0,17,2,2,8,32,0.0,0.97,0.0,0.0,1.7763568394002505e-15,0.0,1.7763568394002505e-15,5.921189464667497e-14,0.0,0.0,0.0,1.7763568394002505e-15,1.7763568394002505e-15,5.921189464667497e-14,True,1.3814960442367423e-16,4.604986814122471e-15,-12.858211551243807,-12.858211551243809,1.7763568394002505e-15,12.858211551243807,,fixed_k32_i8
corridor,64,corridor_64,0.0,turn_articulation,turn_articulation,64,2,32.0,64,2,2,8,32,0.0,0.97,0.0,0.0,6.9414923168168166,0.14676390503592948,6.9414923168168166,336.56246127027794,0.0,0.0,0.0,6.9414923168168166,6.9414923168168166,336.56246127027794,True,0.24406465072633127,11.833622484681129,-28.44120316546899,-21.499710848652175,6.9414923168168166,28.44120316546899,,fixed_k32_i8
four_rooms,9,four_rooms_9,0.0,turn_articulation,turn_articulation,68,16,4.25,17,7,7,8,32,0.0,0.97,0.0,1.7763568394002505e-15,8.881784197001252e-16,0.0,0.0,2.9605947323337485e-14,0.0,0.0,0.0,1.7763568394002505e-15,1.7763568394002505e-15,3.1382304162737735e-14,True,1.3814960442367423e-16,2.4406430114849096e-15,-12.858211551243807,-12.858211551243807,0.0,12.858211551243807,,fixed_k32_i8
corridor,64,corridor_64,0.0,graph_rd_surrogate_joint,graph_rd_surrogate_joint,64,2,32.0,64,2,2,8,32,0.0,0.97,0.0,0.0,6.9414923168168166,0.14676390503592948,6.9414923168168166,336.56246127027794,0.0,0.0,0.0,6.9414923168168166,6.9414923168168166,336.56246127027794,True,0.24406465072633127,11.833622484681129,-28.44120316546899,-21.499710848652175,6.9414923168168166,28.44120316546899,,fixed_k32_i8
four_rooms,9,four_rooms_9,0.0,graph_rd_surrogate_joint,graph_rd_surrogate_joint,68,2,34.0,17,2,2,8,32,0.0,0.97,0.0,0.0,1.7763568394002505e-15,0.0,1.7763568394002505e-15,5.921189464667497e-14,0.0,0.0,0.0,1.7763568394002505e-15,1.7763568394002505e-15,5.921189464667497e-14,True,1.3814960442367423e-16,4.604986814122471e-15,-12.858211551243807,-12.858211551243809,1.7763568394002505e-15,12.858211551243807,,fixed_k32_i8
corridor,64,corridor_64,0.05,endpoints,endpoints,64,2,32.0,95,11,11,8,32,0.0,0.97,2.842170943040401e-14,3.1533886613033246e-11,7.0371504508126215,0.12022691604669426,7.519515505403707,320.86075735609114,5.777902600812013e-09,6.1723213207187655e-09,1.9259675336040025e-07,7.519515511544466,7.51951551160759,320.86075754871945,True,0.25883782525169186,11.04471432567904,-29.051068962708783,-21.531553451164317,7.519515511544466,29.051068962708783,,fixed_k32_i8
four_rooms,9,four_rooms_9,0.05,endpoints,endpoints,68,2,34.0,41,10,10,8,32,0.0,0.97,0.04323329045202229,0.00035460921815477775,4.3224087420412616e-08,2.570423563580393e-08,4.540342679604237e-08,1.307966834751156e-05,3.643805257524946e-10,3.8187053519322944e-10,1.2146017525083141e-08,0.043587853884879735,0.0435879454554744,0.0436009914845421,True,0.003219097043574632,0.0032200672957082765,-13.540397600588578,-13.583985454473458,0.043587853884879735,13.540397600588578,,fixed_k32_i8
corridor,64,corridor_64,0.05,turn_articulation,turn_articulation,64,2,32.0,95,11,11,8,32,0.0,0.97,2.842170943040401e-14,3.1533886613033246e-11,7.0371504508126215,0.12022691604669426,7.519515505403707,320.86075735609114,5.777902600812013e-09,6.1723213207187655e-09,1.9259675336040025e-07,7.519515511544466,7.51951551160759,320.86075754871945,True,0.25883782525169186,11.04471432567904,-29.051068962708783,-21.531553451164317,7.519515511544466,29.051068962708783,,fixed_k32_i8
