map_family,map_size,map,slip,method_spec,method,n_states,n_boundary,state_compression_ratio,full_iterations,exact_smdp_iterations,approximate_smdp_iterations,planning_iterations,truncation_steps,tail_tol,beta,option_restriction_bias,boundary_abstraction_bias,reward_kernel_residual,continuation_kernel_residual_l1,kernel_actual_gap,kernel_gap_bound,planning_residual,planning_actual_gap,planning_gap_bound,primitive_to_solved_gap,actual_triangle_bound,certified_total_bound,certificate_holds,normalized_primitive_to_solved_gap,normalized_certified_total_bound,start_primitive_value,start_solved_value,start_gap,value_scale,error,config_label
corridor,32,corridor_32,0.0,turn_articulation,turn_articulation,32,2,16.0,32,2,2,8,32,0.0,0.97,0.0,0.0,7.105427357601002e-15,0.0,7.105427357601002e-15,2.368475785866999e-13,0.0,0.0,0.0,7.105427357601002e-15,7.105427357601002e-15,2.368475785866999e-13,True,3.488621061101381e-16,1.1628736870337928e-14,-20.36743811710456,-20.367438117104566,7.105427357601002e-15,20.36743811710456,,fixed_k32_i8
four_rooms,7,four_rooms_7,0.0,turn_articulation,turn_articulation,40,16,2.5,13,7,7,8,32,0.0,0.97,0.0,1.7763568394002505e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7763568394002505e-15,1.7763568394002505e-15,1.7763568394002505e-15,True,1.7406296101340607e-16,1.7406296101340607e-16,-10.205254633485398,-10.2052546334854,1.7763568394002505e-15,10.205254633485398,,fixed_k32_i8
corridor,32,corridor_32,0.0,graph_rd_surrogate_joint,graph_rd_surrogate_joint,32,2,16.0,32,2,2,8,32,0.0,0.97,0.0,0.0,7.105427357601002e-15,0.0,7.105427357601002e-15,2.368475785866999e-13,0.0,0.0,0.0,7.105427357601002e-15,7.105427357601002e-15,2.368475785866999e-13,True,3.488621061101381e-16,1.1628736870337928e-14,-20.36743811710456,-20.367438117104566,7.105427357601002e-15,20.36743811710456,,fixed_k32_i8
four_rooms,7,four_rooms_7,0.0,graph_rd_surrogate_joint,graph_rd_surrogate_joint,40,2,20.0,13,2,2,8,32,0.0,0.97,0.0,0.0,1.7763568394002505e-15,0.0,1.7763568394002505e-15,5.921189464667497e-14,0.0,0.0,0.0,1.7763568394002505e-15,1.7763568394002505e-15,5.921189464667497e-14,True,1.7406296101340607e-16,5.802098700446865e-15,-10.205254633485398,-10.2052546334854,1.7763568394002505e-15,10.205254633485398,,fixed_k32_i8
corridor,32,corridor_32,0.05,endpoints,endpoints,32,2,16.0,57,11,11,8,32,0.0,0.97,1.7763568394002505e-14,1.929478798956552e-11,0.1321312887760051,0.06320836499425786,0.14118829512667475,48.74521670206722,5.647358136684488e-09,6.0328666506848094e-09,1.882452712228161e-07,0.14118830114022884,0.14118830117885395,48.745216890331804,True,0.006664141467551395,2.300792761158089,-21.186270103612557,-21.04508180247233,0.14118830114022884,21.186270103612557,,fixed_k32_i8
four_rooms,7,four_rooms_7,0.05,endpoints,endpoints,40,2,20.0,35,10,10,8,32,0.0,0.97,0.024212229488799863,0.000197274882335563,1.0648015802416921e-10,6.653377848664377e-11,1.1185008474967617e-10,2.7575846227856156e-08,2.9115909683241625e-10,3.051390251584962e-10,9.7053032277472e-09,0.024409503954146317,0.024409504788124536,0.024409541652284882,True,0.0022582336329549195,0.0022582371205802547,-10.809113635512661,-10.833523139466807,0.024409503954146317,10.809113635512661,,fixed_k32_i8
corridor,32,corridor_32,0.05,turn_articulation,turn_articulation,32,2,16.0,57,11,11,8,32,0.0,0.97,1.7763568394002505e-14,1.929478798956552e-11,0.1321312887760051,0.06320836499425786,0.14118829512667475,48.74521670206722,5.647358136684488e-09,6.0328666506848094e-09,1.882452712228161e-07,0.14118830114022884,0.14118830117885395,48.745216890331804,True,0.006664141467551395,2.300792761158089,-21.186270103612557,-21.04508180247233,0.14118830114022884,21.186270103612557,,fixed_k32_i8
four_rooms,7,four_rooms_7,0.05,turn_articulation,turn_articulation,40,16,2.5,35,17,17,8,32,0.0,0.97,0.000475461160198698,0.05393893994279786,6.217248937900877e-15,2.1916363481628614e-15,1.0658141036401503e-14,9.986797343311034e-13,0.005323071423028125,0.005829434955940016,0.17743571410093734,0.05437175501901326,0.06024383605894723,0.23185011520493257,True,0.00503017702028576,0.021449502986369173,-10.809113635512661,-10.827693704927617,0.018580069414955602,10.809113635512661,,fixed_k32_i8
corridor,32,corridor_32,0.05,graph_rd_surrogate_joint,graph_rd_surrogate_joint,32,2,16.0,57,11,11,8,32,0.0,0.97,1.7763568394002505e-14,1.929478798956552e-11,0.1321312887760051,0.06320836499425786,0.14118829512667475,48.74521670206722,5.647358136684488e-09,6.0328666506848094e-09,1.882452712228161e-07,0.14118830114022884,0.14118830117885395,48.745216890331804,True,0.006664141467551395,2.300792761158089,-21.186270103612557,-21.04508180247233,0.14118830114022884,21.186270103612557,,fixed_k32_i8
four_rooms,7,four_rooms_7,0.05,graph_rd_surrogate_joint,graph_rd_surrogate_joint,40,6,6.666666666666667,35,16,16,8,32,0.0,0.97,0.0004913308229363977,0.025014054472062952,1.9095836023552692e-12,1.2102122418349709e-12,2.859934511434403e-13,5.006815309480543e-10,0.003409648113670727,0.003695537272175642,0.11365493712235746,0.02530544697891024,0.029200922567460985,0.13916032291803834,True,0.0023411213751857313,0.012874350997739157,-10.809113635512661,-10.829827602608786,0.02071396709612472,10.809113635512661,,fixed_k32_i8
