map,slip,selector,option_set,gamma,n_states,n_boundary,n_options,compression_ratio,n_edges_all,n_edges_valid,kernel_entries_valid,bellman_error_max,value_gap_max,value_gap_mean,start_value_smdp,start_value_primitive,start_gap,start_best_option
corridor,0.05,endpoints,targeted,0.97,11,2,2,0.18181818181818182,6,4,4,1.7763568394002505e-15,1.1512568676153023e-11,1.1512568676153023e-11,-9.255363868888026,-9.255363868876513,1.1512568676153023e-11,to_001
corridor,0.05,junction,directional,0.97,11,2,4,0.18181818181818182,14,14,10,1.7763568394002505e-15,5.373479439185758e-12,5.373479439185758e-12,-9.255363868881886,-9.255363868876513,5.373479439185758e-12,E
corridor,0.05,junction,targeted,0.97,11,2,2,0.18181818181818182,6,4,4,0.0,1.1512568676153023e-11,1.1512568676153023e-11,-9.255363868888026,-9.255363868876513,1.1512568676153023e-11,to_001
corridor,0.05,decision,directional,0.97,11,2,4,0.18181818181818182,14,14,10,8.881784197001252e-16,5.373479439185758e-12,5.373479439185758e-12,-9.255363868881886,-9.255363868876513,5.373479439185758e-12,E
corridor,0.05,decision,targeted,0.97,11,2,2,0.18181818181818182,6,4,4,1.7763568394002505e-15,1.1512568676153023e-11,1.1512568676153023e-11,-9.255363868888026,-9.255363868876513,1.1512568676153023e-11,to_001
corridor,0.05,spectral_25,directional,0.97,11,5,4,0.45454545454545453,48,48,48,4.440892098500626e-16,5.10702591327572e-12,1.7787993300544258e-12,-9.25536386888162,-9.255363868876513,5.10702591327572e-12,E
corridor,0.05,spectral_25,targeted,0.97,11,5,5,0.45454545454545453,51,46,46,8.881784197001252e-16,5.849543072145025e-12,1.9892976155233555e-12,-9.255363868882363,-9.255363868876513,5.849543072145025e-12,to_001
open_room,0.0,all,directional,0.97,35,35,4,1.0,140,140,140,0.0,0.0,0.0,-8.75252910350239,-8.75252910350239,0.0,S
open_room,0.0,all,targeted,0.97,35,35,35,1.0,1225,1190,1190,0.0,0.0,0.0,-8.75252910350239,-8.75252910350239,0.0,to_001
open_room,0.0,endpoints,directional,0.97,35,2,4,0.05714285714285714,4,4,4,0.0,24.580804226601813,24.580804226601813,-33.3333333301042,-8.75252910350239,24.580804226601813,N
open_room,0.0,endpoints,targeted,0.97,35,2,2,0.05714285714285714,4,2,2,3.552713678800501e-15,0.0,0.0,-8.75252910350239,-8.75252910350239,0.0,to_001
open_room,0.0,junction,directional,0.97,35,33,4,0.9428571428571428,128,128,128,0.0,0.0,0.0,-8.75252910350239,-8.75252910350239,0.0,S
open_room,0.0,junction,targeted,0.97,35,33,33,0.9428571428571428,1089,1056,1056,2.220446049250313e-16,0.0,0.0,-8.75252910350239,-8.75252910350239,0.0,to_001
