map,step,candidate_state,candidate_coord,n_boundary,n_candidates_considered,n_active_edges,contributing_edges,lambda_struct,edge_weight,linear_delta,raw_hidden_score,random_score,spectral_score,betweenness_score,value_gradient_score,degree_score,bits_fd_delta,bits_grad_delta,grad_minus_fd,grad_abs_error,grad_abs_error_bound,rate_delta,linear_operator_score,bits_fd_operator_score,bits_grad_operator_score,frozen_recompute_score,fd_minus_frozen,frozen_objective_before,frozen_objective_after,frozen_linear_before,frozen_linear_after,frozen_bits_before,frozen_bits_after,rate_only_score,rate_only_drift,occupancy_only_score,occupancy_drift,edge_only_score,edge_drift,edge_option_uniform_score,edge_option_uniform_drift,actual_recompute_score,actual_rate_delta,adaptive_drift,adaptive_drift_rate,adaptive_drift_bits,adaptive_drift_linear,actual_objective_before,actual_objective_after,actual_linear_before,actual_linear_after,actual_bits_before,actual_bits_after,time_base_eval_sec,time_operator_score_sec,time_recompute_total_sec,recompute_speedup_proxy,linear_rank,bits_fd_rank,bits_grad_rank,raw_hidden_rank,random_rank,spectral_rank,betweenness_rank,value_gradient_rank,degree_rank,frozen_rank,rate_only_rank,occupancy_only_rank,edge_only_rank,edge_option_uniform_rank,actual_rank
maze_9,2,3,"(1, 5)",4,4,3,0,8.0,occupancy_or_uniform,0.0,0.0,0.9199748758375919,0.9930264028847086,0.1891891891891892,0.7954100222129866,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,5.58496250072116,-5.58496250072116,-5.58496250072116,-5.58496250072116,-5.584962500721161,1.7763568394002505e-15,56.62494879522487,62.20991129594603,0.999999993505853,0.999999993505853,1.4426646304981534,1.4426646304981534,-12.238295834054497,-6.653333333333336,5.956353449933907,11.541315950655068,-5.584962500721161,0.0,-5.584962500698076,2.3085533484845655e-11,-0.6969809766834132,12.238295834054497,4.887981524037748,-6.653333333333338,11.541314857371079,0.9999998040401822,56.62494879522487,57.32192977190828,0.999999993505853,1.8946567080983878e-07,1.4426646304981534,2.733267685834065e-07,0.04430808697361499,0.018070947960950434,0.17461468803230673,9.662729836289282,2,2,2,2,2,2,4,4,2,2,2,2,2,2,1
maze_9,2,5,"(1, 7)",4,4,3,0,8.0,occupancy_or_uniform,0.0,0.0,0.9199752334654606,0.4688896344095924,0.35135135135135137,0.8489709904096633,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,5.58496250072116,-5.58496250072116,-5.58496250072116,-5.58496250072116,-5.584962500721161,1.7763568394002505e-15,56.62494879522487,62.20991129594603,0.999999993505853,0.999999993505853,1.4426646304981534,1.4426646304981534,-12.238295834054497,-6.653333333333336,5.956353449933907,11.541315950655068,-5.584962500721161,0.0,-5.584962500698076,2.3085533484845655e-11,-0.6969809766834132,12.238295834054497,4.887981524037748,-6.653333333333338,11.541314857371079,0.9999998040401822,56.62494879522487,57.32192977190828,0.999999993505853,1.8946567080983878e-07,1.4426646304981534,2.733267685834065e-07,0.04430808697361499,0.018070947960950434,0.17461468803230673,9.662729836289282,3,3,3,3,1,3,2,3,3,3,3,3,3,3,2
maze_9,2,24,"(7, 1)",4,4,3,0,8.0,occupancy_or_uniform,0.0,0.0,0.40314661429523235,0.4212543511446474,0.35135135135135137,0.8494407361500572,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,5.58496250072116,-5.58496250072116,-5.58496250072116,-5.58496250072116,-5.584962500721161,1.7763568394002505e-15,56.62494879522487,62.20991129594603,0.999999993505853,0.999999993505853,1.4426646304981534,1.4426646304981534,-13.111629167387832,-7.526666666666671,-5.584962500721161,0.0,-5.584962500721161,0.0,-5.584962500651905,6.925660045453697e-11,-13.111629167387832,13.111629167387832,-7.526666666666671,-7.526666666666673,0.0,0.0,56.62494879522487,69.7365779626127,0.999999993505853,0.999999993505853,1.4426646304981534,1.4426646304981534,0.04430808697361499,0.018070947960950434,0.17461468803230673,9.662729836289282,4,4,4,4,3,4,3,2,4,4,4,4,4,1,4
four_rooms_9,0,25,"(4, 1)",2,12,1,1,8.0,occupancy_or_uniform,0.9511432073833992,0.9511432073833992,0.9965641667611871,0.2524279251210572,0.032162115063573575,0.663135655120363,0.5,9.308912826935485,913.5898204047596,904.2809075778241,904.2809075778241,289266.38558101177,7.044394119358445,0.5647515397087481,67.42690849612544,7301.674169118719,67.42690849612544,0.0,106.89788196946688,39.47097347334144,0.998498002542382,0.047354795158982776,9.378901912850026,0.06998908591454044,49.31357516279209,-18.113333333333344,67.42690556924684,-2.92687859371199e-06,67.42690849612544,0.0,-20.470742966320245,-87.89765146244568,11.09602644066402,25.157727452691784,-56.330882055461416,-18.113333333333337,-38.21754872212807,-0.9218861250300685,106.89788196946688,95.80185552880286,0.998498002542382,0.9692409201890513,9.378901912850026,4.84718267618055,0.05175930302357301,0.05099502799566835,0.7551065389998257,14.807454151490345,1,1,1,1,4,8,5,12,3,1,1,1,1,1,2
four_rooms_9,0,64,"(9, 6)",2,12,1,1,8.0,occupancy_or_uniform,0.04395606287622714,0.04395606287622714,0.9963581135041581,0.2524279251210587,0.032162115063573554,0.9200374106924439,0.5,4.919581849707947,42.22057338691096,37.30099153720301,37.30099153720301,617.794047458963,7.044394119358445,-6.6927456163486285,32.31226067830513,330.7201929759292,32.31226067830514,-7.105427357601002e-15,106.89788196946688,74.58562129116174,0.998498002542382,0.9545419396661549,9.378901912850026,4.459320063142079,17.065594011638456,-15.24666666666668,32.31226067830514,0.0,32.31226067830514,0.0,-50.84548949413818,-83.15775017244331,17.065530719863403,22.291060786025117,-15.246729958441733,-15.246666666666671,-6.329177504937888e-05,-5.483799570354941e-06,106.89788196946688,89.83235124960348,0.998498002542382,0.9545474234657252,9.378901912850026,4.45932797461396,0.05175930302357301,0.05099502799566835,0.7551065389998257,14.807454151490345,2,2,2,2,9,6,9,2,12,2,2,2,2,3,1
four_rooms_9,0,38,"(6, 4)",2,12,1,1,8.0,occupancy_or_uniform,0.0016529562246186177,0.0016529562246186177,0.9966171552904032,0.34431734375612716,0.21629114121895637,0.78215684475626,0.5,1.0707364538536623,1.5876935972035302,0.5169571433498679,0.5169571433498679,0.8736326413958667,7.044394119358445,-7.031170469561497,1.5214975114708533,5.657154658269796,1.521497511470855,-1.7763568394002505e-15,106.89788196946688,105.37638445799602,0.998498002542382,0.9968450463177634,9.378901912850026,8.308165458996363,-14.098502488529146,-15.620000000000001,1.5214975114706561,-1.9895196601282805e-13,1.521497511470855,0.0,-73.88948785808572,-75.41098536955657,-15.439702380248804,22.664394119358445,-16.96119989171966,-15.62,-1.3411998917196684,-0.03279670178845676,106.89788196946688,122.33758434971568,0.998498002542382,1.0296417481062201,9.378901912850026,8.475815445461322,0.05175930302357301,0.05099502799566835,0.7551065389998257,14.807454151490345,3,3,3,3,2,3,3,5,7,3,3,3,3,5,3
four_rooms_9,0,28,"(4, 4)",2,12,1,1,8.0,occupancy_or_uniform,0.0008570267605286983,0.0008570267605286983,0.9965633919008048,0.34431734375612555,0.2162911412189564,0.6632909039648043,0.5,0.6513078584073195,0.8231893138231458,0.17188145541582622,0.17188145541582622,0.23485235173993227,7.044394119358445,-7.037537905274216,-1.8339312520998892,-0.4588796087732794,-1.8339312520998874,-1.7763568394002505e-15,106.89788196946688,108.73181322156677,0.998498002542382,0.9976409757818533,9.378901912850026,8.727594054442706,-18.327264585433223,-16.493333333333336,-1.833931271237887,-1.9137999629492697e-08,-1.8339312520998874,0.0,-149.58109944682008,-147.7471681947202,-19.16055127100725,23.53772745269178,-17.326620018907363,-16.493333333333332,-0.8332866855740235,-0.017257372737566355,106.89788196946688,126.05843324047413,0.998498002542382,1.0148983485194196,9.378901912850026,8.83175489013946,0.05175930302357301,0.05099502799566835,0.7551065389998257,14.807454151490345,4,4,4,4,6,4,1,10,4,4,5,4,4,10,5
four_rooms_9,0,39,"(6, 6)",2,12,1,1,8.0,occupancy_or_uniform,0.0007975299136584631,0.0007975299136584631,0.9966170956857583,0.34431734375612844,0.21629114121895635,0.8082925996641884,0.5,0.6144549990358126,0.7660415434086773,0.15158654437286467,0.15158654437286467,0.2033761916400435,7.044394119358445,-7.038013880049178,-2.128754127071945,-0.9160617720890274,-2.128754127071943,-1.7763568394002505e-15,106.89788196946688,109.02663609653882,0.998498002542382,0.9977004726287235,9.378901912850026,8.764446913814213,-17.748754127071944,-15.620000000000001,-2.128754127071943,0.0,-2.128754127071943,0.0,-149.58109944682042,-147.45234531974847,-18.349875422942205,22.664394119358445,-16.22112129587026,-15.62,-0.6011212958702714,-0.01640911836895211,106.89788196946688,125.24775739240908,0.998498002542382,1.0141095909976756,9.378901912850026,8.839587075797997,0.05175930302357301,0.05099502799566835,0.7551065389998257,14.807454151490345,5,5,5,5,3,1,4,3,8,5,4,5,5,11,4
four_rooms_9,0,29,"(4, 6)",2,12,1,1,8.0,occupancy_or_uniform,5.587320135913489e-05,5.587320135913489e-05,0.9965634515054496,0.34431734375612716,0.21629114121895637,0.7821568447562608,0.5,0.05269308883056212,0.05366719501215452,0.0009741061815924032,0.0009741061815924032,0.000998190102150041,7.044394119358445,-7.043947133747572,-6.6228494087139484,-6.615056559261209,-6.622849408713947,-1.7763568394002505e-15,106.89788196946688,113.52073137818083,0.998498002542382,0.9984421293410228,9.378901912850026,9.326208824019464,-23.116182742047283,-16.493333333333336,-6.622849408714046,-9.947598300641403e-14,-6.622849408713947,0.0,-73.8894878580872,-67.26663844937325,-23.129499422853826,23.53772745269178,-16.50665001413988,-16.493333333333332,-0.013316680806539694,-0.001115510681644393,106.89788196946688,130.0273813923207,0.998498002542382,0.9995576400226672,9.378901912850026,9.327873409120281,0.05175930302357301,0.05099502799566835,0.7551065389998257,14.807454151490345,6,6,6,6,5,2,2,4,5,6,10,6,6,6,10
four_rooms_9,0,35,"(6, 1)",2,12,1,1,8.0,occupancy_or_uniform,1.5019806656372906e-05,1.5019806656372906e-05,0.9966173341043375,0.2524279251210551,0.03216211506357355,0.6875124051172786,0.5,0.014355133274584375,0.014426789109348827,7.165583476445234e-05,7.165583476445234e-05,7.21331390580571e-05,7.044394119358445,-7.044273960905194,-6.92955305316177,-6.928979806483655,-6.929553053161769,-1.7763568394002505e-15,106.89788196946688,113.82743502262865,0.998498002542382,0.9984829827357256,9.378901912850026,9.364546779575441,-23.29621971982844,-16.36666666666667,-6.929553053161769,0.0,-6.929553053161769,0.0,-130.4590855609482,-123.52953250778644,-23.30847628789448,23.411060786025114,-16.37892323473271,-16.366666666666667,-0.012256568066035811,-0.0002983013833501453,106.89788196946688,130.20635825736136,0.998498002542382,0.9987812841190757,9.378901912850026,9.366078850583696,0.05175930302357301,0.05099502799566835,0.7551065389998257,14.807454151490345,7,7,7,7,1,9,10,8,6,7,11,7,7,9,11
four_rooms_9,0,63,"(9, 4)",2,12,1,1,8.0,occupancy_or_uniform,1.449108915581446e-05,1.449108915581446e-05,0.9963582923180925,0.252427925121055,0.03216211506357356,0.7564607526767435,0.5,0.013852231239235735,0.013918946628184643,6.671538894890798e-05,6.671538894890798e-05,6.714415373566242e-05,7.044394119358445,-7.044278190645199,-6.9335762694445595,-6.933042546332969,-6.933576269444558,-1.7763568394002505e-15,106.89788196946688,113.83145823891144,0.998498002542382,0.9984835114532261,9.378901912850026,9.36504968161079,-22.18024293611123,-15.246666666666673,-6.933576269444558,0.0,-6.933576269444558,0.0,-118.26503207917551,-111.33145580973095,-22.19246924028272,22.291060786025117,-15.258892970838161,-15.246666666666671,-0.01222630417149162,-0.00029763422073987713,106.89788196946688,129.0903512097496,0.998498002542382,0.998781145673966,9.378901912850026,9.366577969632226,0.05175930302357301,0.05099502799566835,0.7551065389998257,14.807454151490345,8,8,8,8,8,11,8,6,11,8,8,8,8,7,8
four_rooms_9,0,3,"(1, 4)",2,12,1,1,8.0,occupancy_or_uniform,5.766274344505174e-06,5.766274344505174e-06,0.0370547799246904,0.2524279251210576,0.03216211506357357,0.663135655120363,0.5,0.005528003751752664,0.005538608173729571,1.0604421976907405e-05,1.0604421976907405e-05,1.0631554012690682e-05,7.044394119358445,-7.04434798916369,-7.000170089344424,-7.000085253968609,-7.000170089344422,-1.7763568394002505e-15,106.89788196946688,113.8980520588113,0.998498002542382,0.9984922362680375,9.378901912850026,9.373373909098273,-21.37350342267776,-14.373333333333338,-7.0001700941582214,-4.813799137082242e-09,-7.000170089344422,0.0,-50.84548949414136,-43.84531940479694,-21.374033571650955,21.417727452691782,-14.373863482306533,-14.373333333333337,-0.0005301489731976972,-1.0973062714187865e-05,106.89788196946688,128.27191554111783,0.998498002542382,0.9985032093307517,9.378901912850026,9.373440177719923,0.05175930302357301,0.05099502799566835,0.7551065389998257,14.807454151490345,9,9,9,9,11,7,6,11,1,9,6,9,9,4,6
four_rooms_9,0,60,"(9, 1)",2,12,1,1,8.0,occupancy_or_uniform,3.7958620872080433e-08,3.7958620872080433e-08,0.9963583519227373,0.22735818991636017,0.0035989569194573995,0.6646107359693593,0.5,3.6459463938598446e-05,3.645992460035265e-05,4.6066175420550253e-10,4.6066175420550253e-10,4.607093197756795e-10,7.044394119358445,-7.044393815689478,-7.044102443646937,-7.044102439961643,-7.044102443646935,-1.7763568394002505e-15,106.89788196946688,113.94198441311381,0.998498002542382,0.998497964583761,9.378901912850026,9.378865453386087,-22.664102443646936,-15.620000000000001,-7.044102443646935,0.0,-7.044102443646935,0.0,-158.67996519673937,-151.63586275309245,-22.664137456514624,22.664394119358445,-15.620035012867689,-15.62,-3.501286768425871e-05,-8.484099883332429e-07,106.89788196946688,129.5620194259815,0.998498002542382,0.9984988129937494,9.378901912850026,9.378869829994548,0.05175930302357301,0.05099502799566835,0.7551065389998257,14.807454151490345,10,10,10,10,7,12,12,9,10,10,9,10,10,12,9
four_rooms_9,0,4,"(1, 6)",2,12,1,1,8.0,occupancy_or_uniform,1.6628389564577436e-08,1.6628389564577436e-08,0.0370543626921768,0.252427925121055,0.03216211506357356,0.6875124051172786,0.5,1.5971772933554007e-05,1.5971861353785688e-05,8.842023168059276e-11,8.842023168059276e-11,8.841104595028081e-11,7.044394119358445,-7.044393986331329,-7.044266345174977,-7.044266344467615,-7.044266345174975,-1.7763568394002505e-15,106.89788196946688,113.94214831464186,0.998498002542382,0.9984979859139924,9.378901912850026,9.378885941077092,-21.417599678508314,-14.373333333333338,-7.044266345174975,0.0,-7.044266345174975,0.0,-118.26503207917631,-111.22076573400133,-21.417783282858665,21.417727452691782,-14.37351693768369,-14.373333333333337,-0.00018360435035447153,-4.915478713517896e-06,106.89788196946688,128.31566525232554,0.998498002542382,0.9985029013927059,9.378901912850026,9.378908891620886,0.05175930302357301,0.05099502799566835,0.7551065389998257,14.807454151490345,11,11,11,11,12,10,7,7,2,11,7,11,11,8,7
four_rooms_9,0,42,"(6, 9)",2,12,1,1,8.0,occupancy_or_uniform,1.3513435296871714e-08,1.3513435296871714e-08,0.99625094435283,0.2524279251210588,0.03216211506357355,0.9200374106924439,0.5,1.2979834435711268e-05,1.2979892859544848e-05,5.842383357937614e-11,5.842383357937614e-11,5.838989317570898e-11,7.044394119358445,-7.044394011250963,-7.04429028068296,-7.044290280215569,-7.044290280682958,-1.7763568394002505e-15,106.89788196946688,113.94217225014984,0.998498002542382,0.9984979890289467,9.378901912850026,9.37888893301559,-23.41095694734963,-16.36666666666667,-7.044290280682958,0.0,-7.044290280682958,0.0,-20.471036004374582,-13.426745723691624,-23.41095695386241,23.411060786025114,-16.366666673179452,-16.366666666666667,-6.5127778725582175e-09,-5.642630068717918e-10,106.89788196946688,130.3088389233293,0.998498002542382,0.9984979895932097,9.378901912850026,9.378888933829687,0.05175930302357301,0.05099502799566835,0.7551065389998257,14.807454151490345,12,12,12,12,10,5,11,1,9,12,12,12,12,2,12
four_rooms_9,1,64,"(9, 6)",3,12,2,2,8.0,occupancy_or_uniform,0.900548178992747,0.900548178992747,0.2934310029542046,0.2524279251210587,0.032162115063573554,0.9200374106924439,0.5,4.744682338345574,40.23528067494216,35.490598336596584,35.490598336596584,587.9281317483496,7.10733031374958,0.09705511819239554,30.850128393015012,314.7749150857877,30.850128393015012,0.0,95.80185552880286,64.95172713578785,0.9692409201890513,0.06869274119630434,4.84718267618055,0.10250033783497627,15.603461726348343,-15.24666666666667,30.850128393015012,0.0,30.850128393015012,0.0,-62.85379345899608,-93.70392185201109,15.603398434573293,22.353996980416248,-15.246729958441719,-15.246666666666668,-6.329177504937888e-05,-5.483799570327186e-06,95.80185552880286,80.19845709422957,0.9692409201890513,0.06869822499587461,4.84718267618055,0.10250824930685724,0.06273221800802276,0.05215270409826189,0.9483408408705145,18.183924635695355,1,1,1,1,3,6,9,2,12,1,1,1,1,2,1
