map,step,k_steps,n_boundary,n_candidates,n_active_edges,mean_abs_score_error,max_abs_score_error,l1_score_error,exact_top_state,approx_top_state,top1_match,exact_top_score,approx_top_score,time_truncated_green_sec
four_rooms_9,2,8,4,12,3,0.0006482239757462028,0.005822280223945531,0.007778687708954434,38,38,True,0.03386490472212114,0.03204207380279043,0.0011432619648985565
four_rooms_9,2,16,4,12,3,8.24056350823604e-07,8.917679158733371e-06,9.888676209883248e-06,38,38,True,0.03386490472212114,0.03386399652616519,0.0013558879727497697
four_rooms_9,2,32,4,12,3,3.9287377290033264e-14,4.3178308151148315e-13,4.714485274803991e-13,38,38,True,0.03386490472212114,0.033864904722085414,0.001373432984109968
open_room_7,0,1,2,2,1,0.45335230516250735,0.9067046102875489,0.9067046103250147,42,6,False,0.9067046102875489,0.0,0.00035588600439950824
open_room_7,0,2,2,2,1,0.45335230516250735,0.9067046102875489,0.9067046103250147,42,6,False,0.9067046102875489,0.0,0.0004199949908070266
open_room_7,0,4,2,2,1,0.45335230516250735,0.9067046102875489,0.9067046103250147,42,6,False,0.9067046102875489,0.0,0.0003650669823400676
open_room_7,0,8,2,2,1,0.003195303819078475,0.006390607634988332,0.00639060763815695,42,42,True,0.9067046102875489,0.9003140026525606,0.00034445803612470627
open_room_7,0,16,2,2,1,7.25721527800149e-08,1.4514404622634203e-07,1.451443055600298e-07,42,42,True,0.9067046102875489,0.9067044651435027,0.00033858296228572726
open_room_7,0,32,2,2,1,4.441418890347812e-16,8.881784197001252e-16,8.882837780695623e-16,42,42,True,0.9067046102875489,0.906704610287548,0.0003645049873739481
open_room_7,1,1,3,1,2,3.997633651378784e-11,3.997633651378784e-11,3.997633651378784e-11,6,6,True,3.997633651378784e-11,0.0,0.000736469984985888
open_room_7,1,2,3,1,2,3.997633651378784e-11,3.997633651378784e-11,3.997633651378784e-11,6,6,True,3.997633651378784e-11,0.0,0.0006712820031680167
open_room_7,1,4,3,1,2,3.997633651378784e-11,3.997633651378784e-11,3.997633651378784e-11,6,6,True,3.997633651378784e-11,0.0,0.0006147989770397544
open_room_7,1,8,3,1,2,5.679112226678886e-12,5.679112226678886e-12,5.679112226678886e-12,6,6,True,3.997633651378784e-11,3.4297224287108956e-11,0.0006835369858890772
open_room_7,1,16,3,1,2,2.767621687442404e-13,2.767621687442404e-13,2.767621687442404e-13,6,6,True,3.997633651378784e-11,3.96995743450436e-11,0.0006658260244876146
open_room_7,1,32,3,1,2,1.0624314896214477e-19,1.0624314896214477e-19,1.0624314896214477e-19,6,6,True,3.997633651378784e-11,3.9976336407544694e-11,0.0007127200369723141
open_room_7,2,1,4,0,3,0.0,0.0,0.0,,,True,0.0,0.0,0.0009302729740738869
open_room_7,2,2,4,0,3,0.0,0.0,0.0,,,True,0.0,0.0,0.0009533829870633781
open_room_7,2,4,4,0,3,0.0,0.0,0.0,,,True,0.0,0.0,0.000884920998942107
open_room_7,2,8,4,0,3,0.0,0.0,0.0,,,True,0.0,0.0,0.0009893340175040066
open_room_7,2,16,4,0,3,0.0,0.0,0.0,,,True,0.0,0.0,0.0009473770041950047
open_room_7,2,32,4,0,3,0.0,0.0,0.0,,,True,0.0,0.0,0.0010798469884321094
