map_family,map_size,map,slip,method_spec,method,first_hit_mode,first_hit_truncation_steps,first_hit_tail_tol,first_hit_used_steps_max,first_hit_used_steps_mean,first_hit_tail_bound_max,n_states,n_boundary,n_edges_valid,state_compression_ratio,transition_nnz_proxy,kernel_nnz,memory_compression_ratio,full_vi_iterations,full_vi_time_sec,full_vi_backup_count,construction_time_sec,kernel_time_sec,upfront_time_sec,smdp_iterations,smdp_solve_time_sec,smdp_edge_backup_count,compressed_total_time_sec,planning_time_speedup_vs_full_vi,total_time_speedup_vs_full_vi,backup_compression_ratio,start_gap,value_gap_max,occupancy_struct_hidden_distinct,occupancy_model_residual,struct_hidden_distinct_cvar95,error
open_room,24,open_room_24,0.1,coverage_sqrt,coverage_24,adaptive,1024.0,1e-06,76.0,43.83695652173913,9.982336805445478e-07,576,24.0,552.0,24.0,9200.0,6133.0,1.5000815261699003,92.0,0.9995714650140144,211968.0,0.4589033150114119,9.549579604994506,10.008482920005918,10.0,0.0665760959964245,5520.0,10.075059016002342,15.013969354221311,0.0992124674829579,38.4,0.1761788560468069,0.322884650641722,0.0,0.8203402428737854,0.0,
four_rooms,21,four_rooms_21,0.05,betweenness_sqrt,betweenness_21,adaptive,1024.0,1e-06,31.0,16.316666666666666,9.861776467195462e-07,404,21.0,420.0,19.23809523809524,6384.0,1240.0,5.148387096774194,71.0,0.5440716960001737,114736.0,0.2886263619875535,18.295544730994152,18.584171092981705,43.0,0.2116485900187399,18060.0,18.795819683000445,2.5706369976383976,0.0289464202772837,6.353045404208195,0.0980417917735678,0.1390523590160981,1.7872002438331451,2.012806593015473,0.9180637254539896,
maze,21,maze_21,0.0,graph_rd_surrogate_joint,graph_rd_surrogate_joint,adaptive,1024.0,1e-06,13.0,3.0,0.0,199,20.0,380.0,9.95,796.0,380.0,2.094736842105263,77.0,0.2840327240119222,61292.0,332.61161196400644,5.926972738991026,338.53858470299747,35.0,0.1489101749903056,13300.0,338.6874948779878,1.907409779287502,0.0008386277270563,4.608421052631579,7.105427357601002e-15,1.0658141036401504e-14,1.0,0.97797146,1.0,
maze,31,maze_31,0.1,turn_articulation,turn_articulation,adaptive,1024.0,1e-06,34.0,17.84215059055118,9.939571411504955e-07,449,128.0,16256.0,3.5078125,5380.0,32006.0,0.1680934824720364,221.0,1.9184865860152056,396916.0,0.0084774269780609,110.4033182139974,110.41179564097548,83.0,20.16232975799357,1349248.0,130.57412539896904,0.0951520290086814,0.0146927010244431,0.2941757186225215,5.014734497876816e-06,6.157244136772988e-06,0.0,11.497307837530988,0.0,
corridor,256,corridor_256,0.1,graph_rd_surrogate_joint,graph_rd_surrogate_joint,adaptive,1024.0,1e-06,342.0,342.0,7.245044880825599e-07,256,2.0,2.0,128.0,3064.0,2.0,1532.0,341.0,1.6635740629862994,349184.0,4.690040343004512,0.1966413809859659,4.886681723990478,2.0,0.0002244990027975,4.0,4.886906222993275,7410.162371574726,0.3404145664099412,87296.0,8.284217756227008e-11,8.284217756227008e-11,0.0,0.341910445315026,0.0,
corridor,1024,corridor_1024,0.05,turn_articulation,turn_articulation,adaptive,1024.0,1e-06,1024.0,1024.0,0.9999999999999531,1024,2.0,2.0,512.0,12280.0,0.0,12280.0,757.0,13.087753477972,3100672.0,0.0066039589582942,2.294717549986672,2.301321508944966,2.0,0.0001714919926598,4.0,2.3014930009376258,76316.9946011995,5.686636228152796,775168.0,3.228095124541141e-09,3.228095124541141e-09,0.0,0.1710624589203767,0.0,
open_room,32,open_room_32,0.0,endpoints,endpoints,adaptive,1024.0,1e-06,61.0,61.0,0.0,1024,2.0,2.0,512.0,4096.0,2.0,2048.0,63.0,1.3538023440050893,258048.0,0.0001088469871319,1.6922928359999787,1.6924016829871107,2.0,0.000211806007428,4.0,1.6926134889945388,6391.70890591801,0.799829584726568,64512.0,1.7763568394002505e-14,1.7763568394002505e-14,1.0,0.5474260975565037,1.0,
four_rooms,21,four_rooms_21,0.05,coverage_sqrt,coverage_21,adaptive,1024.0,1e-06,58.0,35.73571428571429,9.940728009278009e-07,404,21.0,420.0,19.23809523809524,6384.0,3225.0,1.9795348837209303,71.0,0.5961109120107722,114736.0,0.2283992249867878,9.895659906003855,10.124059130990643,8.0,0.0438717420038301,3360.0,10.167930872994477,13.58758245703418,0.058626570091464,34.147619047619045,0.0980427926754501,0.1816369307727647,1.966628016471133e-09,0.3635317654334636,0.5531881867477224,
maze,21,maze_21,0.0,betweenness_sqrt,betweenness_15,adaptive,1024.0,1e-06,60.0,4.5,0.0,199,15.0,210.0,13.266666666666667,796.0,210.0,3.7904761904761903,77.0,0.3192350319877732,61292.0,0.0578035409853328,5.606491673999699,5.664295214985032,17.0,0.0441120420000515,3570.0,5.708407256985083,7.236913493766621,0.0559236609471305,17.16862745098039,2.131628207280301e-14,2.131628207280301e-14,16.0,1.1250518988575942,16.0,
maze,31,maze_31,0.1,graph_rd_surrogate_joint,graph_rd_surrogate_joint,adaptive,1024.0,1e-06,143.0,24.41315789473684,8.941296339960189e-07,449,20.0,380.0,22.45,5380.0,704.0,7.642045454545454,221.0,2.0018175459990744,396916.0,6405.900341236003,180.88716614598525,6586.787507381989,83.0,0.4109643629926722,31540.0,6587.198471744981,4.871024658736086,0.0003038951315321,12.584527584020291,3.3340006595494742e-06,3.3340006595494742e-06,25.00410052745984,6.024776845285787,24.985119574663408,
corridor,256,corridor_256,0.1,betweenness_sqrt,betweenness_16,adaptive,1024.0,1e-06,175.0,29.45833333333333,9.5783924364406e-07,256,16.0,240.0,16.0,3064.0,422.0,7.260663507109005,341.0,1.676223556016339,349184.0,0.0906991049996577,1.6926035250071436,1.7833026300068011,164.0,0.4796785210201051,39360.0,2.2629811510269064,3.494472824114804,0.7407147670035582,8.871544715447154,1.3058876646709905e-07,2.4584309699093865e-06,0.0,2.49360684623228,0.0,
corridor,1024,corridor_1024,0.05,graph_rd_surrogate_joint,graph_rd_surrogate_joint,adaptive,1024.0,1e-06,1024.0,1024.0,0.9999999999999531,1024,2.0,2.0,512.0,12280.0,0.0,12280.0,757.0,13.502726118953433,3100672.0,29.67332363699097,2.311358258011751,31.984681895002723,2.0,0.0001541409874334,4.0,31.98483603599016,87599.84183168298,0.4221602419271376,775168.0,3.228095124541141e-09,3.228095124541141e-09,0.0,0.1710624589203767,0.0,
open_room,32,open_room_32,0.0,turn_articulation,turn_articulation,adaptive,1024.0,1e-06,30.0,30.0,0.0,1024,4.0,12.0,256.0,4096.0,12.0,341.3333333333333,63.0,1.3974017369910143,258048.0,0.0123655800125561,1.8375091300113129,1.8498747100238688,3.0,0.0006389070185832,36.0,1.850513617042452,2187.175436090303,0.7551426393848346,7168.0,1.7763568394002505e-14,1.7763568394002505e-14,0.0,0.0,0.0,
four_rooms,21,four_rooms_21,0.1,endpoints,endpoints,adaptive,1024.0,1e-06,77.0,77.0,8.318198320972582e-07,404,2.0,2.0,202.0,6384.0,2.0,3192.0,85.0,0.7100888720015064,137360.0,0.0001578840019647,0.3877531290054321,0.3879110130073968,2.0,0.0001718639978207,4.0,0.3880828770052176,4131.690644960156,1.8297351263760075,34340.0,0.1962258512372336,0.1962258512372336,1.61034521622492,0.8438230408054037,1.61034521622492,
maze,21,maze_21,0.0,coverage_sqrt,coverage_15,adaptive,1024.0,1e-06,29.0,14.733333333333333,0.0,199,15.0,210.0,13.266666666666667,796.0,210.0,3.7904761904761903,77.0,0.3116432960086968,61292.0,0.0560494670062325,9.982104849012105,10.038154316018336,8.0,0.0269797820074018,1680.0,10.065134098025736,11.550993848771592,0.0309626571264286,36.48333333333333,1.0658141036401504e-14,1.0658141036401504e-14,19.0,5.481999343515559,8.0,
maze,31,maze_31,0.1,betweenness_sqrt,betweenness_22,adaptive,1024.0,1e-06,171.0,18.818181818181817,9.297428565592456e-07,449,22.0,462.0,20.40909090909091,5380.0,822.0,6.545012165450122,221.0,2.078541725000832,396916.0,0.3029682119959034,176.53970905399183,176.84267726598773,39.0,0.2388999169925227,18018.0,177.08157718298023,8.700470687337608,0.0117377637926335,22.028860028860027,1.027222609195633e-07,8.330382428312078e-07,38.00272760297202,4.368603638743285,29.667912275597576,
corridor,256,corridor_256,0.1,coverage_sqrt,coverage_16,adaptive,1024.0,1e-06,60.0,40.275,9.079483037769256e-07,256,16.0,240.0,16.0,3064.0,240.0,12.766666666666667,341.0,1.6657983130135108,349184.0,0.0880615770001895,1.7659915150143206,1.8540530920145104,16.0,0.0488973689789418,3840.0,1.902950460993452,34.06723813158342,0.8753766044670791,90.93333333333334,1.2488043950042993e-06,1.2939989417759534e-06,0.0,4.380931244354943,0.0,
corridor,1024,corridor_1024,0.05,betweenness_sqrt,betweenness_32,adaptive,1024.0,1e-06,575.0,42.07661290322581,6.775522056205039e-07,1024,32.0,990.0,32.0,12280.0,1860.0,6.602150537634409,757.0,15.366111202980392,3100672.0,1.6646468140243087,33.97921763599152,35.643864450015826,728.0,8.71048153997981,720720.0,44.35434598999564,1.7640943422533226,0.3464398101247238,4.302186702186702,3.2274343197968847e-09,9.705105853186067e-06,0.0,5742556.871829521,0.0,
open_room,32,open_room_32,0.0,graph_rd_surrogate_joint,graph_rd_surrogate_joint,adaptive,1024.0,1e-06,61.0,61.0,0.0,1024,2.0,2.0,512.0,4096.0,2.0,2048.0,63.0,1.3629132329951972,258048.0,8.026234771008603,1.5133353729906958,9.5395701439993,2.0,0.0001614810025785,4.0,9.539731625001878,8440.084042285722,0.1428670413980255,64512.0,1.7763568394002505e-14,1.7763568394002505e-14,1.0,0.5474260975565037,1.0,
four_rooms,21,four_rooms_21,0.1,turn_articulation,turn_articulation,adaptive,1024.0,1e-06,71.0,48.6,9.793457844379232e-07,404,16.0,240.0,25.25,6384.0,1442.0,4.427184466019417,85.0,0.7046075810212642,137360.0,0.0044741089805029,2.4109469090180937,2.4154210179985967,7.0,0.0208367180021014,1680.0,2.436257736000698,33.8156700565897,0.2892171754282168,81.76190476190476,0.1962258168639081,0.3848502504439821,0.0,0.6805739299758877,0.0,
maze,21,maze_21,0.05,endpoints,endpoints,adaptive,1024.0,1e-06,102.0,102.0,6.311120353918492e-07,199,2.0,2.0,99.5,2380.0,2.0,1190.0,110.0,0.4433476489793975,87560.0,2.460100222378969e-05,0.3234221370075829,0.3234467380098067,2.0,0.0001486469991505,4.0,0.3235953850089572,2982.5536439553657,1.3700678981164254,21890.0,2.9736689555193152e-08,2.9736689555193152e-08,18.99999739792438,1.1087148106467604,19.000305431871723,
maze,31,maze_31,0.1,coverage_sqrt,coverage_22,adaptive,1024.0,1e-06,131.0,64.06709956709956,9.941318381234203e-07,449,22.0,462.0,20.40909090909091,5380.0,803.0,6.699875466998755,221.0,2.077093696978409,396916.0,0.2801258100080304,406.7526034729962,407.0327292830043,8.0,0.0471467580064199,3696.0,407.0798760410107,44.05591783629259,0.0051024229376771,107.39069264069263,1.2345272324409962e-06,1.3368298894533837e-06,42.04393856472924,7.000824911351744,27.672122704010047,
corridor,512,corridor_512,0.0,endpoints,endpoints,adaptive,1024.0,1e-06,510.0,510.0,0.0,512,2.0,2.0,256.0,2048.0,2.0,1024.0,512.0,5.117841928993585,1048576.0,6.199700874276459e-05,0.7675165960099548,0.7675785930186976,2.0,0.0001925830147229,4.0,0.7677711760334205,26574.731610454244,6.665842752047791,262144.0,1.4210854715202004e-14,1.4210854715202004e-14,0.0,2.646977960169689e-23,0.0,
