map,slip,selector,option_set,gamma,n_states,n_boundary,n_options,option_pair_count,compression_ratio,n_edges_all,n_edges_valid,kernel_entries_valid,critical_kind,critical_top_fraction,critical_nonzero,critical_mass,duration_mean,duration_max,bypass_cost_mean,bypass_cost_total,nonlocal_cost,bellman_error_max,value_gap_max,value_gap_mean,start_value_smdp,start_value_primitive,start_gap,start_best_option,policy_tv_total,policy_regions_total,policy_tv_mean,policy_regions_mean,description_length_proxy
open_room,0.0,endpoints,targeted,0.97,35,2,2,2,0.05714285714285714,4,2,2,bottleneck,0.15,5,0.3577844269020739,10.0,10.0,0.14373341566804942,0.28746683133609885,4.0,1.7763568394002505e-15,0.0,0.0,-8.75252910350239,-8.75252910350239,0.0,to_001,30.0,5.0,15.0,2.5,14.287466831336099
open_room,0.0,junction,directional,0.97,35,33,4,132,0.9428571428571428,128,128,128,bottleneck,0.15,5,0.3577844269020739,0.9696969696969697,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.75252910350239,-8.75252910350239,0.0,S,0.0,4.0,0.0,1.0,49.47878787878788
open_room,0.0,junction,targeted,0.97,35,33,33,1056,0.9428571428571428,1089,1056,1056,bottleneck,0.15,5,0.3577844269020739,1.0113636363636365,2.0,0.0,0.0,0.0,2.220446049250313e-16,0.0,0.0,-8.75252910350239,-8.75252910350239,0.0,to_001,818.0,118.0,24.78787878787879,3.5757575757575757,373.40000000000003
open_room,0.0,junction,local_targeted,0.97,35,33,33,1046,0.9428571428571428,1089,1046,1046,bottleneck,0.15,5,0.3577844269020739,1.011472275334608,2.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.75252910350239,-8.75252910350239,0.0,to_001,818.0,118.0,24.78787878787879,3.5757575757575757,372.5969696969697
open_room,0.0,decision,directional,0.97,35,35,4,140,1.0,140,140,140,bottleneck,0.15,5,0.3577844269020739,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.75252910350239,-8.75252910350239,0.0,S,0.0,4.0,0.0,1.0,52.0
open_room,0.0,decision,targeted,0.97,35,35,35,1190,1.0,1225,1190,1190,bottleneck,0.15,5,0.3577844269020739,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.75252910350239,-8.75252910350239,0.0,to_001,848.0,123.0,24.228571428571428,3.5142857142857142,394.6
open_room,0.0,decision,local_targeted,0.97,35,35,35,1170,1.0,1225,1170,1170,bottleneck,0.15,5,0.3577844269020739,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.75252910350239,-8.75252910350239,0.0,to_001,848.0,123.0,24.228571428571428,3.5142857142857142,393.02857142857147
open_room,0.0,spectral_25,directional,0.97,35,11,4,44,0.3142857142857143,35,35,35,bottleneck,0.15,5,0.3577844269020739,1.3863636363636365,3.9999999999999996,0.05857464799816234,2.5772845119191428,2.9346699044272266e-16,8.881784197001252e-16,8.881784197001252e-16,4.440892098500626e-16,-8.75252910350239,-8.75252910350239,0.0,E,0.0,4.0,0.0,1.0,24.959102693737325
open_room,0.0,spectral_25,targeted,0.97,35,11,11,110,0.3142857142857143,121,110,110,bottleneck,0.15,5,0.3577844269020739,2.118181818181818,7.0,0.011968888079212408,1.316577688713365,0.0,8.881784197001252e-16,8.881784197001252e-16,4.440892098500626e-16,-8.75252910350239,-8.75252910350239,0.0,to_001,234.0,38.0,21.272727272727273,3.4545454545454546,104.61657768871338
open_room,0.0,spectral_25,local_targeted,0.97,35,11,11,104,0.3142857142857143,121,104,104,bottleneck,0.15,5,0.3577844269020739,2.0288461538461537,7.0,0.012659400853013121,1.3165776887133647,0.0,8.881784197001252e-16,8.881784197001252e-16,4.440892098500626e-16,-8.75252910350239,-8.75252910350239,0.0,to_001,234.0,38.0,21.272727272727273,3.4545454545454546,103.77112314325882
open_room,0.05,all,directional,0.97,35,35,4,140,1.0,544,544,544,bottleneck,0.15,5,0.3577844269020739,1.0,1.0,0.0,0.0,0.0,0.0,3.552713678800501e-15,6.791952621236251e-16,-9.19001272578314,-9.19001272578314,0.0,E,0.0,4.0,0.0,1.0,63.542857142857144
open_room,0.05,all,targeted,0.97,35,35,35,1190,1.0,4659,4624,4624,bottleneck,0.15,5,0.3577844269020739,1.0,1.0,0.0,0.0,0.0,0.0,3.552713678800501e-15,6.791952621236251e-16,-9.19001272578314,-9.19001272578314,0.0,to_001,803.0666666666667,123.0,22.944761904761908,3.5142857142857142,483.7276190476191
open_room,0.05,all,local_targeted,0.97,35,35,35,1170,1.0,4659,4556,4556,bottleneck,0.15,5,0.3577844269020739,1.0,1.0,0.0,0.0,0.0,0.0,3.552713678800501e-15,6.791952621236251e-16,-9.19001272578314,-9.19001272578314,0.0,to_001,803.0666666666667,123.0,22.944761904761908,3.5142857142857142,480.7847619047619
open_room,0.05,endpoints,directional,0.97,35,2,4,8,0.05714285714285714,12,12,12,bottleneck,0.15,5,0.3577844269020739,444.84328225861964,1197.0754624733927,0.0675760635451875,0.5406085083615,7.599803820395265,1.0658141036401503e-14,23.88271740419762,23.88271740419762,-33.07273012998076,-9.19001272578314,23.88271740419762,E,0.0,4.0,0.0,1.0,15.700588890401027
open_room,0.05,endpoints,targeted,0.97,35,2,2,2,0.05714285714285714,6,4,4,bottleneck,0.15,5,0.3577844269020739,10.18112926849835,10.181129268498351,0.14406571712753435,0.2881314342550687,3.79996070546935,1.7763568394002505e-15,0.07879917849361995,0.07879917849361995,-9.26881190427676,-9.19001272578314,0.07879917849361995,to_001,28.4,5.0,14.2,2.5,14.948127504802002
open_room,0.05,junction,directional,0.97,35,33,4,132,0.9428571428571428,520,520,520,bottleneck,0.15,5,0.3577844269020739,1.8798328108672941,29.500000000000014,0.0,0.0,0.0,3.552713678800501e-15,2.0676793610618915e-12,1.5558387911340787e-13,-9.190012725785207,-9.19001272578314,2.0676793610618915e-12,E,0.0,4.0,0.0,1.0,61.35757575757576
open_room,0.05,junction,targeted,0.97,35,33,33,1056,0.9428571428571428,4193,4160,4160,bottleneck,0.15,5,0.3577844269020739,1.0130616509926855,1.9827586206896548,0.0,0.0,0.0,4.440892098500626e-16,0.02734924538719241,0.0015504029473258907,-9.190189959150997,-9.19001272578314,0.00017723336785735455,to_001,774.6666666666666,118.0,23.474747474747474,3.5757575757575757,458.7939393939394
open_room,0.05,junction,local_targeted,0.97,35,33,33,1046,0.9428571428571428,4193,4126,4126,bottleneck,0.15,5,0.3577844269020739,1.0131865233731125,1.9827586206896548,0.0,0.0,0.0,2.220446049250313e-16,0.02734924538719241,0.0015504029473258907,-9.190189959150997,-9.19001272578314,0.00017723336785735455,to_001,774.6666666666666,118.0,23.474747474747474,3.5757575757575757,457.26363636363635
open_room,0.05,decision,directional,0.97,35,35,4,140,1.0,544,544,544,bottleneck,0.15,5,0.3577844269020739,1.0,1.0,0.0,0.0,0.0,0.0,3.552713678800501e-15,6.791952621236251e-16,-9.19001272578314,-9.19001272578314,0.0,E,0.0,4.0,0.0,1.0,63.542857142857144
open_room,0.05,decision,targeted,0.97,35,35,35,1190,1.0,4659,4624,4624,bottleneck,0.15,5,0.3577844269020739,1.0,1.0,0.0,0.0,0.0,0.0,3.552713678800501e-15,6.791952621236251e-16,-9.19001272578314,-9.19001272578314,0.0,to_001,803.0666666666667,123.0,22.944761904761908,3.5142857142857142,483.7276190476191
open_room,0.05,decision,local_targeted,0.97,35,35,35,1170,1.0,4659,4556,4556,bottleneck,0.15,5,0.3577844269020739,1.0,1.0,0.0,0.0,0.0,0.0,3.552713678800501e-15,6.791952621236251e-16,-9.19001272578314,-9.19001272578314,0.0,to_001,803.0666666666667,123.0,22.944761904761908,3.5142857142857142,480.7847619047619
open_room,0.05,spectral_25,directional,0.97,35,11,4,44,0.3142857142857143,250,250,240,bottleneck,0.15,5,0.3577844269020739,15.505806734545082,87.07964232128835,0.04810874591538889,2.116784820277111,0.000679671121655385,1.4210854715202004e-14,1.7093816720361694,0.8127914705868788,-10.229263045630377,-9.19001272578314,1.0392503198472376,E,0.0,4.0,0.0,1.0,44.044125514662
open_room,0.05,spectral_25,targeted,0.97,35,11,11,110,0.3142857142857143,546,535,532,bottleneck,0.15,5,0.3577844269020739,2.1809399816075454,6.792895636119077,0.012544424495368895,1.3798866944905785,0.0005092371811206109,1.7763568394002505e-15,0.08270735458738354,0.03640517871868507,-9.268384276459932,-9.19001272578314,0.07837155067679191,to_009,221.89999999999998,38.0,20.172727272727272,3.4545454545454546,140.8963012545723
open_room,0.05,spectral_25,local_targeted,0.97,35,11,11,104,0.3142857142857143,546,501,498,bottleneck,0.15,5,0.3577844269020739,2.1001779073648943,6.792895636119077,0.01324602625845269,1.37758673087908,1.119068057662365e-07,2.6645352591003757e-15,0.0827074800682368,0.03644954111033281,-9.26882024811312,-9.19001272578314,0.07880752232997956,to_008,221.89999999999998,38.0,20.172727272727272,3.4545454545454546,137.5030412875243
four_rooms,0.0,all,directional,0.97,51,51,4,204,1.0,204,204,204,bottleneck,0.15,8,3.5429115646258507,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-11.57212408464641,-11.57212408464641,0.0,S,0.0,4.0,0.0,1.0,71.2
four_rooms,0.0,all,targeted,0.97,51,51,51,2550,1.0,2601,2550,2550,bottleneck,0.15,8,3.5429115646258507,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-11.57212408464641,-11.57212408464641,0.0,to_001,2008.0,319.0,39.372549019607845,6.254901960784314,840.6
four_rooms,0.0,all,local_targeted,0.97,51,51,51,1944,1.0,2601,1944,1944,bottleneck,0.15,8,3.5429115646258507,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-11.57212408464641,-11.57212408464641,0.0,to_001,2008.0,319.0,39.372549019607845,6.254901960784314,798.4176470588235
four_rooms,0.0,endpoints,directional,0.97,51,2,4,8,0.0392156862745098,4,4,4,bottleneck,0.15,8,3.5429115646258507,0.5,1.0,0.0,0.0,3.5334321030572166e-15,0.0,21.761209245457792,21.761209245457792,-33.3333333301042,-11.57212408464641,21.761209245457792,N,0.0,4.0,0.0,1.0,10.4
four_rooms,0.0,endpoints,targeted,0.97,51,2,2,2,0.0392156862745098,4,2,2,bottleneck,0.15,8,3.5429115646258507,14.0,14.0,2.546860881164301,5.093721762328602,12.0,1.7763568394002505e-15,0.0,0.0,-11.57212408464641,-11.57212408464641,0.0,to_001,66.0,11.0,33.0,5.5,30.093721762328602
four_rooms,0.0,junction,directional,0.97,51,44,4,176,0.8627450980392157,164,164,164,bottleneck,0.15,8,3.5429115646258507,0.9431818181818182,2.0,0.0,0.0,0.0,0.0,0.0,0.0,-11.57212408464641,-11.57212408464641,0.0,S,0.0,4.0,0.0,1.0,62.52727272727273
four_rooms,0.0,junction,targeted,0.97,51,44,44,1892,0.8627450980392157,1936,1892,1892,bottleneck,0.15,8,3.5429115646258507,1.0338266384778012,2.0,0.0,0.0,0.0,4.440892098500626e-16,0.0,0.0,-11.57212408464641,-11.57212408464641,0.0,to_001,1766.0,279.0,40.13636363636363,6.340909090909091,718.3000000000001
