map,slip,gamma,candidate_kind,candidate_top_fraction,residual_kind,residual_top_fraction,soft_kind,soft_top_fraction,local_horizon,hidden_threshold,soft_threshold,residual_threshold,residual_threshold_mode,compute_struct_distinct,struct_mdl_node_cost_weight,struct_mdl_edge_cost_weight,struct_mdl_exposure_bit_weight,struct_mdl_min_gain,residual_reward_weight,residual_hit_weight,value_scale_task,soft_cost_weight,n_states,n_boundary,n_candidate_boundary,n_pair_options,n_edges_valid,invalid_hidden_count,hidden_mass_total,hidden_mass_max,soft_cost_all_total,soft_cost_valid_total,soft_cost_max,soft_over_threshold_count,model_residual_valid_total,model_residual_max,residual_threshold_metric_valid_total,residual_threshold_metric_max,residual_backup_value_norm_valid_total,residual_backup_value_norm_max,struct_hidden_prob_valid_total,struct_hidden_prob_max,struct_hidden_bits_valid_total,struct_hidden_bits_max,struct_hidden_distinct_valid_total,struct_hidden_distinct_max,struct_nohit_prob_max,beta_global,l_gamma_row_max,residual_hidden_mass_max,residual_over_threshold_count,feasible,start_value_smdp,start_value_primitive,start_gap,value_gap_max,start_best_option,policy_tv_total,policy_regions_total,policy_tv_mean,policy_regions_mean,target_policy_tv_total,target_policy_regions_total,target_policy_tv_mean,target_policy_regions_mean,hard_split_candidate_state,hard_split_candidate_coord,hard_split_candidate_score,residual_split_candidate_state,residual_split_candidate_coord,residual_split_candidate_score,struct_mdl_split_candidate_state,struct_mdl_split_candidate_coord,struct_mdl_split_gain,struct_mdl_split_benefit,struct_mdl_split_cost,soft_split_candidate_state,soft_split_candidate_coord,soft_split_candidate_score,description_length_proxy,method,method_family,eval_residual_lens,eval_soft_kind,constructor_stop,constructor_step,constructor_n_boundary,constructor_split_source,constructor_last_split_source,constructor_last_split_state,constructor_last_split_coord,constructor_last_split_score
four_rooms,0.0,0.97,fixed_bottleneck15,0.15,turn_articulation,0.15,combined,0.15,999.0,1e-06,3.0,0.5,raw,True,1.0,0.5,1.0,0.0,0.05,0.0,11.57212408464641,1.0,51,10,10,90,90,0,0.0,0.0,13.380787014255219,13.380787014255219,1.2329439104767141,0,5.945137325827999,1.0441773161999999,5.945137325827999,1.0441773161999999,53.15816286444346,12.342145967237494,6.0,1.0,239.17882283189007,39.86313713864835,6.0,1.0,0.0,0.97,6.400571840628997,1.0,6,True,-11.572124084646411,-11.57212408464641,1.7763568394002505e-15,1.7763568394002505e-15,fb_000_to_001,3492.0,540.0,38.8,6.0,388.0,60.0,38.8,6.0,,,0.0,4,"(1, 5)",1.0441773161999999,,,-14.672425341971495,1.0,15.672425341971495,,,0.0,240.42592434008324,fixed_bottleneck15,fixed,turn_articulation,combined,fixed,0,10,fixed,fixed,,,0.0
four_rooms,0.0,0.97,fixed_spectral25,0.15,turn_articulation,0.15,combined,0.15,999.0,1e-06,3.0,0.5,raw,True,1.0,0.5,1.0,0.0,0.05,0.0,11.57212408464641,1.0,51,15,15,210,210,0,0.0,0.0,30.92200274877783,30.92200274877783,2.0659159154057143,0,23.06074652063304,1.0456710937082025,23.06074652063304,1.0456710937082025,239.02314609130175,17.338783794832366,25.0,1.0,996.5784284662084,39.86313713864835,26.0,2.0,0.0,0.97,7.208554685410126,1.0,25,True,-11.572124084646411,-11.57212408464641,1.7763568394002505e-15,1.7763568394002505e-15,fb_000_to_001,7980.0,1288.0,38.0,6.133333333333334,570.0,92.0,38.0,6.133333333333334,,,0.0,26,"(3, 7)",13.166746520633033,,,-4.672425341971497,16.0,20.672425341971497,,,0.0,463.4827492694109,fixed_spectral25,fixed,turn_articulation,combined,fixed,0,15,fixed,fixed,,,0.0
four_rooms,0.0,0.97,fixed_turn_articulation,0.15,turn_articulation,0.15,combined,0.15,999.0,1e-06,3.0,0.5,raw,True,1.0,0.5,1.0,0.0,0.05,0.0,11.57212408464641,1.0,51,10,10,90,90,0,0.0,0.0,18.268901348348077,18.268901348348077,1.2329439104767141,0,1.3322676295501878e-16,2.2204460492503132e-17,1.3322676295501878e-16,2.2204460492503132e-17,2.0073252555276216e-15,3.345542092546036e-16,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.9409,5.567599835699998,0.0,0,True,-11.572124084646411,-11.57212408464641,1.7763568394002505e-15,1.7763568394002505e-15,fb_000_to_001,3132.0,504.0,34.8,5.6,348.0,56.0,34.8,5.6,,,0.0,,,0.0,,,0.0,0.0,15.672425341971495,,,0.0,229.3689013483481,fixed_turn_articulation,fixed,turn_articulation,combined,fixed,0,10,fixed,fixed,,,0.0
four_rooms,0.0,0.97,learned_soft3,0.15,turn_articulation,0.15,combined,0.15,999.0,1e-06,3.0,0.5,raw,True,1.0,0.5,1.0,0.0,0.05,0.0,11.57212408464641,1.0,51,4,4,12,12,0,0.0,0.0,4.823584556488949,4.823584556488949,1.2329439104767141,0,2.025703993428,1.012851996714,2.025703993428,1.012851996714,13.696590297556405,6.8482951487782024,2.0,1.0,79.7262742772967,39.86313713864835,2.0,1.0,0.0,0.9409,5.567599835699998,1.0,2,True,-11.572124084646411,-11.57212408464641,1.7763568394002505e-15,1.7763568394002505e-15,fb_000_to_001,450.0,69.0,37.5,5.75,150.0,23.0,37.5,5.75,,,0.0,4,"(1, 5)",1.012851996714,,,-8.672425341971495,1.0,9.672425341971495,,,0.0,67.94928854991694,learned_soft3,learned,turn_articulation,combined,hybrid_threshold,2,4,none,hard_hidden,24,"(3, 5)",3.0
four_rooms,0.0,0.97,learned_raw_residual12,0.15,turn_articulation,0.15,combined,0.15,999.0,1e-06,3.0,0.5,raw,True,1.0,0.5,1.0,0.0,0.05,0.0,11.57212408464641,1.0,51,4,4,12,12,0,0.0,0.0,4.823584556488949,4.823584556488949,1.2329439104767141,0,2.025703993428,1.012851996714,2.025703993428,1.012851996714,13.696590297556405,6.8482951487782024,2.0,1.0,79.7262742772967,39.86313713864835,2.0,1.0,0.0,0.9409,5.567599835699998,1.0,2,True,-11.572124084646411,-11.57212408464641,1.7763568394002505e-15,1.7763568394002505e-15,fb_000_to_001,450.0,69.0,37.5,5.75,150.0,23.0,37.5,5.75,,,0.0,4,"(1, 5)",1.012851996714,,,-8.672425341971495,1.0,9.672425341971495,,,0.0,67.94928854991694,learned_raw_residual12,learned,turn_articulation,combined,hybrid_threshold,2,4,none,hard_hidden,24,"(3, 5)",3.0
four_rooms,0.0,0.97,learned_struct_mdl_e05,0.15,turn_articulation,0.15,combined,0.15,999.0,1e-06,3.0,0.5,raw,True,1.0,0.5,1.0,0.0,0.05,0.0,11.57212408464641,1.0,51,4,4,12,12,0,0.0,0.0,4.823584556488949,4.823584556488949,1.2329439104767141,0,2.025703993428,1.012851996714,2.025703993428,1.012851996714,13.696590297556405,6.8482951487782024,2.0,1.0,79.7262742772967,39.86313713864835,2.0,1.0,0.0,0.9409,5.567599835699998,1.0,2,True,-11.572124084646411,-11.57212408464641,1.7763568394002505e-15,1.7763568394002505e-15,fb_000_to_001,450.0,69.0,37.5,5.75,150.0,23.0,37.5,5.75,,,0.0,4,"(1, 5)",1.012851996714,,,-8.672425341971495,1.0,9.672425341971495,,,0.0,67.94928854991694,learned_struct_mdl_e05,learned,turn_articulation,combined,hybrid_threshold,2,4,none,hard_hidden,24,"(3, 5)",3.0
four_rooms,0.05,0.97,fixed_endpoints,0.15,turn_articulation,0.15,combined,0.15,999.0,1e-06,3.0,0.5,raw,True,1.0,0.5,1.0,0.0,0.05,0.0,12.185911752175528,1.0,51,2,2,2,2,0,0.0,0.0,5.436235551226133,5.436235551226133,3.0874861959433955,1,1.8707994293801207,0.9353997146900606,1.8707994293801207,0.9353997146900606,6.371765340600758,3.18588267030038,1.9999999999999996,0.9999999999999998,79.7262742772967,39.86313713864835,5.935855287950033,2.9679276439750173,2.220446049250313e-16,0.6486833685494997,11.710554381683336,0.9999999999999998,2,True,-12.301146070271212,-12.185911752175528,0.11523431809568407,0.11523431809568407,fb_000_to_001,62.0,11.0,31.0,5.5,62.0,11.0,31.0,5.5,,,0.0,26,"(3, 7)",0.9350965880082979,,,-1.7365700540214632,5.935855287950032,7.672425341971495,24,"(3, 5)",0.875426405257586,30.307034980606254,fixed_endpoints,fixed,turn_articulation,combined,fixed,0,2,fixed,fixed,,,0.0
four_rooms,0.05,0.97,fixed_bottleneck15,0.15,turn_articulation,0.15,combined,0.15,999.0,1e-06,3.0,0.5,raw,True,1.0,0.5,1.0,0.0,0.05,0.0,12.185911752175528,1.0,51,10,10,90,90,0,0.0,0.0,9.897997703021048,9.897997703021048,1.861362164122806,0,10.865604951451225,1.0117031173438116,10.865604951451225,1.0117031173438116,137.4187289825044,11.756411856266713,6.337137391583522,0.9666712976592099,28.42238633274006,4.90709104283218,6.337185403093793,0.9666713051330889,5.551115123125783e-16,0.9684727675708776,6.465966745841632,0.9666712976592099,6,True,-12.301146070262899,-12.185911752175528,0.11523431808737072,0.11523431808737072,fb_000_to_001,3286.2,540.0,36.51333333333333,6.0,365.1333333333334,60.0,36.513333333333335,6.0,,,0.0,4,"(1, 5)",0.9779843637390659,,,-14.735658307230358,0.9367670347411382,15.672425341971495,,,0.0,237.29026932113896,fixed_bottleneck15,fixed,turn_articulation,combined,fixed,0,10,fixed,fixed,,,0.0
four_rooms,0.05,0.97,fixed_spectral25,0.15,turn_articulation,0.15,combined,0.15,999.0,1e-06,3.0,0.5,raw,True,1.0,0.5,1.0,0.0,0.05,0.0,12.185911752175528,1.0,51,15,15,210,210,0,0.0,0.0,24.212014904886217,24.212014904886217,2.608153766131837,0,32.42199040935275,1.0107849190154983,32.42199040935275,1.0107849190154983,444.3324920118705,16.6921921841058,25.900505573737167,0.9999999999999998,613.7363158568535,39.86313713864835,26.847157880041127,1.8991409991960713,4.440892098500626e-16,0.97,7.361588376822993,0.9999999999999998,25,True,-12.244569315017516,-12.185911752175528,0.05865756284198831,0.0927988961735089,fb_000_to_001,7511.0,1288.0,35.766666666666666,6.133333333333334,536.4999999999999,92.0,35.76666666666666,6.133333333333334,,,0.0,26,"(3, 7)",12.84995661977795,,,-4.825773317256337,15.84665202471516,20.672425341971497,,,0.0,459.43400531423896,fixed_spectral25,fixed,turn_articulation,combined,fixed,0,15,fixed,fixed,,,0.0
four_rooms,0.05,0.97,fixed_turn_articulation,0.15,turn_articulation,0.15,combined,0.15,999.0,1e-06,3.0,0.5,raw,True,1.0,0.5,1.0,0.0,0.05,0.0,12.185911752175528,1.0,51,10,10,90,90,0,0.0,0.0,12.402009849521242,12.402009849521242,1.9654431423680165,0,9.436139715222353,0.13246835564700454,9.436139715222353,0.13246835564700454,119.3793554068768,2.170336759602638,0.0,0.0,0.0,-0.0,0.0,0.0,6.661338147750939e-16,0.9398757806212347,5.689302543650674,0.0,0,True,-12.301146070268926,-12.185911752175528,0.1152343180933979,0.1152343180933979,fb_000_to_002,2944.8,504.0,32.72,5.6,327.20000000000005,56.0,32.720000000000006,5.6,,,0.0,,,0.0,,,0.0,0.0,15.672425341971495,,,0.0,228.77814956474361,fixed_turn_articulation,fixed,turn_articulation,combined,fixed,0,10,fixed,fixed,,,0.0
four_rooms,0.05,0.97,learned_soft3,0.15,turn_articulation,0.15,combined,0.15,999.0,1e-06,3.0,0.5,raw,True,1.0,0.5,1.0,0.0,0.05,0.0,12.185911752175528,1.0,51,4,4,12,12,0,0.0,0.0,3.8340394666748043,3.8340394666748043,1.830496678282954,0,3.065715239734387,0.9751879128316419,3.065715239734387,0.9751879128316419,25.358376348569763,6.385209921822712,1.9372207115907578,0.9664271847097837,9.79942615044513,4.896562668678093,1.9377780730523364,0.9667054792849454,4.440892098500626e-16,0.9398419499216982,5.690848348298611,0.9664271847097837,2,True,-12.301146070245332,-12.185911752175528,0.11523431806980433,0.11523431806980433,fb_000_to_001,423.6000000000001,69.0,35.300000000000004,5.75,141.20000000000002,23.0,35.300000000000004,5.75,,,0.0,46,"(5, 7)",0.9421581276294999,,,-8.73819303632454,0.9342323056469544,9.672425341971495,,,0.0,66.23975470640919,learned_soft3,learned,turn_articulation,combined,hybrid_threshold,2,4,none,hard_hidden,26,"(3, 7)",3.000302307940899
four_rooms,0.05,0.97,learned_raw_residual12,0.15,turn_articulation,0.15,combined,0.15,999.0,1e-06,3.0,0.5,raw,True,1.0,0.5,1.0,0.0,0.05,0.0,12.185911752175528,1.0,51,4,4,12,12,0,0.0,0.0,3.8340394666748043,3.8340394666748043,1.830496678282954,0,3.065715239734387,0.9751879128316419,3.065715239734387,0.9751879128316419,25.358376348569763,6.385209921822712,1.9372207115907578,0.9664271847097837,9.79942615044513,4.896562668678093,1.9377780730523364,0.9667054792849454,4.440892098500626e-16,0.9398419499216982,5.690848348298611,0.9664271847097837,2,True,-12.301146070245332,-12.185911752175528,0.11523431806980433,0.11523431806980433,fb_000_to_001,423.6000000000001,69.0,35.300000000000004,5.75,141.20000000000002,23.0,35.300000000000004,5.75,,,0.0,46,"(5, 7)",0.9421581276294999,,,-8.73819303632454,0.9342323056469544,9.672425341971495,,,0.0,66.23975470640919,learned_raw_residual12,learned,turn_articulation,combined,hybrid_threshold,2,4,none,hard_hidden,26,"(3, 7)",3.000302307940899
four_rooms,0.05,0.97,learned_struct_mdl_e05,0.15,turn_articulation,0.15,combined,0.15,999.0,1e-06,3.0,0.5,raw,True,1.0,0.5,1.0,0.0,0.05,0.0,12.185911752175528,1.0,51,4,4,12,12,0,0.0,0.0,3.8340394666748043,3.8340394666748043,1.830496678282954,0,3.065715239734387,0.9751879128316419,3.065715239734387,0.9751879128316419,25.358376348569763,6.385209921822712,1.9372207115907578,0.9664271847097837,9.79942615044513,4.896562668678093,1.9377780730523364,0.9667054792849454,4.440892098500626e-16,0.9398419499216982,5.690848348298611,0.9664271847097837,2,True,-12.301146070245332,-12.185911752175528,0.11523431806980433,0.11523431806980433,fb_000_to_001,423.6000000000001,69.0,35.300000000000004,5.75,141.20000000000002,23.0,35.300000000000004,5.75,,,0.0,46,"(5, 7)",0.9421581276294999,,,-8.73819303632454,0.9342323056469544,9.672425341971495,,,0.0,66.23975470640919,learned_struct_mdl_e05,learned,turn_articulation,combined,hybrid_threshold,2,4,none,hard_hidden,26,"(3, 7)",3.000302307940899
maze,0.0,0.97,fixed_endpoints,0.15,turn_articulation,0.15,combined,0.15,999.0,1e-06,3.0,0.5,raw,True,1.0,0.5,1.0,0.0,0.05,0.0,22.199077937496824,1.0,81,2,2,2,2,0,0.0,0.0,6.375771414961022,6.375771414961022,4.309620929135694,1,2.690963117499872,1.3454815587499362,2.690963117499872,1.3454815587499362,3.7397506352407786,1.8698753176203895,2.0,1.0,79.7262742772967,39.86313713864835,24.0,13.0,0.0,0.33402766187509486,22.19907793749682,1.0,2,True,-22.199077937496824,-22.199077937496824,0.0,0.0,fb_000_to_001,134.0,65.0,67.0,32.5,134.0,65.0,67.0,32.5,,,0.0,23,"(3, 1)",1.3454815587499362,4,"(1, 5)",4.660149997115376,13.0,8.339850002884624,63,"(6, 19)",0.97,73.4667345324609,fixed_endpoints,fixed,turn_articulation,combined,fixed,0,2,fixed,fixed,,,0.0
maze,0.0,0.97,fixed_bottleneck15,0.15,turn_articulation,0.15,combined,0.15,999.0,1e-06,3.0,0.5,raw,True,1.0,0.5,1.0,0.0,0.05,0.0,22.199077937496824,1.0,81,13,13,156,156,0,0.0,0.0,70.07246241970843,70.07246241970843,2.7414070257,0,28.901057129180113,1.3166282994718281,28.901057129180113,1.3166282994718281,122.79308706528185,5.957281485943489,27.0,1.0,1076.3047027435052,39.86313713864835,81.0,11.0,0.0,0.9409,20.756414973591415,1.0,27,True,-22.199077937496824,-22.199077937496824,0.0,3.552713678800501e-15,fb_000_to_001,10488.0,5088.0,67.23076923076923,32.61538461538461,874.0,424.0,67.23076923076923,32.61538461538461,,,0.0,23,"(3, 1)",10.128519967139999,4,"(1, 5)",13.660149997115376,33.0,19.339850002884624,,,0.0,674.5735195488886,fixed_bottleneck15,fixed,turn_articulation,combined,fixed,0,13,fixed,fixed,,,0.0
