map,slip,step,mode,rank,n_boundary,candidate_batch_size,candidate_states,candidate_state,candidate_coords,base_rate_bits,candidate_rate_bits,rate_delta,base_objective,candidate_objective,gain,base_violation,candidate_violation,violation_gain,base_struct,candidate_struct,struct_delta,base_model,candidate_model,model_delta,base_value,candidate_value,value_delta,base_start_gap,candidate_start_gap,start_gap_delta,struct_break_even_lambda,selected
four_rooms,0.0,2,single,4,4,1,[9],9,"[(1, 11)]",56.28463484555755,74.154261196514,17.86962635095645,56.28463484555755,74.154261196514,-17.86962635095645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7763568394002505e-15,1.7763568394002505e-15,0.0,1.7763568394002505e-15,1.7763568394002505e-15,0.0,inf,False
four_rooms,0.0,2,single,5,4,1,[41],41,"[(5, 1)]",56.28463484555755,75.054261196514,18.769626350956457,56.28463484555755,75.054261196514,-18.769626350956457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7763568394002505e-15,1.7763568394002505e-15,0.0,1.7763568394002505e-15,1.7763568394002505e-15,0.0,inf,False
four_rooms,0.0,2,single,6,4,1,[45],45,"[(5, 5)]",56.28463484555755,75.054261196514,18.769626350956457,56.28463484555755,75.054261196514,-18.769626350956457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7763568394002505e-15,1.7763568394002505e-15,0.0,1.7763568394002505e-15,1.7763568394002505e-15,0.0,inf,False
four_rooms,0.0,2,batch_prefix,2,4,2,"[5, 9]",,"[(1, 7), (1, 11)]",56.28463484555755,92.30664184306691,36.022006997509365,56.28463484555755,92.30664184306691,-36.022006997509365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7763568394002505e-15,1.7763568394002505e-15,0.0,1.7763568394002505e-15,1.7763568394002505e-15,0.0,inf,False
four_rooms,0.0,2,batch_prefix,3,4,3,"[4, 5, 9]",,"[(1, 5), (1, 7), (1, 11)]",56.28463484555755,108.46967624890073,52.18504140334318,56.28463484555755,108.46967624890073,-52.18504140334318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2204460492503132e-17,-2.2204460492503132e-17,1.7763568394002505e-15,1.7763568394002505e-15,0.0,1.7763568394002505e-15,1.7763568394002505e-15,0.0,inf,False
four_rooms,0.0,2,batch_prefix,4,4,4,"[4, 5, 9, 46]",,"[(1, 5), (1, 7), (1, 11), (5, 7)]",56.28463484555755,124.77342838376182,68.48879353820428,56.28463484555755,124.77342838376182,-68.48879353820428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7763568394002505e-15,1.7763568394002505e-15,0.0,1.7763568394002505e-15,1.7763568394002505e-15,0.0,inf,False
four_rooms,0.05,1,single,1,3,1,[41],41,"[(5, 1)]",36.93470984411524,55.798656434281824,18.863946590166584,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf,nan,inf,inf,nan,inf,False
four_rooms,0.05,1,single,2,3,1,[4],4,"[(1, 5)]",36.93470984411524,54.925323100948496,17.990613256833257,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf,nan,inf,inf,nan,inf,False
four_rooms,0.05,1,single,3,3,1,[45],45,"[(5, 5)]",36.93470984411524,55.798656434281824,18.863946590166584,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf,nan,inf,inf,nan,inf,False
four_rooms,0.05,1,single,4,3,1,[5],5,"[(1, 7)]",36.93470984411524,54.925323100948496,17.990613256833257,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf,nan,inf,inf,nan,inf,False
four_rooms,0.05,1,single,5,3,1,[9],9,"[(1, 11)]",36.93470984411524,54.925323100948496,17.990613256833257,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf,nan,inf,inf,nan,inf,False
four_rooms,0.05,1,single,6,3,1,[26],26,"[(3, 7)]",36.93470984411524,57.33198976761516,20.397279923499923,nan,57.33198976761516,nan,0.0,0.0,0.0,0.0,0.00032406743807065087,-0.00032406743807065087,0.0,0.10144775077261481,-0.10144775077261481,inf,0.11523431806980433,inf,inf,0.11523431806980433,inf,inf,False
four_rooms,0.05,1,single,7,3,1,[46],46,"[(5, 7)]",36.93470984411524,55.798656434281824,18.863946590166584,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf,nan,inf,inf,nan,inf,False
four_rooms,0.05,1,batch_prefix,2,3,2,"[4, 41]",,"[(1, 5), (5, 1)]",36.93470984411524,73.86657861929278,36.93186877517754,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf,nan,inf,inf,nan,inf,False
four_rooms,0.05,1,batch_prefix,3,3,3,"[4, 41, 45]",,"[(1, 5), (5, 1), (5, 5)]",36.93470984411524,90.75073843034887,53.816028586233635,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf,nan,inf,inf,nan,inf,False
four_rooms,0.05,1,batch_prefix,4,3,4,"[4, 5, 41, 45]",,"[(1, 5), (1, 7), (5, 1), (5, 5)]",36.93470984411524,106.01895926584567,69.08424942173042,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,inf,nan,inf,inf,nan,inf,False
four_rooms,0.05,2,single,1,4,1,[46],46,"[(5, 7)]",54.52463484555756,72.88092786318069,18.35629301762313,54.52463484555756,72.88092786318069,-18.35629301762313,0.0,0.0,0.0,0.00032406743807065087,0.00032406743807065087,0.0,0.10144775077261481,0.10144775077261481,0.0,0.11523431806980433,0.11523431809556506,-2.5760726884982432e-11,0.11523431806980433,0.11523431809556506,-2.5760726884982432e-11,inf,False
four_rooms,0.05,2,single,2,4,1,[4],4,"[(1, 5)]",54.52463484555756,72.00759452984735,17.482959684289796,54.52463484555756,72.00759452984735,-17.482959684289796,0.0,0.0,0.0,0.00032406743807065087,0.0003136168443345103,1.0450593736140558e-05,0.10144775077261481,0.10145614245307259,-8.391680457783823e-06,0.11523431806980433,0.11523431809556506,-2.5760726884982432e-11,0.11523431806980433,0.11523431809556506,-2.5760726884982432e-11,1672915.4463090168,False
four_rooms,0.05,2,single,3,4,1,[5],5,"[(1, 7)]",54.52463484555756,72.00759452984735,17.482959684289796,54.52463484555756,72.00759452984735,-17.482959684289796,0.0,0.0,0.0,0.00032406743807065087,0.00032406743807065087,0.0,0.10144775077261481,0.10144775077261473,8.326672684688674e-17,0.11523431806980433,0.11523431809557394,-2.5769608669179433e-11,0.11523431806980433,0.11523431809557394,-2.5769608669179433e-11,inf,False
four_rooms,0.05,2,single,4,4,1,[45],45,"[(5, 5)]",54.52463484555756,72.88092786318069,18.35629301762313,54.52463484555756,72.88092786318069,-18.35629301762313,0.0,0.0,0.0,0.00032406743807065087,0.0003137208450934887,1.0346592977162163e-05,0.10144775077261481,0.10145604804680694,-8.297274192131665e-06,0.11523431806980433,0.11523431809556861,-2.5764279598661233e-11,0.11523431806980433,0.11523431809556861,-2.5764279598661233e-11,1774138.8936571318,False
four_rooms,0.05,2,single,5,4,1,[41],41,"[(5, 1)]",54.52463484555756,72.88092786318069,18.35629301762313,54.52463484555756,72.88092786318069,-18.35629301762313,0.0,0.0,0.0,0.00032406743807065087,2.0790871390376244e-05,0.00030327656668027465,0.10144775077261481,0.10174389609648496,-0.0002961453238701506,0.11523431806980433,0.1152343180697919,1.2434497875801753e-14,0.11523431806980433,0.1152343180697919,1.2434497875801753e-14,60526.57882062814,False
four_rooms,0.05,2,single,6,4,1,[9],9,"[(1, 11)]",54.52463484555756,72.00759452984735,17.482959684289796,54.52463484555756,72.00759452984735,-17.482959684289796,0.0,0.0,0.0,0.00032406743807065087,0.00032406743807065087,0.0,0.10144775077261481,0.10144775077261473,8.326672684688674e-17,0.11523431806980433,0.11523431806980611,-1.7763568394002505e-15,0.11523431806980433,0.11523431806980611,-1.7763568394002505e-15,inf,False
four_rooms,0.05,2,batch_prefix,2,4,2,"[4, 9]",,"[(1, 5), (1, 11)]",54.52463484555756,89.77330850973358,35.248673664176025,54.52463484555756,89.77330850973358,-35.248673664176025,0.0,0.0,0.0,0.00032406743807065087,0.0003136168443345103,1.0450593736140558e-05,0.10144775077261481,0.10145614245307259,-8.391680457783823e-06,0.11523431806980433,0.11523431809556328,-2.5758950528143032e-11,0.11523431806980433,0.11523431809556328,-2.5758950528143032e-11,3372887.1826945106,False
four_rooms,0.05,2,batch_prefix,3,4,3,"[4, 5, 9]",,"[(1, 5), (1, 7), (1, 11)]",54.52463484555756,105.54967624890071,51.02504140334315,54.52463484555756,105.54967624890071,-51.02504140334315,0.0,0.0,0.0,0.00032406743807065087,0.0003136168443345103,1.0450593736140558e-05,0.10144775077261481,0.1014561424530727,-8.391680457894846e-06,0.11523431806980433,0.11523431809531459,-2.5510260570626997e-11,0.11523431806980433,0.11523431809531459,-2.5510260570626997e-11,4882501.6732673105,False
four_rooms,0.05,2,batch_prefix,4,4,4,"[4, 5, 9, 41]",,"[(1, 5), (1, 7), (1, 11), (5, 1)]",54.52463484555756,121.4400950504285,66.91546020487094,54.52463484555756,121.4400950504285,-66.91546020487094,0.0,0.0,0.0,0.00032406743807065087,1.0343415482867904e-05,0.00031372402258778297,0.10144775077261481,0.10175228769130518,-0.0003045369186903679,0.11523431806980433,0.11523431809531459,-2.5510260570626997e-11,0.11523431806980433,0.11523431809531459,-2.5510260570626997e-11,213294.02719279286,False
maze,0.0,0,single,1,2,1,[4],4,"[(1, 5)]",60.8,100.30378074817703,39.503780748177036,60.8,100.30378074817703,-39.503780748177036,9.0,0.0,9.0,11.0,0.0,11.0,1.3454815587499362,2.2204460492503132e-17,1.3454815587499362,0.0,0.0,0.0,0.0,0.0,0.0,3.5912527952888214,True
maze,0.0,0,single,2,2,1,[5],5,"[(1, 7)]",60.8,99.40378074817704,38.603780748177044,60.8,99.40378074817704,-38.603780748177044,9.0,1.0,8.0,11.0,3.0,8.0,1.3454815587499362,0.9838719320700477,0.3616096266798885,0.0,7.105427357601002e-15,-7.105427357601002e-15,0.0,0.0,0.0,4.8254725935221305,False
maze,0.0,0,single,3,2,1,[11],11,"[(1, 13)]",60.8,99.40378074817704,38.603780748177044,60.8,99.40378074817704,-38.603780748177044,9.0,9.0,0.0,11.0,11.0,0.0,1.3454815587499362,1.3454815587499362,0.0,0.0,5.329070518200751e-15,-5.329070518200751e-15,0.0,0.0,0.0,inf,False
maze,0.0,0,single,4,2,1,[12],12,"[(1, 15)]",60.8,100.30378074817703,39.503780748177036,60.8,100.30378074817703,-39.503780748177036,9.0,5.0,4.0,11.0,7.0,4.0,1.3454815587499362,1.1343839518268155,0.21109760692312074,0.0,1.7763568394002505e-15,-1.7763568394002505e-15,0.0,0.0,0.0,9.875945187044259,False
maze,0.0,0,single,5,2,1,[16],16,"[(1, 19)]",60.8,100.30378074817703,39.503780748177036,60.8,100.30378074817703,-39.503780748177036,9.0,9.0,0.0,11.0,11.0,0.0,1.3454815587499362,1.3454815587499362,0.0,0.0,1.7763568394002505e-15,-1.7763568394002505e-15,0.0,0.0,0.0,inf,False
maze,0.0,0,single,6,2,1,[26],26,"[(3, 5)]",60.8,101.20378074817704,40.40378074817704,60.8,101.20378074817704,-40.40378074817704,9.0,0.0,9.0,11.0,1.0,10.0,1.3454815587499362,0.9201733467139999,0.4253082120359364,0.0,0.0,0.0,0.0,0.0,0.0,4.0403780748177045,False
maze,0.0,0,single,7,2,1,[28],28,"[(3, 7)]",60.8,101.20378074817704,40.40378074817704,60.8,101.20378074817704,-40.40378074817704,9.0,9.0,0.0,11.0,11.0,0.0,1.3454815587499362,1.3454815587499362,0.0,0.0,3.552713678800501e-15,-3.552713678800501e-15,0.0,0.0,0.0,inf,False
maze,0.0,0,single,8,2,1,[32],32,"[(3, 13)]",60.8,101.20378074817704,40.40378074817704,60.8,101.20378074817704,-40.40378074817704,9.0,3.0,6.0,11.0,5.0,6.0,1.3454815587499362,1.0901871749713057,0.25529438377863056,0.0,3.552713678800501e-15,-3.552713678800501e-15,0.0,0.0,0.0,6.733963458029507,False
maze,0.0,0,batch_prefix,2,2,2,"[4, 26]",,"[(1, 5), (3, 5)]",60.8,141.1664628905392,80.36646289053921,60.8,141.1664628905392,-80.36646289053921,9.0,0.0,9.0,11.0,0.0,11.0,1.3454815587499362,2.2204460492503132e-17,1.3454815587499362,0.0,3.552713678800501e-15,-3.552713678800501e-15,0.0,3.552713678800501e-15,-3.552713678800501e-15,7.30604208095811,False
maze,0.0,0,batch_prefix,3,2,3,"[4, 5, 26]",,"[(1, 5), (1, 7), (3, 5)]",60.8,177.9783619290707,117.1783619290707,60.8,177.9783619290707,-117.1783619290707,9.0,0.0,9.0,11.0,0.0,11.0,1.3454815587499362,2.2204460492503132e-17,1.3454815587499362,0.0,7.105427357601002e-15,-7.105427357601002e-15,0.0,0.0,0.0,10.652578357188245,False
maze,0.0,0,batch_prefix,4,2,4,"[4, 5, 26, 32]",,"[(1, 5), (1, 7), (3, 5), (3, 13)]",60.8,215.7920737271764,154.99207372717638,60.8,215.7920737271764,-154.99207372717638,9.0,0.0,9.0,11.0,0.0,11.0,1.3454815587499362,2.2204460492503132e-17,1.3454815587499362,0.0,3.552713678800501e-15,-3.552713678800501e-15,0.0,3.552713678800501e-15,-3.552713678800501e-15,14.090188520652397,False
maze,0.0,1,single,1,3,1,[5],5,"[(1, 7)]",97.30378074817703,135.97414546776048,38.670364719583446,97.30378074817703,135.97414546776048,-38.670364719583446,0.0,0.0,0.0,0.0,0.0,0.0,2.2204460492503132e-17,2.2204460492503132e-17,0.0,0.0,7.105427357601002e-15,-7.105427357601002e-15,0.0,3.552713678800501e-15,-3.552713678800501e-15,inf,False
maze,0.0,1,single,2,3,1,[11],11,"[(1, 13)]",97.30378074817703,135.97414546776048,38.670364719583446,97.30378074817703,135.97414546776048,-38.670364719583446,0.0,0.0,0.0,0.0,0.0,0.0,2.2204460492503132e-17,2.2204460492503132e-17,0.0,0.0,5.329070518200751e-15,-5.329070518200751e-15,0.0,3.552713678800501e-15,-3.552713678800501e-15,inf,False
