map,step,k_steps,n_boundary,n_candidates,n_active_edges,mean_abs_score_error,max_abs_score_error,l1_score_error,exact_top_state,approx_top_state,top1_match,exact_top_score,approx_top_score,time_truncated_green_sec
maze_13,4,16,6,12,5,1.3858775720510332e-19,1.6630530864612397e-18,1.6630530864612397e-18,53,53,True,1.3313650237577616e-13,1.331348393226897e-13,0.003302455006632954
maze_13,4,32,6,12,5,1.682903264471492e-28,2.0194839173657902e-27,2.0194839173657902e-27,53,53,True,1.3313650237577616e-13,1.3313650237577414e-13,0.003709212993271649
four_rooms_13,0,1,2,14,1,0.07115194919711848,0.9210303751708746,0.9961272887596588,61,5,False,0.9210303751708746,0.0,0.001360558031592518
four_rooms_13,0,2,2,14,1,0.07115194919711848,0.9210303751708746,0.9961272887596588,61,5,False,0.9210303751708746,0.0,0.0013421869953162968
four_rooms_13,0,4,2,14,1,0.015881882140975044,0.14724943767087473,0.2223463499736506,61,61,True,0.9210303751708746,0.7737809374999999,0.0012998299789614975
four_rooms_13,0,8,2,14,1,0.005422256477243678,0.07494939715715095,0.0759115906814115,61,61,True,0.9210303751708746,0.920215696129316,0.0012965279747731984
four_rooms_13,0,16,2,14,1,0.0053569373026116545,0.07494939715715095,0.07499712223656316,61,61,True,0.9210303751708746,0.9210303589908538,0.0013457509921863675
four_rooms_13,0,32,2,14,1,4.363732464659151e-08,6.108295070861303e-07,6.109225450522811e-07,61,61,True,0.9210303751708746,0.9210303751708747,0.0014560719719156623
four_rooms_13,1,1,3,13,2,0.07315064978441524,0.9491530603721017,0.9509584471973982,142,5,False,0.9491530603721017,0.0,0.0027434969670139253
four_rooms_13,1,2,3,13,2,0.07315064978441524,0.9491530603721017,0.9509584471973982,142,5,False,0.9491530603721017,0.0,0.002881105989217758
four_rooms_13,1,4,3,13,2,0.07313377642867219,0.9491530603721017,0.9507390935727384,142,66,False,0.9491530603721017,0.00021935233865149058,0.002554826030973345
four_rooms_13,1,8,3,13,2,0.07310821861874804,0.9491530603721017,0.9504068420437245,142,66,False,0.9491530603721017,0.0002778589840286653,0.002616303972899914
four_rooms_13,1,16,3,13,2,0.012365646000103446,0.16069495043313198,0.1607533980013448,142,142,True,0.9491530603721017,0.7884581099389697,0.006007298012264073
four_rooms_13,1,32,3,13,2,5.114861576871698e-08,6.648338813919352e-07,6.649320049933208e-07,142,142,True,0.9491530603721017,0.9491523955382203,0.0028422680334188044
four_rooms_13,2,1,4,12,3,0.0001504490466519353,0.0006237336128207685,0.0018053885598232238,80,5,False,0.0006237336128207685,0.0,0.004168943967670202
four_rooms_13,2,2,4,12,3,0.0001504490466519353,0.0006237336128207685,0.0018053885598232238,80,5,False,0.0006237336128207685,0.0,0.003831045003607869
four_rooms_13,2,4,4,12,3,0.00013216947611698434,0.0006237336128207685,0.001586033713403812,80,66,False,0.0006237336128207685,0.00021935233865149058,0.00437557598343119
