map,step,candidate_state,candidate_coord,n_boundary,n_candidates_considered,n_active_edges,contributing_edges,lambda_struct,edge_weight,linear_delta,raw_hidden_score,random_score,spectral_score,betweenness_score,value_gradient_score,degree_score,bits_fd_delta,bits_grad_delta,grad_minus_fd,grad_abs_error,grad_abs_error_bound,rate_delta,linear_operator_score,bits_fd_operator_score,bits_grad_operator_score,frozen_recompute_score,fd_minus_frozen,frozen_objective_before,frozen_objective_after,frozen_linear_before,frozen_linear_after,frozen_bits_before,frozen_bits_after,rate_only_score,rate_only_drift,occupancy_only_score,occupancy_drift,edge_only_score,edge_drift,edge_option_uniform_score,edge_option_uniform_drift,actual_recompute_score,actual_rate_delta,adaptive_drift,adaptive_drift_rate,adaptive_drift_bits,adaptive_drift_linear,actual_objective_before,actual_objective_after,actual_linear_before,actual_linear_after,actual_bits_before,actual_bits_after,time_base_eval_sec,time_operator_score_sec,time_recompute_total_sec,recompute_speedup_proxy,linear_rank,bits_fd_rank,bits_grad_rank,raw_hidden_rank,random_rank,spectral_rank,betweenness_rank,value_gradient_rank,degree_rank,frozen_rank
maze_13,0,28,"(5, 5)",2,16,2,0,8.0,occupancy_or_uniform,0.0,0.0,0.006507995746201348,0.5263655885645357,0.31313131313131315,0.5383119738659873,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,7.108524456778135,-7.108524456778135,-7.108524456778135,-7.108524456778135,-7.108524456778127,-7.993605777301127e-15,658.430449538953,665.5389739957311,1.9999999999999996,1.9999999999999996,77.72630619236912,77.72630619236912,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,658.430449538953,nan,1.9999999999999996,nan,77.72630619236912,nan,0.06386973400367424,0.10298577498178929,0.0,nan,10,10,10,10,14,8,9,13,11,10
maze_13,0,30,"(5, 9)",2,16,2,0,8.0,occupancy_or_uniform,0.0,0.0,0.0064623385882955926,0.5758705680262324,0.3888888888888889,0.8084698565408714,1.0,0.0,0.0,0.0,0.0,0.0,7.108524456778135,-7.108524456778135,-7.108524456778135,-7.108524456778135,-7.108524456778127,-7.993605777301127e-15,658.430449538953,665.5389739957311,1.9999999999999996,1.9999999999999996,77.72630619236912,77.72630619236912,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,658.430449538953,nan,1.9999999999999996,nan,77.72630619236912,nan,0.06386973400367424,0.10298577498178929,0.0,nan,11,11,11,11,16,7,8,4,2,11
maze_13,0,32,"(5, 11)",2,16,2,0,8.0,occupancy_or_uniform,0.0,0.0,0.006462457797585191,0.13317700552734468,0.4393939393939394,0.8489747564770995,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,7.108524456778135,-7.108524456778135,-7.108524456778135,-7.108524456778135,-7.108524456778127,-7.993605777301127e-15,658.430449538953,665.5389739957311,1.9999999999999996,1.9999999999999996,77.72630619236912,77.72630619236912,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,658.430449538953,nan,1.9999999999999996,nan,77.72630619236912,nan,0.06386973400367424,0.10298577498178929,0.0,nan,12,12,12,12,15,15,6,2,12,12
maze_13,0,50,"(9, 3)",2,16,2,0,8.0,occupancy_or_uniform,0.0,0.0,0.006767752788183978,0.2612968150753659,0.08585858585858587,0.4427234445470876,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,7.108524456778135,-7.108524456778135,-7.108524456778135,-7.108524456778135,-7.108524456778127,-7.993605777301127e-15,658.430449538953,665.5389739957311,1.9999999999999996,1.9999999999999996,77.72630619236912,77.72630619236912,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,658.430449538953,nan,1.9999999999999996,nan,77.72630619236912,nan,0.06386973400367424,0.10298577498178929,0.0,nan,13,13,13,13,5,12,16,16,13,13
maze_13,0,52,"(9, 5)",2,16,2,0,8.0,occupancy_or_uniform,0.0,0.0,0.006767633578894381,0.5969409187805612,0.16666666666666666,0.47253536000230223,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,7.108524456778135,-7.108524456778135,-7.108524456778135,-7.108524456778135,-7.108524456778127,-7.993605777301127e-15,658.430449538953,665.5389739957311,1.9999999999999996,1.9999999999999996,77.72630619236912,77.72630619236912,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,658.430449538953,nan,1.9999999999999996,nan,77.72630619236912,nan,0.06386973400367424,0.10298577498178929,0.0,nan,14,14,14,14,7,6,13,15,14,14
maze_13,0,53,"(9, 7)",2,16,2,0,8.0,occupancy_or_uniform,0.0,0.0,0.0067676931835391795,0.2836634871827358,0.6313131313131314,0.8489709914282867,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,7.108524456778135,-7.108524456778135,-7.108524456778135,-7.108524456778135,-7.108524456778127,-7.993605777301127e-15,658.430449538953,665.5389739957311,1.9999999999999996,1.9999999999999996,77.72630619236912,77.72630619236912,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,658.430449538953,nan,1.9999999999999996,nan,77.72630619236912,nan,0.06386973400367424,0.10298577498178929,0.0,nan,15,15,15,15,6,11,2,3,15,15
maze_13,1,17,"(3, 5)",3,15,2,1,8.0,occupancy_or_uniform,0.9999999936143584,0.9999999936143584,0.4343371996700767,0.6132550074032841,0.24242424242424243,0.5739227443004137,0.6666666666666666,1.4426951024366372,1.4426951683035392,6.58669019326652e-08,6.58669019326652e-08,6.831428218396647e-08,7.172425341971585,0.8275746069432826,4.369135477521513,4.3691360044567285,4.369135477521496,1.687538997430238e-14,74.14984151413927,69.78070603661777,0.9999999936143584,0.0,1.4426646321701417,-3.04702664954744e-05,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,74.14984151413927,nan,0.9999999936143584,nan,1.4426646321701417,nan,0.11822030501207337,0.08681325102224946,0.0,nan,1,1,1,1,4,4,10,12,6,1
maze_13,1,3,"(1, 5)",3,15,2,0,8.0,occupancy_or_uniform,0.0,0.0,0.6565464317135016,0.4616199342162464,0.3888888888888889,0.6229660478206478,1.0,0.0,0.0,0.0,0.0,0.0,7.172425341971585,-7.172425341971585,-7.172425341971585,-7.172425341971585,-7.1724253419716035,1.865174681370263e-14,74.14984151413927,81.32226685611087,0.9999999936143584,0.9999999936143584,1.4426646321701417,1.4426646321701417,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,74.14984151413927,nan,0.9999999936143584,nan,1.4426646321701417,nan,0.11822030501207337,0.08681325102224946,0.0,nan,2,2,2,2,1,9,7,10,1,2
maze_13,1,5,"(1, 7)",3,15,2,0,8.0,occupancy_or_uniform,0.0,0.0,0.6565463125042119,0.20462749353729714,0.4393939393939394,0.6541770784193681,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,7.172425341971585,-7.172425341971585,-7.172425341971585,-7.172425341971585,-7.1724253419716035,1.865174681370263e-14,74.14984151413927,81.32226685611087,0.9999999936143584,0.9999999936143584,1.4426646321701417,1.4426646321701417,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,74.14984151413927,nan,0.9999999936143584,nan,1.4426646321701417,nan,0.11822030501207337,0.08681325102224946,0.0,nan,3,3,3,3,2,13,4,8,4,3
maze_13,1,8,"(1, 11)",3,15,2,0,8.0,occupancy_or_uniform,0.0,0.0,0.6565460144809879,0.3866863773244428,0.08585858585858587,0.6538095115881212,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,7.172425341971585,-7.172425341971585,-7.172425341971585,-7.172425341971585,-7.1724253419716035,1.865174681370263e-14,74.14984151413927,81.32226685611087,0.9999999936143584,0.9999999936143584,1.4426646321701417,1.4426646321701417,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,74.14984151413927,nan,0.9999999936143584,nan,1.4426646321701417,nan,0.11822030501207337,0.08681325102224946,0.0,nan,4,4,4,4,3,10,14,9,5,4
