map_family,map_size,map,method_spec,method,n_states,n_boundary,n_edges_valid,state_compression_ratio,transition_nnz_proxy,kernel_nnz,memory_compression_ratio,full_vi_iterations,full_vi_time_sec,full_vi_backup_count,full_pi_iterations,full_pi_time_sec,full_pi_improvement_backup_count,construction_time_sec,kernel_time_sec,smdp_iterations,smdp_solve_time_sec,smdp_edge_backup_count,compressed_total_time_sec,planning_time_speedup_vs_full_vi,total_time_speedup_vs_full_vi,backup_compression_ratio,start_gap,value_gap_max,occupancy_struct_hidden_distinct,occupancy_model_residual,struct_hidden_distinct_cvar95
open_room,6,open_room_6,betweenness_sqrt,betweenness_6,36,6,30,6.0,560,150,3.7333333333333334,32,0.01954330602893606,4608,4,0.002814996987581253,576,0.0018663390073925257,0.03393071796745062,21,0.004416087991558015,630,0.04021314496640116,4.42547930799746,0.4859929768055908,7.314285714285714,0.040086616144272114,0.040086616144272114,0.9210261394901873,0.8561329740401432,0.9210235231785441
open_room,6,open_room_6,eigenoptions_sqrt,eigenoptions_6,36,6,30,6.0,560,144,3.888888888888889,32,0.019152832974214107,4608,4,0.002814996987581253,576,0.0003404549788683653,0.03428142302436754,10,0.0021572260302491486,300,0.036779104033485055,8.87845441583238,0.5207531145069945,15.36,0.040109710845799285,0.046328525740072735,0.9216002935649721,0.8610708027650378,0.9166966483067671
open_room,6,open_room_6,turn_articulation,turn_articulation,36,4,12,9.0,560,36,15.555555555555555,32,0.019141138007398695,4608,4,0.002814996987581253,576,0.0004083070089109242,0.013458253000862896,5,0.0005389590514823794,60,0.0144055190612562,35.51501353349938,1.3287364326134552,76.8,0.04010971084581172,0.04010971084581172,0.0,0.2241718022998603,0.0
open_room,10,open_room_10,endpoints,endpoints,100,2,2,50.0,1584,2,792.0,43,0.07291063200682402,17200,5,0.009446143987588584,2000,1.29460240714252e-05,0.020416921994183213,2,8.941302075982094e-05,4,0.02051928103901446,815.4364027435643,3.5532742043054504,4300.0,0.07026476165577655,0.07026476165577655,0.866416942608483,0.7465645000293251,0.866416942608483
open_room,10,open_room_10,betweenness_sqrt,betweenness_10,100,10,90,10.0,1584,601,2.6356073211314475,43,0.07310718402732164,17200,5,0.009446143987588584,2000,0.012728784000501037,0.33689555898308754,29,0.017337861005216837,2610,0.3669622039888054,4.216620724166852,0.19922265353941424,6.590038314176245,0.07025968365205237,0.07025968365205237,0.8664169007887635,0.7466221190579962,0.34666876168355865
open_room,10,open_room_10,eigenoptions_sqrt,eigenoptions_10,100,10,90,10.0,1584,568,2.788732394366197,43,0.07371999102178961,17200,5,0.009446143987588584,2000,0.050877392990514636,0.33796558500034735,29,0.017652972950600088,2610,0.40649595094146207,4.1760666165459455,0.18135479787941539,6.590038314176245,0.07026476165528805,0.13146620765945727,0.8669519007686299,0.8414752507359354,0.7301507973231015
open_room,10,open_room_10,turn_articulation,turn_articulation,100,4,12,25.0,1584,20,79.2,43,0.07309159601572901,17200,5,0.009446143987588584,2000,0.000874985009431839,0.0473577210213989,4,0.0003997469902969897,48,0.04863245302112773,182.84464371182892,1.502938706052424,358.3333333333333,0.07026476165577478,0.07026476165577478,0.0,0.22452149234529975,0.0
four_rooms,7,four_rooms_7,endpoints,endpoints,40,2,2,20.0,560,2,280.0,35,0.023646803048904985,5600,5,0.0037469270173460245,800,7.86996679380536e-06,0.0080568190314807,2,8.673901902511716e-05,4,0.008151428017299622,272.620134683072,2.900939933312276,1400.0,0.024409504371838864,0.024409504371838864,2.0568342056509112,1.0921788783253352,2.0568342056509112
four_rooms,7,four_rooms_7,betweenness_sqrt,betweenness_7,40,7,42,5.714285714285714,560,108,5.185185185185185,35,0.023650617979001254,5600,5,0.0037469270173460245,800,0.0021421979763545096,0.09875692997593433,13,0.003805243002716452,546,0.10470437095500529,6.215271393211358,0.22587994907265768,10.256410256410257,0.024274690743366634,0.02852314517707022,1.1726022756097976,1.2348111163635211,1.0535615683448756
four_rooms,7,four_rooms_7,eigenoptions_sqrt,eigenoptions_7,40,7,42,5.714285714285714,560,216,2.5925925925925926,35,0.023817748995497823,5600,5,0.0037469270173460245,800,0.00035633897641673684,0.10024401900591329,11,0.0032672060187906027,462,0.10386756400112063,7.289944025113623,0.22930882441067793,12.121212121212121,0.02440950437180156,0.025002355056606973,2.058046849150782,2.010595291519447,1.0551895786256156
four_rooms,7,four_rooms_7,turn_articulation,turn_articulation,40,16,240,2.5,560,3290,0.1702127659574468,35,0.02357261598808691,5600,5,0.0037469270173460245,800,0.0003980480250902474,0.1778284340398386,13,0.02051193598890677,3120,0.19873841805383563,1.1492145841735957,0.11861126911909602,1.794871794871795,0.024409504371668334,0.05438512182755595,0.0,0.36624660435140266,0.0
four_rooms,11,four_rooms_11,endpoints,endpoints,104,2,2,52.0,1584,2,792.0,46,0.08164230000693351,19136,6,0.011859027028549463,2496,1.2638978660106659e-05,1.518362584989518,2,0.0002263330388814211,4,1.5186015570070595,360.71755325879315,0.053761501580334534,4784.0,0.057678506750578507,0.057678506750578507,1.9043923269433454,1.0732011857561976,1.9044005255289862
