map_family,map_size,map,slip,method,budget_frac,n_states,n_basis,n_boundary,state_compression_ratio,n_edges_valid,group_all_feasible,n_groups_feasible,group_total_violation,group_max_violation,trace_group_all_feasible,trace_group_total_violation,trace_group_max_violation,group_test_bits_mean,group_test_bits_cvar,selection_time_sec,delta_backend,kernel_time_sec,upfront_time_sec,smdp_solve_time_sec,compressed_total_time_sec,full_vi_time_sec,full_vi_backup_count,smdp_edge_backup_count,planning_speedup,total_speedup,break_even_tasks,backup_compression_ratio,start_gap,value_gap_max,first_hit_mode,first_hit_used_steps_max,first_hit_tail_bound_max,stop_reason,probe_cache_hits,probe_cache_misses,probe_cache_hit_rate,probe_calls,unique_probe_evals,probe_context_build_time_sec,probe_green_kernel_time_sec,probe_operator_delta_time_sec,active_weight_time_sec,active_weight_cache_hit_rate,probe_call_overhead_time_sec,candidate_score_time_sec,beam_expansion_time_sec,profiled_selection_time_sec,uncached_probe_eval_time_sec,boundary,error,maze_seed
random_maze,13,random_maze_13_seed8,0.0,group_constrained_incremental,0.25,71,34,3,23.666666666666668,6,True,3,0.0,0.0,True,0.0,0.0,0.0,0.0,1.5625015720142983,insertion_score,0.04081988998223096,1.6033214619965293,0.0023428049753420055,1.6056642669718713,0.0788073260046076,12212,150,33.63802229978755,0.04908082444484528,21,81.41333333333333,7.105427357601002e-15,7.105427357601002e-15,adaptive,22,0.0,feasible,0,12,0.0,12,12,1.3476979290135205,0.018925178941572085,0.023782119969837368,0.06422709600883536,0.0,0.10395439603598788,0.0023081070103216916,1.2438016710802913e-05,1.5609072649967857,1.4943596239609178,"[0, 10, 70]",,8
random_maze,15,random_maze_15_seed0,0.0,group_constrained_incremental,0.25,97,31,3,32.333333333333336,6,True,3,0.0,0.0,True,0.0,0.0,0.0,0.0,2.6777479340089485,insertion_score,0.07053488699602894,2.7482828210049774,0.005283447011606768,2.753566268016584,0.14242285300861113,22116,342,26.956426873541865,0.05172305263283147,21,64.66666666666667,1.0658141036401503e-14,1.4210854715202004e-14,adaptive,54,0.0,feasible,0,12,0.0,12,12,2.362803100986639,0.03016751108225435,0.020461916108615696,0.08746280003106222,0.0,0.1729350738460198,0.0024528970243409276,1.9926985260099173e-05,2.676303226064192,2.586367602023529,"[0, 12, 96]",,0
random_maze,15,random_maze_15_seed4,0.0,group_constrained_incremental,0.25,97,37,3,32.333333333333336,6,True,3,0.0,0.0,True,0.0,0.0,0.0,0.0,2.2205133409879636,insertion_score,0.07725566899171099,2.2977690099796746,0.0022349130013026297,2.3000039229809772,0.11059714300790802,17460,138,49.486106592715664,0.04808563233429874,22,126.52173913043478,7.105427357601002e-15,7.105427357601002e-15,adaptive,41,0.0,feasible,0,12,0.0,12,12,1.9322802879323717,0.026724517927505076,0.02496763999806717,0.05773998599033803,0.0,0.1753858420997858,0.002044685010332614,1.394300488755107e-05,2.219156901963288,2.1593582879577298,"[0, 16, 96]",,4
random_maze,15,random_maze_15_seed8,0.0,group_constrained_incremental,0.25,97,41,3,32.333333333333336,6,True,3,0.0,0.0,True,0.0,0.0,0.0,0.0,2.6639835399982985,insertion_score,0.08613439599866979,2.7501179359969683,0.002680316014448181,2.7527982520114165,0.13434090299415402,22116,174,50.121292515506575,0.048801579591237286,21,127.10344827586206,1.0658141036401503e-14,1.4210854715202004e-14,adaptive,53,0.0,feasible,0,12,0.0,12,12,2.3695292670163326,0.02841612699558027,0.02729871604242362,0.05839712198940106,0.0,0.17425431704032235,0.004389241978060454,1.1256983270868659e-05,2.662296048045391,2.599498427094659,"[0, 15, 96]",,8
random_maze,17,random_maze_17_seed0,0.0,group_constrained_incremental,0.25,127,51,3,42.333333333333336,6,True,3,0.0,0.0,True,0.0,0.0,0.0,0.0,3.170161054993514,insertion_score,0.15646258200285956,3.3266236369963735,0.004155684990109876,3.3307793219864834,0.1548585309938062,23876,270,37.26426121382019,0.046493182532863886,23,88.42962962962963,7.105427357601002e-15,7.105427357601002e-15,adaptive,42,0.0,feasible,0,12,0.0,12,12,2.7097669650393073,0.038395042036427185,0.036001422005938366,0.09906994199263863,0.0,0.2825361049908679,0.0027382459957152605,1.1690979590639472e-05,3.1685194130404852,3.0666995340725407,"[0, 1, 126]",,0
random_maze,17,random_maze_17_seed4,0.0,group_constrained_incremental,0.25,127,54,3,42.333333333333336,6,True,3,0.0,0.0,True,0.0,0.0,0.0,0.0,3.9472816920024343,insertion_score,0.21215285002836026,4.1594345420307945,0.007281808997504413,4.166716351028299,0.22036101701087318,30988,366,30.261850741538847,0.05288601345673327,20,84.66666666666667,1.7763568394002505e-14,1.7763568394002505e-14,adaptive,58,0.0,feasible,0,12,0.0,12,12,3.4771804600022733,0.03868701512692496,0.0389191230351571,0.11238255898933858,0.0,0.27592188981361687,0.0027561630122363567,1.0471994755789638e-05,3.945857681974303,3.8307084879779723,"[0, 13, 126]",,4
random_maze,17,random_maze_17_seed8,0.0,group_constrained_incremental,0.25,127,49,3,42.333333333333336,6,True,3,0.0,0.0,True,0.0,0.0,0.0,0.0,4.171949284005677,insertion_score,0.18785449501592666,4.359803779021604,0.006503313983557746,4.366307093005162,0.2200494039861951,33020,390,33.836503134024206,0.05039714323775232,21,84.66666666666667,1.7763568394002505e-14,1.7763568394002505e-14,adaptive,62,0.0,feasible,0,12,0.0,12,12,3.69062988794758,0.045909815962659195,0.038717525982065126,0.10188407602254301,0.0,0.2905455850705039,0.0025747350009623915,1.0903022484853864e-05,4.170272529008798,4.065802814962808,"[0, 1, 126]",,8
random_maze,19,random_maze_19_seed0,0.0,group_constrained_incremental,0.25,161,68,3,53.666666666666664,6,True,3,0.0,0.0,True,0.0,0.0,0.0,0.0,5.222217355010798,insertion_score,0.29414983600145206,5.51636719101225,0.005620400974294171,5.521987591986544,0.2635894120030571,40572,342,46.89868449041744,0.04773451725707887,22,118.63157894736842,1.0658141036401503e-14,1.4210854715202004e-14,adaptive,54,0.0,feasible,0,12,0.0,12,12,4.513584650034318,0.06015433798893355,0.05415363097563386,0.1323192509880755,0.0,0.45654490700690076,0.0035227370099164546,1.2322998372837901e-05,5.220291837002151,5.084437526005786,"[0, 1, 160]",,0
random_maze,19,random_maze_19_seed4,0.0,group_constrained_incremental,0.25,161,65,3,53.666666666666664,6,True,3,0.0,0.0,True,0.0,0.0,0.0,0.0,5.858751422987552,insertion_score,0.2907028280023951,6.1494542509899475,0.007196368998847902,6.156650619988795,0.310667554003885,47012,438,43.17004228849593,0.05046048138499865,21,107.33333333333333,1.7763568394002505e-14,1.7763568394002505e-14,adaptive,70,0.0,feasible,0,12,0.0,12,12,5.144403062993661,0.06263925193343312,0.05474775697803125,0.13122579001355916,0.0,0.46056606914498843,0.0031675240315962583,1.1886993888765574e-05,5.8567613420891576,5.722356141050113,"[0, 1, 160]",,4
random_maze,19,random_maze_19_seed8,0.0,group_constrained_incremental,0.25,161,63,3,53.666666666666664,6,True,3,0.0,0.0,True,0.0,0.0,0.0,0.0,6.764677188009955,insertion_score,0.321000957977958,7.085678145987913,0.008924291003495455,7.0946024369914085,0.38895587998558767,57316,534,43.5839530370807,0.054824196766483126,19,107.33333333333333,1.7763568394002505e-14,1.7763568394002505e-14,adaptive,86,0.0,feasible,0,12,0.0,12,12,6.060908517887583,0.06338929702178575,0.04959323912044056,0.13122109699179418,0.0,0.45450619200710207,0.0030473390070255846,1.2540986062958837e-05,6.762678223021794,6.628397246036911,"[0, 15, 160]",,8
