map_family,map_size,map,slip,method,method_group,representation_scope,repeat,target_count,n_states,n_abstract_states,state_compression_ratio,epsilon,exact_partition_states,homogeneity_error,start_gap,normalized_start_gap,value_gap_max,policy_start_gap,normalized_policy_start_gap,policy_value_gap_max,full_planner_time_sec,selection_time_sec,construction_time_sec,solve_time_sec,oracle_full_policy_cost_sec,total_time_sec,total_speedup,full_transition_nnz,abstract_transition_nnz,error
four_rooms,9,four_rooms_9,0.05,policy_kron_oracle,reduction:policy_kron_oracle,fixed_optimal_policy_only,1,14,68,14,4.857142857142857,,68,nan,2.6057378477162274e-11,1.9244175278892552e-12,2.6057378477162274e-11,0.0,0.0,0.0,0.0021580590400844812,0.005029116990044713,0.00041305599734187126,1.6781035810709e-05,0.0021580590400844812,0.0076170130632817745,0.2833209057350213,1008,132,
four_rooms,9,four_rooms_9,0.1,policy_kron_oracle,reduction:policy_kron_oracle,fixed_optimal_policy_only,3,24,68,24,2.8333333333333335,,68,nan,5.3518078857450746e-11,3.7425026114298114e-12,5.3518078857450746e-11,0.0,0.0,0.0,0.0027152480324730277,0.008228437975049019,0.0003588219406083226,3.146298695355654e-05,0.0027152480324730277,0.011333970935083926,0.23956723094004667,1008,205,
four_rooms,11,four_rooms_11,0.05,epsilon_homogeneous,abstraction:model_minimization,full_action_abstract_mdp,0,6,104,2,52.0,2.2456850738093372,104,0.95,9.613434836181012,0.6023574516421248,24.4867412055871,17.373648700962093,1.0885960050252312,29.436112288597613,0.002429498010315001,11.950874633039348,0.0004351170500740409,0.009404488024301827,0.0,11.960714238113724,0.00020312315485083836,1584,12,
four_rooms,11,four_rooms_11,0.1,epsilon_homogeneous,abstraction:model_minimization,full_action_abstract_mdp,2,11,104,2,52.0,2.2456850738093372,104,0.9,8.986965599307812,0.5351578701893395,24.592124256512236,16.540196555607118,0.9849393839777819,27.748555489146213,0.003225122927688062,11.807532228995115,0.0004343249602243304,0.009583291015587747,0.0,11.817549844970927,0.0002729096107058558,1584,12,
maze,9,maze_9,0.0,epsilon_homogeneous,abstraction:model_minimization,full_action_abstract_mdp,4,7,31,2,15.5,2.2456850738093372,31,1.0,5.837526113696233,0.5720118040506497,15.04278074718163,23.12807869984791,2.2662911931624174,32.33333333333331,0.0008134839590638876,1.0000219149515033,0.0003034149995073676,0.0058055800618603826,0.0,1.006130910012871,0.0008085269530716247,124,10,
maze,9,maze_9,0.05,qstar_oracle_aggregation,abstraction:qstar_oracle,full_action_abstract_mdp,1,2,31,2,15.5,,31,0.95,5.538249155582207,0.513428336793125,15.256504372340071,22.525870499877055,2.088280953180299,29.500355821493805,0.001688424963504076,0.00022090994752943516,0.00024085503537207842,0.005876470007933676,0.001688424963504076,0.008026659954339266,0.21035212318808924,364,12,
maze,9,maze_9,0.1,qstar_oracle_aggregation,abstraction:qstar_oracle,full_action_abstract_mdp,3,4,31,4,7.75,,31,0.9,3.3319730096611906,0.2913443297264452,6.966641141233632,20.564445332763853,1.7981341758465907,27.215285563255495,0.0020940169924870133,0.0004013159777969122,0.00038964906707406044,0.0030660430202260613,0.0020940169924870133,0.005951025057584047,0.35187500846066455,364,36,
maze,11,maze_11,0.0,qstar_oracle_aggregation,abstraction:qstar_oracle,full_action_abstract_mdp,0,18,49,18,2.7222222222222223,,49,1.0,2.924319376032848,0.1408874981423086,4.898974301151968,12.576918359741885,0.605929221194682,28.62446752333331,0.0017051029717549682,0.0010292170336470008,0.0014870800077915192,0.002579369000159204,0.0017051029717549682,0.006800769013352692,0.2507220828125692,196,109,
maze,11,maze_11,0.05,policy_kron_oracle,reduction:policy_kron_oracle,fixed_optimal_policy_only,2,3,49,3,16.333333333333332,,49,nan,4.730793534690747e-11,2.191332328797667e-12,4.730793534690747e-11,0.0,0.0,0.0,0.002863803063519299,0.0018087950302287936,0.0003832340007647872,1.902796793729067e-05,0.002863803063519299,0.0050748600624501705,0.5643117304276246,580,7,
maze,11,maze_11,0.1,policy_kron_oracle,reduction:policy_kron_oracle,fixed_optimal_policy_only,4,5,49,5,9.8,,49,nan,3.916511559509672e-11,1.7424099181846323e-12,3.916511559509672e-11,0.0,0.0,0.0,0.0034623219398781657,0.0018201210768893361,0.00031660194508731365,1.701002474874258e-05,0.0034623219398781657,0.005616054986603558,0.6165042806983069,580,13,
