map,slip,selector,option_set,gamma,n_states,n_boundary,n_options,option_pair_count,compression_ratio,n_edges_all,n_edges_valid,kernel_entries_valid,duration_mean,duration_max,bypass_cost_mean,bypass_cost_total,nonlocal_cost,bellman_error_max,value_gap_max,value_gap_mean,start_value_smdp,start_value_primitive,start_gap,start_best_option,policy_tv_total,policy_regions_total,policy_tv_mean,policy_regions_mean,description_length_proxy
four_rooms,0.05,junction,targeted,0.97,51,44,44,1892,0.8627450980392157,7612,7568,7568,1.0381460960851498,1.9827586206896548,0.014446308003894784,27.33241474336893,0.0,8.881784197001252e-16,0.029687822709440148,0.007311572502637122,-12.196597795701571,-12.185911752175528,0.010686043526042965,to_001,1663.266666666667,279.0,37.80151515151516,6.340909090909091,854.0857480767024
four_rooms,0.05,junction,local_targeted,0.97,51,44,44,1420,0.8627450980392157,7612,5722,5722,1.0494171928120448,1.9827586206896548,0.017883394060539605,25.39441956596624,0.0,4.440892098500626e-16,0.029687822709440148,0.007311572502637122,-12.196597795701571,-12.185911752175528,0.010686043526042965,to_001,1663.266666666667,279.0,37.80151515151516,6.340909090909091,786.5932074447542
four_rooms,0.05,decision,directional,0.97,51,50,4,200,0.9803921568627451,776,776,776,1.02,1.9827586206896548,0.0,0.0,0.0,4.440892098500626e-16,0.013347040926645626,0.006276900697391037,-12.196207273394364,-12.185911752175528,0.010295521218836257,E,0.0,4.0,0.0,1.0,81.52
four_rooms,0.05,decision,targeted,0.97,51,50,50,2450,0.9803921568627451,9556,9506,9506,1.0203940886699507,1.9827586206896548,0.0,0.0,0.0,0.0,1.2121859072067309e-11,1.1496291447155253e-12,-12.185911752187648,-12.185911752175528,1.2120082715227909e-11,to_001,1849.2666666666669,312.0,36.98533333333334,6.24,938.4733333333335
four_rooms,0.05,decision,local_targeted,0.97,51,50,50,1844,0.9803921568627451,9556,7202,7202,1.027096267484479,1.9827586206896548,0.0,0.0,0.0,4.440892098500626e-16,1.2121859072067309e-11,1.1496291447155253e-12,-12.185911752187648,-12.185911752175528,1.2120082715227909e-11,to_001,1849.2666666666669,312.0,36.98533333333334,6.24,862.0933333333334
four_rooms,0.05,spectral_25,directional,0.97,51,15,4,60,0.29411764705882354,333,333,331,30897.888890458464,1837054.394717879,3.4526781070286896,207.16068642172138,0.0,7.105427357601002e-15,23.223133231460295,20.8018315914633,-31.337726184508302,-12.185911752175528,19.151814432332774,S,0.0,4.0,0.0,1.0,253.36068642172137
four_rooms,0.05,spectral_25,targeted,0.97,51,15,15,210,0.29411764705882354,1295,1280,1280,2.509106982083069,8.252273040649799,1.3282115279062556,278.92442086031366,0.0,2.6645352591003757e-15,0.09279889617346448,0.05557288092106332,-12.244569315014715,-12.185911752175528,0.058657562839186994,to_001,536.4999999999999,92.0,35.76666666666666,6.133333333333334,558.057754193647
four_rooms,0.05,spectral_25,local_targeted,0.97,51,15,15,184,0.29411764705882354,1295,1158,1158,2.1002389947150353,8.252273040649799,1.0196889684588417,187.62277019642687,0.0,2.6645352591003757e-15,0.09279889617346448,0.05557288092106332,-12.244569315014715,-12.185911752175528,0.058657562839186994,to_001,536.4999999999999,92.0,35.76666666666666,6.133333333333334,457.32277019642686
maze,0.0,all,directional,0.97,81,81,4,324,1.0,324,324,324,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-22.199077937496824,-22.199077937496824,0.0,S,0.0,4.0,0.0,1.0,107.2
maze,0.0,all,targeted,0.97,81,81,81,6480,1.0,6561,6480,6480,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-22.199077937496824,-22.199077937496824,0.0,to_001,5578.0,2708.0,68.8641975308642,33.4320987654321,3035.6000000000004
maze,0.0,all,local_targeted,0.97,81,81,81,1480,1.0,6561,1480,1480,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-22.199077937496824,-22.199077937496824,0.0,to_001,5578.0,2708.0,68.8641975308642,33.4320987654321,2723.871604938272
maze,0.0,endpoints,directional,0.97,81,2,4,8,0.024691358024691357,4,4,4,0.5,1.0,15.218273416666651,121.74618733333321,0.0,0.0,11.134255392607379,11.134255392607379,-33.3333333301042,-22.199077937496824,11.134255392607379,N,0.0,4.0,0.0,1.0,132.14618733333322
