map,method,goal_variant,residual_probe,residual_kind_eval,n_boundary_selected,selected_boundary,selection_time_sec,n_states,n_boundary_eval,endpoint_augmented_by,n_edges_valid,state_compression_ratio,rate_bits,hidden_linear,hidden_bits,uniform_hidden_linear,uniform_hidden_bits,start_gap,value_gap_max,occupancy_struct_hidden_distinct,struct_hidden_distinct_cvar95
maze_9,random,train_goal,turn_articulation,turn_articulation,4,"[0, 5, 21, 30]",0.09240670601138845,31,4,0,5,7.75,43.35696508457298,1.8949480144252483e-07,2.733760100459431e-07,1.8949480144252483e-07,2.733760100459431e-07,nan,nan,0.0,0.0
maze_9,random,train_goal,value_gradient,value_gradient,4,"[0, 5, 21, 30]",0.09240670601138845,31,4,0,5,7.75,43.35696508457298,5.0,194.3157654809228,5.0,194.3157654809228,nan,nan,0.0,0.0
maze_9,random,heldout_goal_1_state_23,train_recipe,turn_articulation,4,"[0, 5, 21, 30]",0.09240670601138845,31,5,1,11,6.2,56.4685942519608,2.793271524504431e-07,4.029680462146293e-07,2.793271524504431e-07,4.029680462146293e-07,nan,nan,0.0,0.0
maze_9,random,heldout_goal_1_state_23,all,all,4,"[0, 5, 21, 30]",0.09240670601138845,31,5,1,11,6.2,56.4685942519608,1.1198129748684973,6.0825130435076,1.1198129748684973,6.0825130435076,nan,nan,0.0,0.0
maze_9,random,heldout_goal_1_state_23,turn_articulation,turn_articulation,4,"[0, 5, 21, 30]",0.09240670601138845,31,5,1,11,6.2,56.4685942519608,2.793271524504431e-07,4.029680462146293e-07,2.793271524504431e-07,4.029680462146293e-07,nan,nan,0.0,0.0
maze_9,random,heldout_goal_1_state_23,value_gradient,value_gradient,4,"[0, 5, 21, 30]",0.09240670601138845,31,5,1,11,6.2,56.4685942519608,1.1198129748684973,6.0825130435076,1.1198129748684973,6.0825130435076,nan,nan,0.0,0.0
maze_9,spectral,train_goal,train_recipe,turn_articulation,4,"[0, 3, 21, 30]",0.09304707398405299,31,4,0,4,7.75,43.35696508457298,1.8949480144252486e-07,2.7337746564829545e-07,1.8949480144252486e-07,2.7337746564829545e-07,nan,nan,0.0,0.0
maze_9,spectral,train_goal,all,all,4,"[0, 3, 21, 30]",0.09304707398405299,31,4,0,4,7.75,43.35696508457298,4.0,155.45261238473825,4.0,155.45261238473825,nan,nan,0.0,0.0
maze_9,spectral,train_goal,turn_articulation,turn_articulation,4,"[0, 3, 21, 30]",0.09304707398405299,31,4,0,4,7.75,43.35696508457298,1.8949480144252486e-07,2.7337746564829545e-07,1.8949480144252486e-07,2.7337746564829545e-07,nan,nan,0.0,0.0
maze_9,spectral,train_goal,value_gradient,value_gradient,4,"[0, 3, 21, 30]",0.09304707398405299,31,4,0,4,7.75,43.35696508457298,4.0,155.45261238473825,4.0,155.45261238473825,nan,nan,0.0,0.0
maze_9,spectral,heldout_goal_1_state_23,train_recipe,turn_articulation,4,"[0, 3, 21, 30]",0.09304707398405299,31,5,1,10,6.2,56.4685942519608,3.7239800859621887e-07,5.372423827143389e-07,3.7239800859621887e-07,5.372423827143389e-07,nan,nan,0.0,0.0
maze_9,spectral,heldout_goal_1_state_23,all,all,4,"[0, 3, 21, 30]",0.09304707398405299,31,5,1,10,6.2,56.4685942519608,0.13676212741087082,0.19986999423089147,0.13676212741087082,0.19986999423089147,nan,nan,0.0,0.0
maze_9,spectral,heldout_goal_1_state_23,turn_articulation,turn_articulation,4,"[0, 3, 21, 30]",0.09304707398405299,31,5,1,10,6.2,56.4685942519608,3.7239800859621887e-07,5.372423827143389e-07,3.7239800859621887e-07,5.372423827143389e-07,nan,nan,0.0,0.0
maze_9,spectral,heldout_goal_1_state_23,value_gradient,value_gradient,4,"[0, 3, 21, 30]",0.09304707398405299,31,5,1,10,6.2,56.4685942519608,0.13676212741087082,0.19986999423089147,0.13676212741087082,0.19986999423089147,nan,nan,0.0,0.0
maze_9,betweenness,train_goal,train_recipe,turn_articulation,4,"[0, 17, 21, 30]",0.09322609700029716,31,4,0,8,7.75,45.10363175123964,4.7366415012651616e-07,6.833414114820155e-07,4.7366415012651616e-07,6.833414114820155e-07,nan,nan,0.0,0.0
maze_9,betweenness,train_goal,all,all,4,"[0, 17, 21, 30]",0.09322609700029716,31,4,0,8,7.75,45.10363175123964,8.0,310.9052247694765,8.0,310.9052247694765,nan,nan,0.0,0.0
maze_9,betweenness,train_goal,turn_articulation,turn_articulation,4,"[0, 17, 21, 30]",0.09322609700029716,31,4,0,8,7.75,45.10363175123964,4.7366415012651616e-07,6.833414114820155e-07,4.7366415012651616e-07,6.833414114820155e-07,nan,nan,0.0,0.0
maze_9,betweenness,train_goal,value_gradient,value_gradient,4,"[0, 17, 21, 30]",0.09322609700029716,31,4,0,8,7.75,45.10363175123964,8.0,310.9052247694765,8.0,310.9052247694765,nan,nan,0.0,0.0
maze_9,betweenness,heldout_goal_1_state_23,train_recipe,turn_articulation,4,"[0, 17, 21, 30]",0.09322609700029716,31,5,1,15,6.2,58.21526091862747,6.565965148109771e-07,9.472469391489794e-07,6.565965148109771e-07,9.472469391489794e-07,nan,nan,0.0,0.0
maze_9,betweenness,heldout_goal_1_state_23,all,all,4,"[0, 17, 21, 30]",0.09322609700029716,31,5,1,15,6.2,58.21526091862747,5.102863822326125,128.554615381338,5.102863822326125,128.554615381338,nan,nan,0.0,0.0
maze_9,betweenness,heldout_goal_1_state_23,turn_articulation,turn_articulation,4,"[0, 17, 21, 30]",0.09322609700029716,31,5,1,15,6.2,58.21526091862747,6.565965148109771e-07,9.472469391489794e-07,6.565965148109771e-07,9.472469391489794e-07,nan,nan,0.0,0.0
maze_9,betweenness,heldout_goal_1_state_23,value_gradient,value_gradient,4,"[0, 17, 21, 30]",0.09322609700029716,31,5,1,15,6.2,58.21526091862747,5.102863822326125,128.554615381338,5.102863822326125,128.554615381338,nan,nan,0.0,0.0
maze_9,value_gradient,train_goal,train_recipe,turn_articulation,4,"[0, 21, 24, 30]",0.09349528199527413,31,4,0,8,7.75,44.23029841790631,3.7881471149660984e-07,5.465026153300704e-07,3.7881471149660984e-07,5.465026153300704e-07,nan,nan,0.0,0.0
maze_9,value_gradient,train_goal,all,all,4,"[0, 21, 24, 30]",0.09349528199527413,31,4,0,8,7.75,44.23029841790631,8.0,310.9052247694765,8.0,310.9052247694765,nan,nan,0.0,0.0
maze_9,value_gradient,train_goal,turn_articulation,turn_articulation,4,"[0, 21, 24, 30]",0.09349528199527413,31,4,0,8,7.75,44.23029841790631,3.7881471149660984e-07,5.465026153300704e-07,3.7881471149660984e-07,5.465026153300704e-07,nan,nan,0.0,0.0
maze_9,value_gradient,train_goal,value_gradient,value_gradient,4,"[0, 21, 24, 30]",0.09349528199527413,31,4,0,8,7.75,44.23029841790631,8.0,310.9052247694765,8.0,310.9052247694765,nan,nan,0.0,0.0
maze_9,value_gradient,heldout_goal_1_state_23,train_recipe,turn_articulation,4,"[0, 21, 24, 30]",0.09349528199527413,31,5,1,15,6.2,57.34192758529414,5.584251368746546e-07,8.056156086785228e-07,5.584251368746546e-07,8.056156086785228e-07,nan,nan,0.0,0.0
maze_9,value_gradient,heldout_goal_1_state_23,all,all,4,"[0, 21, 24, 30]",0.09349528199527413,31,5,1,15,6.2,57.34192758529414,5.1361776738749265,161.53512542824728,5.1361776738749265,161.53512542824728,nan,nan,0.0,0.0
maze_9,value_gradient,heldout_goal_1_state_23,turn_articulation,turn_articulation,4,"[0, 21, 24, 30]",0.09349528199527413,31,5,1,15,6.2,57.34192758529414,5.584251368746546e-07,8.056156086785228e-07,5.584251368746546e-07,8.056156086785228e-07,nan,nan,0.0,0.0
maze_9,value_gradient,heldout_goal_1_state_23,value_gradient,value_gradient,4,"[0, 21, 24, 30]",0.09349528199527413,31,5,1,15,6.2,57.34192758529414,5.1361776738749265,161.53512542824728,5.1361776738749265,161.53512542824728,nan,nan,0.0,0.0
four_rooms_9,rd_fd,train_goal,train_recipe,turn_articulation,4,"[0, 25, 64, 67]",0.21531235898146406,68,4,0,12,17.0,79.3783910997747,0.06869822499587461,0.10250824930685724,4.093875225841422,27.40440532472566,0.04358789965954202,0.04358789965954202,0.0,0.0
four_rooms_9,rd_fd,train_goal,all,all,4,"[0, 25, 64, 67]",0.21531235898146406,68,4,0,12,17.0,79.3783910997747,2.9022536384849635,112.79072747639984,12.0,466.3578371542146,0.04358789965954202,0.04358789965954202,0.0,0.0
four_rooms_9,rd_fd,train_goal,turn_articulation,turn_articulation,4,"[0, 25, 64, 67]",0.21531235898146406,68,4,0,12,17.0,79.3783910997747,0.06869822499587461,0.10250824930685724,4.093875225841422,27.40440532472566,0.04358789965954202,0.04358789965954202,0.0,0.0
four_rooms_9,rd_fd,train_goal,value_gradient,value_gradient,4,"[0, 25, 64, 67]",0.21531235898146406,68,4,0,12,17.0,79.3783910997747,2.9022536384849635,112.79072747639984,12.0,466.3578371542146,0.04358789965954202,0.04358789965954202,0.0,0.0
four_rooms_9,rd_fd,heldout_goal_1_state_59,train_recipe,turn_articulation,4,"[0, 25, 64, 67]",0.21531235898146406,68,5,1,20,13.6,102.96846609833246,0.06871627506539542,0.10253666623173394,4.165647823632477,22.932879242550904,0.08825585592906293,0.0930534363068043,0.0,0.0
four_rooms_9,rd_fd,heldout_goal_1_state_59,all,all,4,"[0, 25, 64, 67]",0.21531235898146406,68,5,1,20,13.6,102.96846609833246,1.968721813762665,76.49941329640299,15.068381063705434,484.1558832610872,0.08825585592906293,0.0930534363068043,0.0,0.0
four_rooms_9,rd_fd,heldout_goal_1_state_59,turn_articulation,turn_articulation,4,"[0, 25, 64, 67]",0.21531235898146406,68,5,1,20,13.6,102.96846609833246,0.06871627506539542,0.10253666623173394,4.165647823632477,22.932879242550904,0.08825585592906293,0.0930534363068043,0.0,0.0
four_rooms_9,rd_fd,heldout_goal_1_state_59,value_gradient,value_gradient,4,"[0, 25, 64, 67]",0.21531235898146406,68,5,1,20,13.6,102.96846609833246,1.968721813762665,76.49941329640299,15.068381063705434,484.1558832610872,0.08825585592906293,0.0930534363068043,0.0,0.0
four_rooms_9,raw_hidden,train_goal,train_recipe,turn_articulation,4,"[0, 25, 64, 67]",0.25866254401626065,68,4,0,12,17.0,79.3783910997747,0.06869822499587461,0.10250824930685724,4.093875225841422,27.40440532472566,0.04358789965954202,0.04358789965954202,0.0,0.0
four_rooms_9,raw_hidden,train_goal,all,all,4,"[0, 25, 64, 67]",0.25866254401626065,68,4,0,12,17.0,79.3783910997747,2.9022536384849635,112.79072747639984,12.0,466.3578371542146,0.04358789965954202,0.04358789965954202,0.0,0.0
four_rooms_9,raw_hidden,train_goal,turn_articulation,turn_articulation,4,"[0, 25, 64, 67]",0.25866254401626065,68,4,0,12,17.0,79.3783910997747,0.06869822499587461,0.10250824930685724,4.093875225841422,27.40440532472566,0.04358789965954202,0.04358789965954202,0.0,0.0
four_rooms_9,raw_hidden,train_goal,value_gradient,value_gradient,4,"[0, 25, 64, 67]",0.25866254401626065,68,4,0,12,17.0,79.3783910997747,2.9022536384849635,112.79072747639984,12.0,466.3578371542146,0.04358789965954202,0.04358789965954202,0.0,0.0
four_rooms_9,raw_hidden,heldout_goal_1_state_59,train_recipe,turn_articulation,4,"[0, 25, 64, 67]",0.25866254401626065,68,5,1,20,13.6,102.96846609833246,0.06871627506539542,0.10253666623173394,4.165647823632477,22.932879242550904,0.08825585592906293,0.0930534363068043,0.0,0.0
four_rooms_9,raw_hidden,heldout_goal_1_state_59,all,all,4,"[0, 25, 64, 67]",0.25866254401626065,68,5,1,20,13.6,102.96846609833246,1.968721813762665,76.49941329640299,15.068381063705434,484.1558832610872,0.08825585592906293,0.0930534363068043,0.0,0.0
four_rooms_9,raw_hidden,heldout_goal_1_state_59,turn_articulation,turn_articulation,4,"[0, 25, 64, 67]",0.25866254401626065,68,5,1,20,13.6,102.96846609833246,0.06871627506539542,0.10253666623173394,4.165647823632477,22.932879242550904,0.08825585592906293,0.0930534363068043,0.0,0.0
four_rooms_9,raw_hidden,heldout_goal_1_state_59,value_gradient,value_gradient,4,"[0, 25, 64, 67]",0.25866254401626065,68,5,1,20,13.6,102.96846609833246,1.968721813762665,76.49941329640299,15.068381063705434,484.1558832610872,0.08825585592906293,0.0930534363068043,0.0,0.0
four_rooms_9,random,train_goal,train_recipe,turn_articulation,4,"[0, 35, 63, 67]",0.25842771196039394,68,4,0,12,17.0,77.63172443310803,0.9990643319333359,9.353887110400533,9.812701703087768,56.75639471311586,0.043587899671045705,0.08695915168368806,0.0,0.0
four_rooms_9,random,train_goal,all,all,4,"[0, 35, 63, 67]",0.25842771196039394,68,4,0,12,17.0,77.63172443310803,1.0006155522833644,38.88707539881166,12.0,466.3578371542146,0.043587899671045705,0.08695915168368806,0.0,0.0
four_rooms_9,random,train_goal,turn_articulation,turn_articulation,4,"[0, 35, 63, 67]",0.25842771196039394,68,4,0,12,17.0,77.63172443310803,0.9990643319333359,9.353887110400533,9.812701703087768,56.75639471311586,0.043587899671045705,0.08695915168368806,0.0,0.0
four_rooms_9,random,train_goal,value_gradient,value_gradient,4,"[0, 35, 63, 67]",0.25842771196039394,68,4,0,12,17.0,77.63172443310803,1.0006155522833644,38.88707539881166,12.0,466.3578371542146,0.043587899671045705,0.08695915168368806,0.0,0.0
four_rooms_9,random,heldout_goal_1_state_59,train_recipe,turn_articulation,4,"[0, 35, 63, 67]",0.25842771196039394,68,5,1,20,13.6,101.22179943166579,0.9553433651012235,4.4839999872246485,10.870640099067371,56.82382327724008,0.08842875930814209,0.12781171428548888,0.0,0.0
four_rooms_9,random,heldout_goal_1_state_59,all,all,4,"[0, 35, 63, 67]",0.25842771196039394,68,5,1,20,13.6,101.22179943166579,1.0006207672610181,38.88708299003716,15.052016364699005,484.1558832610858,0.08842875930814209,0.12781171428548888,0.0,0.0
four_rooms_9,random,heldout_goal_1_state_59,turn_articulation,turn_articulation,4,"[0, 35, 63, 67]",0.25842771196039394,68,5,1,20,13.6,101.22179943166579,0.9553433651012235,4.4839999872246485,10.870640099067371,56.82382327724008,0.08842875930814209,0.12781171428548888,0.0,0.0
four_rooms_9,random,heldout_goal_1_state_59,value_gradient,value_gradient,4,"[0, 35, 63, 67]",0.25842771196039394,68,5,1,20,13.6,101.22179943166579,1.0006207672610181,38.88708299003716,15.052016364699005,484.1558832610858,0.08842875930814209,0.12781171428548888,0.0,0.0
four_rooms_9,spectral,train_goal,train_recipe,turn_articulation,4,"[0, 29, 39, 67]",0.25724124803673476,68,4,0,12,17.0,78.13172443310803,1.0148714071229996,8.80616096451624,7.835666311303981,45.09878094609775,0.043587899670626484,0.043587899670626484,0.0,0.0
four_rooms_9,spectral,train_goal,all,all,4,"[0, 29, 39, 67]",0.25724124803673476,68,4,0,12,17.0,78.13172443310803,1.0342482219372946,40.19414698860575,12.0,466.3578371542146,0.043587899670626484,0.043587899670626484,0.0,0.0
four_rooms_9,spectral,train_goal,turn_articulation,turn_articulation,4,"[0, 29, 39, 67]",0.25724124803673476,68,4,0,12,17.0,78.13172443310803,1.0148714071229996,8.80616096451624,7.835666311303981,45.09878094609775,0.043587899670626484,0.043587899670626484,0.0,0.0
four_rooms_9,spectral,train_goal,value_gradient,value_gradient,4,"[0, 29, 39, 67]",0.25724124803673476,68,4,0,12,17.0,78.13172443310803,1.0342482219372946,40.19414698860575,12.0,466.3578371542146,0.043587899670626484,0.043587899670626484,0.0,0.0
four_rooms_9,spectral,heldout_goal_1_state_59,train_recipe,turn_articulation,4,"[0, 29, 39, 67]",0.25724124803673476,68,5,1,20,13.6,101.72179943166579,0.9548111238654196,4.458046836739491,8.808110360848257,47.2475076932169,0.08842875930792182,0.08842875930792182,0.0,0.0
four_rooms_9,spectral,heldout_goal_1_state_59,all,all,4,"[0, 29, 39, 67]",0.25724124803673476,68,5,1,20,13.6,101.72179943166579,1.0342680632013483,40.19472300343883,15.052016364699005,484.15588326108576,0.08842875930792182,0.08842875930792182,0.0,0.0
four_rooms_9,spectral,heldout_goal_1_state_59,turn_articulation,turn_articulation,4,"[0, 29, 39, 67]",0.25724124803673476,68,5,1,20,13.6,101.72179943166579,0.9548111238654196,4.458046836739491,8.808110360848257,47.2475076932169,0.08842875930792182,0.08842875930792182,0.0,0.0
four_rooms_9,spectral,heldout_goal_1_state_59,value_gradient,value_gradient,4,"[0, 29, 39, 67]",0.25724124803673476,68,5,1,20,13.6,101.72179943166579,1.0342680632013483,40.19472300343883,15.052016364699005,484.15588326108576,0.08842875930792182,0.08842875930792182,0.0,0.0
four_rooms_9,betweenness,train_goal,train_recipe,turn_articulation,4,"[0, 28, 29, 67]",0.25919113802956417,68,4,0,12,17.0,79.00505776644137,0.9993101440489432,8.696381970334805,6.869914060983395,38.66278007313991,0.043587899671051034,0.043587899671051034,0.0,0.0
four_rooms_9,betweenness,train_goal,all,all,4,"[0, 28, 29, 67]",0.25919113802956417,68,4,0,12,17.0,79.00505776644137,1.034540022105686,40.20548726322344,12.0,466.3578371542146,0.043587899671051034,0.043587899671051034,0.0,0.0
four_rooms_9,betweenness,train_goal,turn_articulation,turn_articulation,4,"[0, 28, 29, 67]",0.25919113802956417,68,4,0,12,17.0,79.00505776644137,0.9993101440489432,8.696381970334805,6.869914060983395,38.66278007313991,0.043587899671051034,0.043587899671051034,0.0,0.0
four_rooms_9,betweenness,train_goal,value_gradient,value_gradient,4,"[0, 28, 29, 67]",0.25919113802956417,68,4,0,12,17.0,79.00505776644137,1.034540022105686,40.20548726322344,12.0,466.3578371542146,0.043587899671051034,0.043587899671051034,0.0,0.0
four_rooms_9,betweenness,heldout_goal_1_state_59,train_recipe,turn_articulation,4,"[0, 28, 29, 67]",0.25919113802956417,68,5,1,20,13.6,102.59513276499912,0.9548087090086168,4.456265944268332,7.8457772231497644,40.777002130456985,0.08842875930814209,0.08842875930814209,0.0,0.0
four_rooms_9,betweenness,heldout_goal_1_state_59,all,all,4,"[0, 28, 29, 67]",0.25919113802956417,68,5,1,20,13.6,102.59513276499912,1.0345452385554166,40.205494911658484,15.052016364699005,484.15588326108576,0.08842875930814209,0.08842875930814209,0.0,0.0
four_rooms_9,betweenness,heldout_goal_1_state_59,turn_articulation,turn_articulation,4,"[0, 28, 29, 67]",0.25919113802956417,68,5,1,20,13.6,102.59513276499912,0.9548087090086168,4.456265944268332,7.8457772231497644,40.777002130456985,0.08842875930814209,0.08842875930814209,0.0,0.0
four_rooms_9,betweenness,heldout_goal_1_state_59,value_gradient,value_gradient,4,"[0, 28, 29, 67]",0.25919113802956417,68,5,1,20,13.6,102.59513276499912,1.0345452385554166,40.205494911658484,15.052016364699005,484.15588326108576,0.08842875930814209,0.08842875930814209,0.0,0.0
four_rooms_9,value_gradient,train_goal,train_recipe,turn_articulation,4,"[0, 42, 64, 67]",0.2566448759753257,68,4,0,12,17.0,77.63172443310803,0.9545471546257893,4.459327177379984,5.844535472086802,30.264201177293884,0.04358789967104926,0.04358789967104926,0.0,0.0
four_rooms_9,value_gradient,train_goal,all,all,4,"[0, 42, 64, 67]",0.2566448759753257,68,4,0,12,17.0,77.63172443310803,1.951106249212296,75.82614087005989,12.0,466.3578371542146,0.04358789967104926,0.04358789967104926,0.0,0.0
