map_family,map_size,map,slip,method,budget_frac,n_states,n_basis,n_boundary,state_compression_ratio,n_edges_valid,group_all_feasible,n_groups_feasible,group_total_violation,group_max_violation,trace_group_all_feasible,trace_group_total_violation,trace_group_max_violation,group_test_bits_mean,group_test_bits_cvar,selection_time_sec,delta_backend,kernel_time_sec,upfront_time_sec,smdp_solve_time_sec,compressed_total_time_sec,full_vi_time_sec,full_vi_backup_count,smdp_edge_backup_count,planning_speedup,total_speedup,break_even_tasks,backup_compression_ratio,start_gap,value_gap_max,first_hit_mode,first_hit_used_steps_max,first_hit_tail_bound_max,stop_reason,probe_cache_hits,probe_cache_misses,probe_cache_hit_rate,probe_calls,unique_probe_evals,probe_context_build_time_sec,probe_green_kernel_time_sec,probe_operator_delta_time_sec,active_weight_time_sec,active_weight_cache_hit_rate,probe_call_overhead_time_sec,candidate_score_time_sec,beam_expansion_time_sec,profiled_selection_time_sec,uncached_probe_eval_time_sec,boundary,error,maze_seed,max_splits,failed_n_boundary,added_vertices_over_failed
random_maze,15,random_maze_15_seed4,0.05,group_constrained_incremental,0.25,97,37,2,48.5,2,False,0,174.8841889328305,58.29472964427684,False,174.8841889328305,58.29472964427684,77.72630619236912,77.72630619236912,45.923479057033546,insertion_score,0.062320788973011076,45.98579984600656,0.00013385794591158628,45.98593370395247,0.17257178702857345,28324,4,1289.2158612874414,0.0037527081246094387,267,7081.0,4.405383435823751e-08,4.405383435823751e-08,adaptive,66,9.266478279131432e-07,budget_not_met,0,150,0.0,150,150,34.10927755222656,3.4275879192864522,4.243176737683825,1.144316220539622,0.0,2.960641239536926,0.020526991924270988,0.0003057311987504363,45.905832392396405,44.74068344873376,"[0, 96]",,4,12,2,0
random_maze,15,random_maze_15_seed4,0.05,group_constrained_incremental,0.25,97,37,2,48.5,2,False,0,174.8841889328305,58.29472964427684,False,174.8841889328305,58.29472964427684,77.72630619236912,77.72630619236912,66.98187028605025,insertion_score,0.062444902025163174,67.04431518807542,0.00013541104272007942,67.04445059911814,0.17455401609186083,28324,4,1289.067808544222,0.0026035565141040444,385,7081.0,4.405383435823751e-08,4.405383435823751e-08,adaptive,66,9.266478279131432e-07,budget_not_met,0,198,0.0,198,198,45.152547846431844,7.156945896800607,8.155202931840904,2.088052153820172,0.0,4.3772184427361935,0.025180473807267845,0.000412421184591949,66.95556016662158,64.84191511780955,"[0, 96]",,4,16,2,0
random_maze,15,random_maze_15_seed4,0.1,group_constrained_incremental,0.25,97,37,3,32.333333333333336,6,False,2,58.29472964427684,58.29472964427684,False,58.29472964427684,58.29472964427684,25.908768730789706,77.72630619236912,19.836275108973496,insertion_score,0.1213602259522304,19.957635334925726,0.0027276750188320875,19.960363009944558,0.20050174999050796,33756,180,73.50646561860476,0.010044995168204852,101,187.53333333333333,3.274438604705665e-07,3.274438604705665e-07,adaptive,75,5.738893571512691e-07,budget_not_met,0,66,0.0,66,66,17.47508927632589,0.4375462825410068,0.5964734436711296,0.262175559066236,0.0,1.048544344259426,0.009455797844566405,0.0001142857363447547,19.8293989894446,19.55765334679745,"[0, 16, 96]",,4,5,3,0
random_maze,15,random_maze_15_seed4,0.1,group_constrained_incremental,0.25,97,37,3,32.333333333333336,6,False,2,58.29472964427684,58.29472964427684,False,58.29472964427684,58.29472964427684,25.908768730789706,77.72630619236912,31.73861305299215,insertion_score,0.12070911505725235,31.859322168049403,0.002740747993811965,31.862062916043214,0.2025118990568444,33756,180,73.88928114298501,0.006355894142525073,160,187.53333333333333,3.274438604705665e-07,3.274438604705665e-07,adaptive,75,5.738893571512691e-07,budget_not_met,0,102,0.0,102,102,26.573830964276567,1.2343190347310156,1.6246308309491724,0.5209387028589845,0.0,1.7609455832280219,0.013352878740988672,0.00017530587501823902,31.72819330065977,31.193726413184777,"[0, 16, 96]",,4,8,3,0
random_maze,15,random_maze_15_seed4,0.1,group_constrained_incremental,0.25,97,37,3,32.333333333333336,6,False,2,58.29472964427684,58.29472964427684,False,58.29472964427684,58.29472964427684,25.908768730789706,77.72630619236912,50.53792743803933,insertion_score,0.12090479501057416,50.65883223304991,0.002711865003220737,50.66154409805313,0.20270658493973315,33756,180,74.7480367566193,0.004001192394519277,254,187.53333333333333,3.274438604705665e-07,3.274438604705665e-07,adaptive,75,5.738893571512691e-07,budget_not_met,0,150,0.0,150,150,39.02292303415015,3.3577995722880587,4.095390632050112,1.1095922926906496,0.0,2.9158974188612774,0.0189396059140563,0.0002810938749462366,50.520823649829254,49.3920106573496,"[0, 16, 96]",,4,12,3,0
random_maze,15,random_maze_15_seed4,0.1,group_constrained_incremental,0.25,97,37,3,32.333333333333336,6,False,2,58.29472964427684,58.29472964427684,False,58.29472964427684,58.29472964427684,25.908768730789706,77.72630619236912,72.73592695593834,insertion_score,0.12044513202272356,72.85637208796106,0.002700011944398284,72.85907209990546,0.1995277280220762,33756,180,73.89883160925879,0.002738543358725194,371,187.53333333333333,3.274438604705665e-07,3.274438604705665e-07,adaptive,75,5.738893571512691e-07,budget_not_met,0,198,0.0,198,198,51.413627856527455,7.002942273160443,7.904080911772326,2.050124164088629,0.0,4.315017018932849,0.024059320567175746,0.00040275126229971647,72.71025429631118,70.63566806039307,"[0, 16, 96]",,4,16,3,0
random_maze,15,random_maze_15_seed8,0.05,group_constrained_incremental,0.25,97,41,3,32.333333333333336,6,False,2,58.29472964427684,58.29472964427684,False,58.29472964427684,58.29472964427684,51.81753746157941,77.72630619236912,19.9016116859857,insertion_score,0.12208568293135613,20.023697368917055,0.00033792504109442234,20.02403529395815,0.20463972992729396,33756,18,605.5772879823782,0.010219704815893921,99,1875.3333333333333,7.12404641944886e-08,7.12404641944886e-08,adaptive,77,7.418971779286251e-07,budget_not_met,0,66,0.0,66,66,17.46172857377678,0.43335970025509596,0.6640145038254559,0.26996731909457594,0.0,1.0551205907249823,0.010274291038513184,0.00010297680273652077,19.89456795551814,19.614223368582316,"[0, 81, 96]",,8,5,3,0
random_maze,15,random_maze_15_seed8,0.05,group_constrained_incremental,0.25,97,41,3,32.333333333333336,6,False,2,58.29472964427684,58.29472964427684,False,58.29472964427684,58.29472964427684,51.81753746157941,77.72630619236912,32.47924558504019,insertion_score,0.12186410103458911,32.60110968607478,0.0003290140302851796,32.601438700105064,0.20725874800700694,33756,18,629.9389355139695,0.006357349745008002,158,1875.3333333333333,7.12404641944886e-08,7.12404641944886e-08,adaptive,77,7.418971779286251e-07,budget_not_met,0,102,0.0,102,102,27.063840950257145,1.2111323390854523,1.8446450466290116,0.5359028992243111,0.0,1.7979650635970756,0.014726570923812687,0.00019264419097453356,32.46840551390778,31.917583399568684,"[0, 81, 96]",,8,8,3,0
random_maze,15,random_maze_15_seed8,0.05,group_constrained_incremental,0.25,97,41,3,32.333333333333336,6,False,2,58.29472964427684,58.29472964427684,False,58.29472964427684,58.29472964427684,51.81753746157941,77.72630619236912,51.876732100965455,insertion_score,0.12172486598137766,51.99845696694683,0.0003302328987047076,51.99878719984554,0.20766564609948546,33756,18,628.8460262863722,0.00399366326182512,251,1875.3333333333333,7.12404641944886e-08,7.12404641944886e-08,adaptive,77,7.418971779286251e-07,budget_not_met,0,150,0.0,150,150,39.79277718346566,3.2513454247964546,4.693277127691545,1.1143401198787615,0.0,2.9859141890192404,0.02085978805553168,0.0002835050690919161,51.858797337976284,50.7233139249729,"[0, 81, 96]",,8,12,3,0
random_maze,15,random_maze_15_seed8,0.05,group_constrained_incremental,0.25,97,41,3,32.333333333333336,6,False,2,58.29472964427684,58.29472964427684,False,58.29472964427684,58.29472964427684,51.81753746157941,77.72630619236912,75.07962829293683,insertion_score,0.12214428104925901,75.20177257398609,0.0003310450119897723,75.20210361899808,0.20570633409079164,33756,18,621.3847864807791,0.0027353800517732414,367,1875.3333333333333,7.12404641944886e-08,7.12404641944886e-08,adaptive,77,7.418971779286251e-07,budget_not_met,0,198,0.0,198,198,52.57542044098955,6.831097142654471,9.182219034875743,2.0116222612559795,0.0,4.424741271650419,0.026475689839571714,0.00040600320789963007,75.05198184447363,73.01347789017018,"[0, 81, 96]",,8,16,3,0
