mode,map,slip,fixed_method,adaptive_method,fixed_topk,adaptive_cap,fixed_top4_feasible,adaptive_topk_feasible,feasible_match,boundary_match,fixed_boundary,adaptive_boundary,adaptive_k_used_mean,adaptive_k_used_max,adaptive_cap_hits,adaptive_selected_ranks,adaptive_first_selected_rank,adaptive_decisions,fixed_selection_time_sec,adaptive_selection_time_sec,selection_speedup_fixed_over_adaptive,fixed_exact_refine_calls,adaptive_exact_refine_calls,fixed_group_total_violation,adaptive_group_total_violation,fixed_start_gap,adaptive_start_gap,lexicographic_regret_vs_fixed,group_total_violation_delta,start_gap_delta,fixed_stop_reason,adaptive_stop_reason
exact,maze_13,0.05,surrogate_topk_exact_refine,adaptive_topk_exact_refine,4,4,True,True,True,True,"[0, 9, 70]","[0, 9, 70]",1.0,1.0,0,1,1,feasible,15.761917404946871,7.679556498071179,2.0524515196815964,6,3,0.0,0.0,1.9753088054130785e-12,1.9753088054130785e-12,0.0,0.0,0.0,feasible,feasible
exact,maze_13,0.1,surrogate_topk_exact_refine,adaptive_topk_exact_refine,4,4,True,True,True,True,"[0, 9, 70]","[0, 9, 70]",1.0,1.0,0,1,1,feasible,18.456302202073857,9.168724314891733,2.01296293445069,6,3,0.0,0.0,1.2505552149377763e-11,1.2505552149377763e-11,0.0,0.0,0.0,feasible,feasible
exact,maze_17,0.0,surrogate_topk_exact_refine,adaptive_topk_exact_refine,4,4,True,True,True,True,"[0, 1, 126]","[0, 1, 126]",1.0,1.0,0,1,1,feasible,27.81237853609491,14.43338489800226,1.926947748753271,6,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,feasible,feasible
exact,maze_17,0.05,surrogate_topk_exact_refine,adaptive_topk_exact_refine,4,4,True,True,True,True,"[0, 1, 126]","[0, 1, 126]",1.0,1.0,0,1,1,feasible,39.88296112389071,18.896053567994386,2.1106502995653744,6,3,0.0,0.0,8.100187187665142e-13,8.100187187665142e-13,0.0,0.0,0.0,feasible,feasible
exact,maze_17,0.1,surrogate_topk_exact_refine,adaptive_topk_exact_refine,4,4,True,True,True,True,"[0, 1, 126]","[0, 1, 126]",1.0,1.0,0,1,1,feasible,46.81263919605408,22.67541668092599,2.0644665478377617,6,3,0.0,0.0,7.929656931082718e-12,7.929656931082718e-12,0.0,0.0,0.0,feasible,feasible
exact,open_room_12,0.0,surrogate_topk_exact_refine,adaptive_topk_exact_refine,4,4,True,True,True,True,"[0, 72, 143]","[0, 72, 143]",1.0,1.0,0,1,1,feasible,20.97258447803324,10.231556316022761,2.0497941691617214,6,3,0.0,0.0,3.552713678800501e-15,3.552713678800501e-15,0.0,0.0,0.0,feasible,feasible
exact,open_room_12,0.05,surrogate_topk_exact_refine,adaptive_topk_exact_refine,4,4,True,True,True,True,"[0, 1, 13, 143]","[0, 1, 13, 143]",4.0,4.0,1,1;4,1,cap;clear_margin,63.681979109940585,58.68920071906177,1.0850715008844412,11,11,0.0,0.0,0.07851002033378052,0.07851002033378052,0.0,0.0,0.0,feasible,feasible
exact,open_room_12,0.1,surrogate_topk_exact_refine,adaptive_topk_exact_refine,4,4,False,False,True,True,"[0, 1, 130, 143]","[0, 1, 130, 143]",4.0,4.0,3,1;1,1,cap;cap;cap,101.20567245915299,96.718541025999,1.046393704718393,15,15,38.86315309618456,38.86315309618456,0.16918017523391882,0.16918017523391882,0.0,0.0,0.0,no_positive_exact_refine_gain,no_positive_exact_refine_gain
exact,open_room_16,0.0,surrogate_topk_exact_refine,adaptive_topk_exact_refine,4,4,True,True,True,True,"[0, 128, 255]","[0, 128, 255]",1.0,1.0,0,1,1,feasible,50.565049158001784,25.787562136014458,1.9608309188476378,6,3,0.0,0.0,3.552713678800501e-15,3.552713678800501e-15,0.0,0.0,0.0,feasible,feasible
exact,open_room_16,0.05,surrogate_topk_exact_refine,adaptive_topk_exact_refine,4,4,False,False,True,True,"[0, 17, 255]","[0, 17, 255]",4.0,4.0,2,3,3,cap;cap,132.1484181630076,120.39984690304846,1.0975796195938656,10,10,19.43157654809228,19.43157654809228,0.08820735019645909,0.08820735019645909,0.0,0.0,0.0,no_positive_exact_refine_gain,no_positive_exact_refine_gain
exact,open_room_16,0.1,surrogate_topk_exact_refine,adaptive_topk_exact_refine,4,4,False,False,True,True,"[0, 17, 238, 255]","[0, 17, 238, 255]",4.0,4.0,3,3;1,3,cap;cap;cap,235.94528360205004,217.5940517350682,1.0843370106887176,15,15,116.58945928855368,116.58945928855368,0.18884929565105324,0.18884929565105324,0.0,0.0,0.0,no_positive_exact_refine_gain,no_positive_exact_refine_gain
