split,map_family,map_size,maze_seed,map,slip,n_states,log_n_states,sqrt_n_states,open_density,log_aspect_ratio,mean_degree,degree_std,dead_end_fraction,junction_fraction,turn_articulation_fraction,articulation_fraction,cycle_rank_per_state,endpoint_distance,endpoint_eccentricity,covering_radius,slip_endpoint_distance,discount_horizon,required_k,reference_frontier,reference_certified,reference_operator_time_sec,green_steps_total,occupancy_steps_total,reference_boundary,base_predicted_k,proposed_k,base_error,proposal_error,proposal_first_pass_certified,continuation_steps_if_needed,proposal_excess_steps,proposal_to_fixed_work_ratio
train,maze,9,4,maze_9_seed4,0.05,31,3.4657359027997265,5.5677643628300215,0.38271604938271603,0.0,1.935483870967742,0.24567010018915833,0.06451612903225806,0.0,0.2903225806451613,0.9354838709677419,0.0,28.0,30.0,14.0,1.4000000000000001,33.33333333333331,44,8.191746043978889e-07,True,0.005322842043824494,84,44,"[0, 6, 8, 10, 11, 13, 18, 20, 24, 30]",42,78,-2,34,True,0,34,0.15234375
train,maze,9,4,maze_9_seed4,0.1,31,3.4657359027997265,5.5677643628300215,0.38271604938271603,0.0,1.935483870967742,0.24567010018915833,0.06451612903225806,0.0,0.2903225806451613,0.9354838709677419,0.0,28.0,30.0,14.0,2.8000000000000003,33.33333333333331,52,9.003094826027541e-07,True,0.006374277989380062,98,52,"[0, 6, 8, 10, 11, 13, 18, 20, 24, 30]",55,91,3,39,True,0,39,0.177734375
train,maze,9,5,maze_9_seed5,0.0,31,3.4657359027997265,5.5677643628300215,0.38271604938271603,0.0,1.935483870967742,0.4351850826849045,0.12903225806451613,0.06451612903225806,0.3225806451612903,0.8709677419354839,0.0,12.0,22.0,10.0,0.0,33.33333333333331,16,0.0,True,0.0041206530295312405,27,13,"[0, 2, 9, 11, 19, 21, 30]",16,52,0,36,True,0,36,0.1015625
train,maze,9,5,maze_9_seed5,0.05,31,3.4657359027997265,5.5677643628300215,0.38271604938271603,0.0,1.935483870967742,0.4351850826849045,0.12903225806451613,0.06451612903225806,0.3225806451612903,0.8709677419354839,0.0,12.0,22.0,10.0,0.6000000000000001,33.33333333333331,29,6.009969029480976e-07,True,0.004859352018684149,52,25,"[0, 2, 9, 11, 19, 21, 30]",26,63,-3,34,True,0,34,0.123046875
train,maze,9,5,maze_9_seed5,0.1,31,3.4657359027997265,5.5677643628300215,0.38271604938271603,0.0,1.935483870967742,0.4351850826849045,0.12903225806451613,0.06451612903225806,0.3225806451612903,0.8709677419354839,0.0,12.0,22.0,10.0,1.2000000000000002,33.33333333333331,35,9.005009972396519e-07,True,0.004967628978192806,63,30,"[0, 2, 9, 11, 19, 21, 30]",37,73,2,38,True,0,38,0.142578125
train,maze,11,0,maze_11_seed0,0.0,49,3.912023005428146,7.0,0.4049586776859504,0.0,1.9591836734693877,0.4019941959916778,0.10204081632653061,0.061224489795918366,0.2653061224489796,0.8979591836734694,0.0,32.0,40.0,16.0,0.0,33.33333333333331,40,0.0,True,0.006318355910480022,71,33,"[0, 11, 13, 22, 26, 31, 33, 34, 36, 41, 47, 48]",37,73,-3,33,True,0,33,0.142578125
train,maze,11,0,maze_11_seed0,0.05,49,3.912023005428146,7.0,0.4049586776859504,0.0,1.9591836734693877,0.4019941959916778,0.10204081632653061,0.061224489795918366,0.2653061224489796,0.8979591836734694,0.0,32.0,40.0,16.0,1.6,33.33333333333331,58,7.983358594366293e-07,True,0.007143855909816921,105,49,"[0, 11, 13, 22, 26, 31, 33, 34, 36, 41, 47, 48]",50,86,-8,28,True,0,28,0.16796875
train,maze,11,0,maze_11_seed0,0.1,49,3.912023005428146,7.0,0.4049586776859504,0.0,1.9591836734693877,0.4019941959916778,0.10204081632653061,0.061224489795918366,0.2653061224489796,0.8979591836734694,0.0,32.0,40.0,16.0,3.2,33.33333333333331,67,9.487654543326838e-07,True,0.007812184048816562,122,57,"[0, 11, 13, 22, 26, 31, 33, 34, 36, 41, 47, 48]",63,100,-4,33,True,0,33,0.1953125
train,maze,11,1,maze_11_seed1,0.0,49,3.912023005428146,7.0,0.4049586776859504,0.0,1.9591836734693877,0.34753849726380415,0.08163265306122448,0.04081632653061224,0.2653061224489796,0.9183673469387755,0.0,28.0,36.0,14.0,0.0,33.33333333333331,36,0.0,True,0.006346300942823291,63,29,"[0, 4, 11, 15, 21, 25, 31, 33, 35, 37, 48]",33,69,-3,33,True,0,33,0.134765625
train,maze,11,1,maze_11_seed1,0.05,49,3.912023005428146,7.0,0.4049586776859504,0.0,1.9591836734693877,0.34753849726380415,0.08163265306122448,0.04081632653061224,0.2653061224489796,0.9183673469387755,0.0,28.0,36.0,14.0,1.4000000000000001,33.33333333333331,53,9.564769423754557e-07,True,0.0070619299076497555,95,44,"[0, 4, 11, 15, 21, 25, 31, 33, 35, 37, 48]",45,82,-8,29,True,0,29,0.16015625
train,maze,11,1,maze_11_seed1,0.1,49,3.912023005428146,7.0,0.4049586776859504,0.0,1.9591836734693877,0.34753849726380415,0.08163265306122448,0.04081632653061224,0.2653061224489796,0.9183673469387755,0.0,28.0,36.0,14.0,2.8000000000000003,33.33333333333331,61,8.75938082780229e-07,True,0.007356731919571757,111,52,"[0, 4, 11, 15, 21, 25, 31, 33, 35, 37, 48]",58,94,-3,33,True,0,33,0.18359375
