map_family,map_size,map,method_spec,method,task_count,goal_source,n_states,n_boundary,state_compression_ratio,transition_nnz_proxy,kernel_nnz,construction_time_sec,kernel_time_sec,upfront_time_sec,full_total_time_sec,graph_replan_time_sec,graph_total_time_sec,amortized_speedup_vs_full_vi,planning_only_speedup_vs_full_vi,break_even_task_count_estimate,full_backup_count,smdp_edge_backup_count,backup_compression_ratio,start_gap_mean,start_gap_max
four_rooms,21,four_rooms_21,betweenness_sqrt,betweenness_21,1,all_states,404,115,3.5130434782608697,6384,222893,0.43282023299252614,195.107284452999,195.54010468599154,0.6228817169903778,11.168000887992093,206.70810557398363,0.003013339584632011,0.055773788275760634,inf,114736,655500,0.17503585049580472,0.08284201669729185,0.08284201669729185
four_rooms,21,four_rooms_21,betweenness_sqrt,betweenness_21,5,all_states,404,115,3.5130434782608697,6384,222893,0.43282023299252614,195.107284452999,195.54010468599154,2.983528476994252,49.744490382960066,245.2845950689516,0.012163537935007929,0.0599770638723089,inf,528432,2923530,0.1807513519614986,0.04766784447984884,0.14584954716597665
four_rooms,21,four_rooms_21,betweenness_sqrt,betweenness_21,10,all_states,404,115,3.5130434782608697,6384,222893,0.43282023299252614,195.107284452999,195.54010468599154,6.144441764976364,101.89684863190632,297.43695331789786,0.020657963633756164,0.06030060642182013,inf,1045552,5768400,0.1812551140697594,0.08375489326716301,0.16661927243793073
four_rooms,21,four_rooms_21,betweenness_sqrt,betweenness_21,25,all_states,404,115,3.5130434782608697,6384,222893,0.43282023299252614,195.107284452999,195.54010468599154,15.01082298302208,250.6528189969249,446.19292368291644,0.03364200144440078,0.05988691068025147,inf,2546816,14014590,0.18172604407264145,0.11383735125083576,0.20198246809366438
four_rooms,21,four_rooms_21,betweenness_sqrt,betweenness_21,50,all_states,404,115,3.5130434782608697,6384,222893,0.43282023299252614,195.107284452999,195.54010468599154,29.280070720036747,486.37496342294617,681.9150681089377,0.04293800223719236,0.06020061253559043,inf,4909408,27059040,0.18143319201272476,0.12055868768808792,0.22170972315878146
four_rooms,21,four_rooms_21,betweenness_sqrt,betweenness_21,100,all_states,404,115,3.5130434782608697,6384,222893,0.43282023299252614,195.107284452999,195.54010468599154,59.40527954607387,992.6423995197983,1188.1825042057899,0.04999676340612489,0.05984559955812065,inf,9781648,54812910,0.17845518510146605,0.09650451207042365,0.22170972315878146
four_rooms,21,four_rooms_21,graph_rd_surrogate_joint,graph_rd_surrogate_joint,1,all_states,404,101,4.0,6384,192701,4.546138567005983,224.5236785960151,229.06981716302107,0.6499442030035425,11.055774729000404,240.12559189202148,0.0027066844390988792,0.05878775743310632,inf,114736,505000,0.2272,0.09277950060145912,0.09277950060145912
four_rooms,21,four_rooms_21,graph_rd_surrogate_joint,graph_rd_surrogate_joint,5,all_states,404,101,4.0,6384,192701,4.546138567005983,224.5236785960151,229.06981716302107,3.6590007249906193,54.69478608600912,283.7646032490302,0.012894493122454394,0.06689852885130104,inf,528432,2242200,0.23567567567567568,0.049655342830841276,0.14584955501676333
four_rooms,21,four_rooms_21,graph_rd_surrogate_joint,graph_rd_surrogate_joint,10,all_states,404,101,4.0,6384,192701,4.546138567005983,224.5236785960151,229.06981716302107,8.169377185986377,107.57172153305146,336.64153869607253,0.02426728804065345,0.07594353859509753,inf,1045552,4423800,0.23634703196347032,0.08474864443127036,0.1666192805316662
four_rooms,21,four_rooms_21,graph_rd_surrogate_joint,graph_rd_surrogate_joint,25,all_states,404,101,4.0,6384,192701,4.546138567005983,224.5236785960151,229.06981716302107,21.92848421196686,268.85539073706605,497.9252079000871,0.04403971492916863,0.08156237504425708,inf,2546816,10776700,0.2363261480787254,0.11433014719595967,0.20257768455774894
four_rooms,21,four_rooms_21,graph_rd_surrogate_joint,graph_rd_surrogate_joint,50,all_states,404,101,4.0,6384,192701,4.546138567005983,224.5236785960151,229.06981716302107,47.34533126698807,530.4671164359897,759.5369335990108,0.06233446876986698,0.0892521511702434,inf,4909408,20795900,0.2360757649344342,0.12107446104493003,0.22250298955080794
four_rooms,21,four_rooms_21,graph_rd_surrogate_joint,graph_rd_surrogate_joint,100,all_states,404,101,4.0,6384,192701,4.546138567005983,224.5236785960151,229.06981716302107,100.94091131092864,1112.514864211029,1341.58468137405,0.0752400595447654,0.09073219114471223,inf,9781648,41803900,0.2339888862043972,0.10136610072327028,0.22250298955080794
