map,slip,gamma,candidate_kind,candidate_top_fraction,local_horizon,hidden_threshold,n_states,n_boundary,n_candidate_boundary,n_pair_options,n_edges_valid,invalid_hidden_count,hidden_mass_total,hidden_mass_max,feasible,start_value_smdp,start_value_primitive,start_gap,value_gap_max,start_best_option,policy_tv_total,policy_regions_total,policy_tv_mean,policy_regions_mean,target_policy_tv_total,target_policy_regions_total,split_candidate_state,split_candidate_coord,split_candidate_score,description_length_proxy,step,stop_reason
maze,0.0,0.97,turn_articulation,0.15,999.0,1e-06,81,9,30,72,62,10,10.0,1.0,True,-33.333333331914524,-22.199077937496824,11.1342553944177,14.206506837446195,fb_000_to_001,4832.0,2344.0,67.11111111111111,32.55555555555556,604.0,293.0,5,"(1, 7)",5.0,2229.8888888888887,7,continue
maze,0.0,0.97,turn_articulation,0.15,999.0,1e-06,81,10,30,90,79,11,11.0,1.0,True,-33.333333331914524,-22.199077937496824,11.1342553944177,15.098848801716777,fb_000_to_001,6012.0,2916.0,66.8,32.4,668.0,324.0,16,"(1, 19)",5.0,2772.8,8,continue
maze,0.0,0.97,turn_articulation,0.15,999.0,1e-06,81,11,30,110,98,12,12.0,1.0,True,-33.333333331914524,-22.199077937496824,11.1342553944177,15.098848801716777,fb_000_to_001,7340.0,3560.0,66.72727272727273,32.36363636363637,734.0,356.0,11,"(1, 13)",6.0,3383.409090909091,9,continue
maze,0.0,0.97,turn_articulation,0.15,999.0,1e-06,81,12,30,132,119,13,13.0,1.0,True,-33.333333331914524,-22.199077937496824,11.1342553944177,18.126478096223288,fb_000_to_001,8778.0,4257.0,66.5,32.25,798.0,387.0,12,"(1, 15)",6.0,4044.616666666667,10,continue
maze,0.0,0.97,turn_articulation,0.15,999.0,1e-06,81,13,30,156,142,14,14.0,1.0,True,-33.333333331914524,-22.199077937496824,11.1342553944177,18.126478096223288,fb_000_to_001,10368.0,5028.0,66.46153846153847,32.23076923076923,864.0,419.0,32,"(3, 13)",7.0,4775.323076923077,11,continue
maze,0.0,0.97,turn_articulation,0.15,999.0,1e-06,81,14,30,182,167,15,15.0,1.0,True,-33.333333331914524,-22.199077937496824,11.1342553944177,19.265042083260113,fb_000_to_001,12116.0,5876.0,66.57142857142857,32.285714285714285,932.0,452.0,34,"(3, 15)",14.0,5578.228571428572,12,continue
maze,0.0,0.97,turn_articulation,0.15,999.0,1e-06,81,15,30,210,209,1,1.0,1.0,True,-22.199077937496824,-22.199077937496824,0.0,7.105427357601002e-15,fb_000_to_001,14000.0,6790.0,66.66666666666667,32.333333333333336,1000.0,485.0,23,"(3, 1)",1.0,6444.433333333333,13,continue
maze,0.0,0.97,turn_articulation,0.15,999.0,1e-06,81,16,30,240,238,2,2.0,1.0,True,-22.199077937496824,-22.199077937496824,0.0,1.3574015827385928,fb_000_to_001,16020.0,7770.0,66.75,32.375,1068.0,518.0,76,"(7, 15)",1.0,7371.875,14,continue
maze,0.0,0.97,turn_articulation,0.15,999.0,1e-06,81,17,30,272,267,5,5.0,1.0,True,-22.199077937496824,-22.199077937496824,0.0,1.3574015827385928,fb_000_to_001,18176.0,8816.0,66.82352941176471,32.411764705882355,1136.0,551.0,54,"(5, 15)",3.0,8361.505882352942,15,continue
maze,0.0,0.97,turn_articulation,0.15,999.0,1e-06,81,18,30,306,300,6,6.0,1.0,True,-22.199077937496824,-22.199077937496824,0.0,1.3574015827385928,fb_000_to_001,20434.0,9911.0,66.77777777777777,32.388888888888886,1202.0,583.0,75,"(7, 13)",3.0,9398.266666666666,16,continue
