src_state,dst_state,src,dst,option,hit_probability,gamma_terminal,expected_tau,reward
23,25,"(3, 1)","(3, 3)",S,0.008333333333333335,0.00419295900178253,31.00000000000001,-1.2760651437476627
25,23,"(3, 3)","(3, 1)",S,0.008333333333333335,0.00419295900178253,31.00000000000001,-2.2116490224937877
25,25,"(3, 3)","(3, 3)",S,0.05804597701149425,0.0519216591969829,5.598839194264256,-2.2116490224937877
25,44,"(3, 3)","(5, 3)",S,0.9336206896551723,0.8775359111264208,2.0344827586206895,-2.2116490224937877
26,4,"(3, 5)","(1, 5)",S,0.00028735632183908046,0.00027009415547135147,2.0344827586206895,-1.2760651437476627
26,26,"(3, 5)","(3, 5)",S,0.9913793103448276,0.9572549925303162,1.2692653673163419,-1.2760651437476627
26,28,"(3, 5)","(3, 7)",S,0.008333333333333335,0.00419295900178253,31.00000000000001,-1.2760651437476627
28,5,"(3, 7)","(1, 7)",S,0.00028735632183908046,0.00027009415547135147,2.0344827586206895,-1.2760651437476627
28,26,"(3, 7)","(3, 5)",S,0.008333333333333335,0.00419295900178253,31.00000000000001,-1.2760651437476627
28,28,"(3, 7)","(3, 7)",S,0.9913793103448276,0.9572549925303162,1.2692653673163419,-1.2760651437476627
29,29,"(3, 9)","(3, 9)",S,0.05804597701149425,0.0519216591969829,5.598839194264256,-2.2116490224937877
29,31,"(3, 9)","(3, 11)",S,0.008333333333333335,0.00419295900178253,31.00000000000001,-2.2116490224937877
29,49,"(3, 9)","(5, 9)",S,0.9336206896551723,0.8775359111264208,2.0344827586206895,-2.2116490224937877
31,29,"(3, 11)","(3, 9)",S,0.008333333333333335,0.00419295900178253,31.00000000000001,-2.2116490224937877
31,31,"(3, 11)","(3, 11)",S,0.05804597701149425,0.0519216591969829,5.598839194264256,-2.2116490224937877
31,50,"(3, 11)","(5, 11)",S,0.9336206896551723,0.8775359111264208,2.0344827586206895,-2.2116490224937877
32,11,"(3, 13)","(1, 13)",S,0.00028735632183908046,0.00027009415547135147,2.0344827586206895,-1.2760651437476627
32,32,"(3, 13)","(3, 13)",S,0.9913793103448276,0.9572549925303162,1.2692653673163419,-1.2760651437476627
32,34,"(3, 13)","(3, 15)",S,0.008333333333333335,0.00419295900178253,31.00000000000001,-1.2760651437476627
34,12,"(3, 15)","(1, 15)",S,0.00028735632183908046,0.00027009415547135147,2.0344827586206895,-1.2760651437476627
34,32,"(3, 15)","(3, 13)",S,0.008333333333333335,0.00419295900178253,31.00000000000001,-1.2760651437476627
34,34,"(3, 15)","(3, 15)",S,0.9913793103448276,0.9572549925303162,1.2692653673163419,-1.2760651437476627
35,35,"(3, 17)","(3, 17)",S,0.05804597701149425,0.0519216591969829,5.598839194264256,-2.2116490224937877
35,37,"(3, 17)","(3, 19)",S,0.008333333333333335,0.00419295900178253,31.00000000000001,-2.2116490224937877
35,55,"(3, 17)","(5, 17)",S,0.9336206896551723,0.8775359111264208,2.0344827586206895,-2.2116490224937877
37,16,"(3, 19)","(1, 19)",S,0.00028735632183908046,0.00027009415547135147,2.0344827586206895,-1.2760651437476627
37,35,"(3, 19)","(3, 17)",S,0.008333333333333335,0.00419295900178253,31.00000000000001,-1.2760651437476627
37,37,"(3, 19)","(3, 19)",S,0.9913793103448276,0.9572549925303162,1.2692653673163419,-1.2760651437476627
42,42,"(5, 1)","(5, 1)",S,0.05804597701149425,0.0519216591969829,5.598839194264256,-2.2116490224937877
