map,slip,map_size,maze_seed,n_states,n_candidates,top_state,teacher_time_sec,max_violation_reduction
maze_13_seed1_goal0,0.1,13,1,71,31,1,3.7820797520689666,116.589459288558
maze_13_seed1_goal1,0,13,1,71,30,1,2.511257598991506,77.72630619237201
maze_13_seed1_goal1,0.05,13,1,71,30,1,3.491688059992157,116.589459288558
maze_13_seed1_goal1,0.1,13,1,71,30,1,4.069203665945679,116.589459288558
maze_13_seed2_goal0,0,13,2,71,27,1,1.9859945719363168,77.72630619237201
maze_13_seed2_goal0,0.05,13,2,71,27,1,3.0278637571027502,116.589459288558
maze_13_seed2_goal0,0.1,13,2,71,27,1,3.6401289908681065,116.589459288558
maze_13_seed2_goal1,0,13,2,71,28,1,2.781160452053882,77.72630619237201
maze_13_seed2_goal1,0.05,13,2,71,28,1,3.9011763790622354,116.589459288558
maze_13_seed2_goal1,0.1,13,2,71,28,1,4.565708799986169,116.589459288558
maze_13_seed3_goal0,0,13,3,71,26,1,1.9980790769914165,77.72630619237201
maze_13_seed3_goal0,0.05,13,3,71,26,1,3.0625848779454827,116.589459288558
maze_13_seed3_goal0,0.1,13,3,71,26,1,3.5192033200291917,116.589459288558
maze_13_seed3_goal1,0,13,3,71,27,1,2.480210460955277,77.72630619237201
maze_13_seed3_goal1,0.05,13,3,71,27,1,3.7639840999618173,116.589459288558
maze_13_seed3_goal1,0.1,13,3,71,27,1,4.009193753940053,116.589459288558
maze_13_seed4_goal0,0,13,4,71,27,1,1.663683965918608,77.72630619237201
maze_13_seed4_goal0,0.05,13,4,71,27,1,2.6785261549521238,116.589459288558
maze_13_seed4_goal0,0.1,13,4,71,27,1,3.1123972829664126,116.589459288558
maze_13_seed4_goal1,0,13,4,71,28,1,2.6610567098250613,77.72630619237201
maze_13_seed4_goal1,0.05,13,4,71,28,1,3.729868628899567,116.589459288558
maze_13_seed4_goal1,0.1,13,4,71,28,1,4.424566561006941,116.589459288558
maze_13_seed5_goal0,0,13,5,71,26,1,1.8111485340632498,77.72630619237201
maze_13_seed5_goal0,0.05,13,5,71,26,1,2.691610040026717,116.589459288558
maze_13_seed5_goal0,0.1,13,5,71,26,1,3.213428464019671,116.589459288558
maze_13_seed5_goal1,0,13,5,71,26,1,2.157474185107276,77.72630619237201
maze_13_seed5_goal1,0.05,13,5,71,26,1,3.1195763531140983,116.589459288558
maze_13_seed5_goal1,0.1,13,5,71,26,1,3.6947622189763933,116.589459288558
maze_15_seed0_goal0,0,15,0,97,27,12,3.528876722091809,77.72630619237201
maze_15_seed0_goal0,0.05,15,0,97,27,12,5.099951706943102,116.589459288558
maze_15_seed0_goal0,0.1,15,0,97,27,12,5.520778018981218,116.589459288558
maze_15_seed0_goal1,0,15,0,97,30,12,4.645552873960696,77.72630619237201
maze_15_seed0_goal1,0.05,15,0,97,30,12,6.558262830018066,116.589459288558
maze_15_seed0_goal1,0.1,15,0,97,30,12,7.593019369058311,116.589459288558
maze_15_seed1_goal0,0,15,1,97,36,10,2.9666034289402887,77.72630619237201
maze_15_seed1_goal0,0.05,15,1,97,36,10,4.324898299062625,116.589459288558
maze_15_seed1_goal0,0.1,15,1,97,36,10,4.819709565141238,116.589459288558
maze_15_seed1_goal1,0,15,1,97,39,5,3.9525472598616034,77.72630619237201
maze_15_seed1_goal1,0.05,15,1,97,39,5,5.6881794889923185,116.589459288558
maze_15_seed1_goal1,0.1,15,1,97,39,5,6.789926150930114,116.589459288558
maze_15_seed2_goal0,0,15,2,97,34,1,4.168681287090294,77.72630619237201
maze_15_seed2_goal0,0.05,15,2,97,34,1,5.783763743005693,116.589459288558
maze_15_seed2_goal0,0.1,15,2,97,34,1,6.878143415087834,116.589459288558
maze_15_seed2_goal1,0,15,2,97,34,1,4.792734227958135,77.72630619237201
maze_15_seed2_goal1,0.05,15,2,97,34,1,6.528099772054702,116.589459288558
maze_15_seed2_goal1,0.1,15,2,97,34,1,7.62036560382694,116.589459288558
maze_15_seed3_goal0,0,15,3,97,35,1,3.9637762430356815,77.72630619237201
maze_15_seed3_goal0,0.05,15,3,97,35,1,5.57516640110407,116.589459288558
maze_15_seed3_goal0,0.1,15,3,97,35,1,6.2633512548636645,116.589459288558
maze_15_seed3_goal1,0,15,3,97,36,1,3.909276625025086,77.72630619237201
maze_15_seed3_goal1,0.05,15,3,97,36,1,5.54713781492319,116.589459288558
maze_15_seed3_goal1,0.1,15,3,97,36,1,6.424612161004916,116.589459288558
maze_15_seed4_goal0,0,15,4,97,33,16,2.898163157980889,77.72630619237201
maze_15_seed4_goal0,0.05,15,4,97,33,16,4.362934538978152,77.726306192372
maze_15_seed4_goal0,0.1,15,4,97,33,16,5.204665864002891,77.726306192372
maze_15_seed4_goal1,0,15,4,97,36,16,3.958477047039196,77.72630619237201
maze_15_seed4_goal1,0.05,15,4,97,36,16,5.5631422399310395,77.726306192372
maze_15_seed4_goal1,0.1,15,4,97,36,16,6.425993009004742,77.726306192372
maze_15_seed5_goal0,0,15,5,97,36,1,3.1143223179969937,77.72630619237201
maze_15_seed5_goal0,0.05,15,5,97,36,1,5.000417404924519,116.589459288558
maze_15_seed5_goal0,0.1,15,5,97,36,1,5.349392440053634,116.589459288558
maze_15_seed5_goal1,0,15,5,97,37,1,4.497532853856683,77.72630619237201
maze_15_seed5_goal1,0.05,15,5,97,37,1,6.437698072986677,116.589459288558
maze_15_seed5_goal1,0.1,15,5,97,37,1,7.214589633978903,116.589459288558
maze_9_seed0_goal0,0,9,0,31,13,1,0.3793752850033343,77.72630619237201
maze_9_seed0_goal0,0.05,9,0,31,13,1,0.8169981489190832,116.589459288558
maze_9_seed0_goal0,0.1,9,0,31,13,1,0.8733338799793273,116.589459288558
maze_9_seed0_goal1,0,9,0,31,12,1,0.5974934089463204,77.72630619237201
maze_9_seed0_goal1,0.05,9,0,31,12,1,0.9832109169801697,116.589459288558
maze_9_seed0_goal1,0.1,9,0,31,12,1,1.1103532388806343,116.589459288558
maze_9_seed1_goal0,0,9,1,31,16,1,0.46612473588902503,77.72630619237201
maze_9_seed1_goal0,0.05,9,1,31,16,1,0.9112924230284989,116.589459288558
maze_9_seed1_goal0,0.1,9,1,31,16,1,1.0691530470503494,116.589459288558
maze_9_seed1_goal1,0,9,1,31,15,1,0.6171632991172373,77.72630619237201
maze_9_seed1_goal1,0.05,9,1,31,15,1,0.9822852660436183,116.589459288558
maze_9_seed1_goal1,0.1,9,1,31,15,1,1.134821146959439,116.589459288558
maze_9_seed2_goal0,0,9,2,31,14,6,0.4374933330109343,77.72630619237201
maze_9_seed2_goal0,0.05,9,2,31,14,6,0.8734530300134793,116.589459288558
maze_9_seed2_goal0,0.1,9,2,31,14,6,1.0290034259669483,116.589459288558
maze_9_seed2_goal1,0,9,2,31,13,2,0.6969482289860025,77.72630619237201
maze_9_seed2_goal1,0.05,9,2,31,13,2,1.044702204875648,116.589459288558
maze_9_seed2_goal1,0.1,9,2,31,13,2,1.2811218380229548,116.589459288558
maze_9_seed3_goal0,0,9,3,31,14,1,0.5911602150881663,77.72630619237201
