option,src_state,src_coord,target_state,target_coord,primitive_distance,within_horizon,edge_valid,visible_mass,hidden_mass,hidden_gamma_mass,hidden_argmax_state,hidden_argmax_coord,hidden_argmax_prob,soft_cost,soft_argmax_state,soft_argmax_coord,soft_argmax_score,model_residual,residual_threshold_metric,residual_reward_abs,residual_gamma_l1,residual_hit_l1,residual_backup_raw,residual_backup_value,residual_backup_value_norm,residual_reward_per_discounted_step,residual_gamma_relative,residual_tau_relative,value_scale_task,beta_row,l_gamma_row,expected_tau_global,expected_tau_residual,residual_hidden_mass,residual_hidden_gamma_mass,residual_argmax_state,residual_argmax_coord,residual_argmax_prob,reward,map,slip,step
fb_003_to_000,50,"(5, 11)",0,"(1, 1)",14.0,True,True,0.9999999999999994,0.0,0.0,,,0.0,0.6676582215190286,40,"(4, 11)",0.6552799465478026,0.10144775077261464,0.10144775077261464,0.2853791105735075,0.08717879524393926,0.09972453246689339,0.37255790581744674,1.347732216077131,0.6478095019148592,0.05014702432877644,0.10512657755038632,0.04504236643381921,12.185911752175528,0.8292745495510416,5.690848348298608,6.178973029495661,6.50233096330871,0.0003240611227498748,0.000282052743969915,9,"(1, 11)",0.00030327025840923885,-5.977851645095878,four_rooms,0.05,2
fb_000_to_001,0,"(1, 1)",24,"(3, 5)",6.0,True,True,1.0000000000000004,0.0,0.0,,,0.0,0.00018265072057415448,42,"(5, 2)",0.00018265072057415448,0.10144775077261481,0.10144775077261481,0.28537911057351106,0.08717879524393926,0.09972453246689328,0.3725579058174503,1.3477322160771346,0.6478095019148605,0.05014702432877704,0.10512657755038633,0.04504236643381921,12.185911752175528,0.8292745495510415,5.690848348298611,6.178973029495661,6.50233096330871,0.000324061122749875,0.00028205274396991495,41,"(5, 1)",0.000303270258409239,-5.977851645095878,four_rooms,0.05,2
fb_002_to_001,26,"(3, 7)",24,"(3, 5)",2.0,True,True,1.0,0.0,0.0,,,0.0,1.0049103168510595e-05,47,"(5, 8)",9.706334125492793e-06,0.1266632273588539,0.1266632273588539,0.13090482578222495,0.12011798606974267,0.13215312601748372,0.2510228118519676,1.5946520038771586,2.175274873358794,0.06528045321208333,0.12780658075514736,0.04682660275367611,12.185911752175528,0.9398419499216981,2.0052683359433945,2.0376055730642526,2.179846322556485,0.000605493858672945,0.0005669460818013027,46,"(5, 7)",0.0003027467259618634,-2.138510450303426,four_rooms,0.05,2
fb_003_to_001,50,"(5, 11)",24,"(3, 5)",8.0,True,True,0.9999999999999994,0.0,0.0,,,0.0,0.6676582215190286,40,"(4, 11)",0.6552799465478026,0.10144775077261464,0.10144775077261464,0.2853791105735075,0.08717879524393926,0.09972453246689339,0.37255790581744674,1.347732216077131,0.6478095019148592,0.05014702432877644,0.10512657755038632,0.04504236643381921,12.185911752175528,0.8292745495510416,5.690848348298608,6.178973029495661,6.50233096330871,0.0003240611227498748,0.000282052743969915,9,"(1, 11)",0.00030327025840923885,-5.977851645095878,four_rooms,0.05,2
fb_000_to_002,0,"(1, 1)",26,"(3, 7)",8.0,True,True,1.0000000000000004,0.0,0.0,,,0.0,0.00018265072057415448,42,"(5, 2)",0.00018265072057415448,0.10144775077261481,0.10144775077261481,0.28537911057351106,0.08717879524393926,0.09972453246689328,0.3725579058174503,1.3477322160771346,0.6478095019148605,0.05014702432877704,0.10512657755038633,0.04504236643381921,12.185911752175528,0.8292745495510415,5.690848348298611,6.178973029495661,6.50233096330871,0.000324061122749875,0.00028205274396991495,41,"(5, 1)",0.000303270258409239,-5.977851645095878,four_rooms,0.05,2
fb_001_to_002,24,"(3, 5)",26,"(3, 7)",2.0,True,True,0.9999999999999998,0.0,0.0,,,0.0,9.34785184515909e-09,42,"(5, 2)",9.34785184515909e-09,0.12666322735885388,0.12666322735885388,0.1309048257822245,0.12011798606974265,0.1321531260174842,0.2510228118519672,1.5946520038771579,2.175274873358797,0.06528045321208324,0.12780658075514734,0.046826602753675964,12.185911752175528,0.9398419499216982,2.0052683359433905,2.0376055730642526,2.1798463225564846,0.0006054938586729451,0.0005669460818013026,45,"(5, 5)",0.0003027467259618635,-2.138510450303426,four_rooms,0.05,2
fb_003_to_002,50,"(5, 11)",26,"(3, 7)",6.0,True,True,0.9999999999999994,0.0,0.0,,,0.0,0.6676582215190286,40,"(4, 11)",0.6552799465478026,0.10144775077261464,0.10144775077261464,0.2853791105735075,0.08717879524393926,0.09972453246689339,0.37255790581744674,1.347732216077131,0.6478095019148592,0.05014702432877644,0.10512657755038632,0.04504236643381921,12.185911752175528,0.8292745495510416,5.690848348298608,6.178973029495661,6.50233096330871,0.0003240611227498748,0.000282052743969915,9,"(1, 11)",0.00030327025840923885,-5.977851645095878,four_rooms,0.05,2
fb_000_to_003,0,"(1, 1)",50,"(5, 11)",14.0,True,True,1.0000000000000004,0.0,0.0,,,0.0,0.00018265072057415448,42,"(5, 2)",0.00018265072057415448,0.10144775077261481,0.10144775077261481,0.28537911057351106,0.08717879524393926,0.09972453246689328,0.3725579058174503,1.3477322160771346,0.6478095019148605,0.05014702432877704,0.10512657755038633,0.04504236643381921,12.185911752175528,0.8292745495510415,5.690848348298611,6.178973029495661,6.50233096330871,0.000324061122749875,0.00028205274396991495,41,"(5, 1)",0.000303270258409239,-5.977851645095878,four_rooms,0.05,2
fb_001_to_003,24,"(3, 5)",50,"(5, 11)",8.0,True,True,0.9999999999999998,0.0,0.0,,,0.0,9.34785184515909e-09,42,"(5, 2)",9.34785184515909e-09,0.12666322735885388,0.12666322735885388,0.1309048257822245,0.12011798606974265,0.1321531260174842,0.2510228118519672,1.5946520038771579,2.175274873358797,0.06528045321208324,0.12780658075514734,0.046826602753675964,12.185911752175528,0.9398419499216982,2.0052683359433905,2.0376055730642526,2.1798463225564846,0.0006054938586729451,0.0005669460818013026,45,"(5, 5)",0.0003027467259618635,-2.138510450303426,four_rooms,0.05,2
fb_002_to_003,26,"(3, 7)",50,"(5, 11)",6.0,True,True,1.0000000000000002,0.0,0.0,,,0.0,1.830496678282954,47,"(5, 8)",0.6335449604052737,0.9751879128316416,0.9751879128316416,3.4582601528503196,0.8022749051891257,0.9664567319274435,4.260535058039445,13.234711348469995,6.3852099218227085,0.6099547956211104,0.9667022275323803,0.5428227374183147,12.185911752175528,0.829909027143783,5.669699095207228,6.144471388959237,2.266289872197555,0.9664271847097837,0.9059966779329901,46,"(5, 7)",0.9661298250649626,-5.946006119837075,four_rooms,0.05,2
